group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__cyclic,random,10,,,1054081.0,ns,6
group__stabchain__ss__cyclic,random,10,,,2079861.0,ns,12
group__stabchain__ss__cyclic,random,10,,,3127441.0,ns,18
group__stabchain__ss__cyclic,random,10,,,4163821.0,ns,24
group__stabchain__ss__cyclic,random,10,,,5211302.0,ns,30
group__stabchain__ss__cyclic,random,10,,,6252582.0,ns,36
group__stabchain__ss__cyclic,random,10,,,7284862.0,ns,42
group__stabchain__ss__cyclic,random,10,,,8303841.0,ns,48
group__stabchain__ss__cyclic,random,10,,,9334720.0,ns,54
group__stabchain__ss__cyclic,random,10,,,10367400.0,ns,60
group__stabchain__ss__cyclic,random,10,,,11448883.0,ns,66
group__stabchain__ss__cyclic,random,10,,,12482864.0,ns,72
group__stabchain__ss__cyclic,random,10,,,13520743.0,ns,78
group__stabchain__ss__cyclic,random,10,,,14528121.0,ns,84
group__stabchain__ss__cyclic,random,10,,,15585503.0,ns,90
group__stabchain__ss__cyclic,random,10,,,16625083.0,ns,96
group__stabchain__ss__cyclic,random,10,,,17601559.0,ns,102
group__stabchain__ss__cyclic,random,10,,,18708744.0,ns,108
group__stabchain__ss__cyclic,random,10,,,19687419.0,ns,114
group__stabchain__ss__cyclic,random,10,,,20760603.0,ns,120
group__stabchain__ss__cyclic,random,10,,,21797482.0,ns,126
group__stabchain__ss__cyclic,random,10,,,22868565.0,ns,132
group__stabchain__ss__cyclic,random,10,,,23988552.0,ns,138
group__stabchain__ss__cyclic,random,10,,,24921423.0,ns,144
group__stabchain__ss__cyclic,random,10,,,25946703.0,ns,150
group__stabchain__ss__cyclic,random,10,,,26941679.0,ns,156
group__stabchain__ss__cyclic,random,10,,,28076767.0,ns,162
group__stabchain__ss__cyclic,random,10,,,29154950.0,ns,168
group__stabchain__ss__cyclic,random,10,,,30228533.0,ns,174
group__stabchain__ss__cyclic,random,10,,,31178306.0,ns,180
group__stabchain__ss__cyclic,random,10,,,32142781.0,ns,186
group__stabchain__ss__cyclic,random,10,,,33281068.0,ns,192
group__stabchain__ss__cyclic,random,10,,,34175937.0,ns,198
group__stabchain__ss__cyclic,random,10,,,35343427.0,ns,204
group__stabchain__ss__cyclic,random,10,,,36404209.0,ns,210
group__stabchain__ss__cyclic,random,10,,,37442489.0,ns,216
group__stabchain__ss__cyclic,random,10,,,38391463.0,ns,222
group__stabchain__ss__cyclic,random,10,,,39392739.0,ns,228
group__stabchain__ss__cyclic,random,10,,,40543928.0,ns,234
group__stabchain__ss__cyclic,random,10,,,41556307.0,ns,240
group__stabchain__ss__cyclic,random,10,,,42561684.0,ns,246
group__stabchain__ss__cyclic,random,10,,,43634767.0,ns,252
group__stabchain__ss__cyclic,random,10,,,44670447.0,ns,258
group__stabchain__ss__cyclic,random,10,,,45507912.0,ns,264
group__stabchain__ss__cyclic,random,10,,,46625998.0,ns,270
group__stabchain__ss__cyclic,random,10,,,47746484.0,ns,276
group__stabchain__ss__cyclic,random,10,,,48757163.0,ns,282
group__stabchain__ss__cyclic,random,10,,,49771841.0,ns,288
group__stabchain__ss__cyclic,random,10,,,50933030.0,ns,294
