group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__cyclic,random,8,,,1059884.0,ns,10
group__stabchain__ss__cyclic,random,8,,,2112766.0,ns,20
group__stabchain__ss__cyclic,random,8,,,3164849.0,ns,30
group__stabchain__ss__cyclic,random,8,,,4207931.0,ns,40
group__stabchain__ss__cyclic,random,8,,,5269614.0,ns,50
group__stabchain__ss__cyclic,random,8,,,6327397.0,ns,60
group__stabchain__ss__cyclic,random,8,,,7412783.0,ns,70
group__stabchain__ss__cyclic,random,8,,,8434263.0,ns,80
group__stabchain__ss__cyclic,random,8,,,9550851.0,ns,90
group__stabchain__ss__cyclic,random,8,,,10576431.0,ns,100
group__stabchain__ss__cyclic,random,8,,,11602312.0,ns,110
group__stabchain__ss__cyclic,random,8,,,12680697.0,ns,120
group__stabchain__ss__cyclic,random,8,,,13688276.0,ns,130
group__stabchain__ss__cyclic,random,8,,,14798964.0,ns,140
group__stabchain__ss__cyclic,random,8,,,15813943.0,ns,150
group__stabchain__ss__cyclic,random,8,,,16861026.0,ns,160
group__stabchain__ss__cyclic,random,8,,,17979814.0,ns,170
group__stabchain__ss__cyclic,random,8,,,18959790.0,ns,180
group__stabchain__ss__cyclic,random,8,,,19976771.0,ns,190
group__stabchain__ss__cyclic,random,8,,,21030053.0,ns,200
group__stabchain__ss__cyclic,random,8,,,22148641.0,ns,210
group__stabchain__ss__cyclic,random,8,,,23166021.0,ns,220
group__stabchain__ss__cyclic,random,8,,,24261407.0,ns,230
group__stabchain__ss__cyclic,random,8,,,25310189.0,ns,240
group__stabchain__ss__cyclic,random,8,,,26493082.0,ns,250
group__stabchain__ss__cyclic,random,8,,,27370452.0,ns,260
group__stabchain__ss__cyclic,random,8,,,28417634.0,ns,270
group__stabchain__ss__cyclic,random,8,,,29518520.0,ns,280
group__stabchain__ss__cyclic,random,8,,,30487096.0,ns,290
group__stabchain__ss__cyclic,random,8,,,31470174.0,ns,300
group__stabchain__ss__cyclic,random,8,,,32671968.0,ns,310
group__stabchain__ss__cyclic,random,8,,,33804057.0,ns,320
group__stabchain__ss__cyclic,random,8,,,34733330.0,ns,330
group__stabchain__ss__cyclic,random,8,,,35752911.0,ns,340
group__stabchain__ss__cyclic,random,8,,,36797092.0,ns,350
group__stabchain__ss__cyclic,random,8,,,37819473.0,ns,360
group__stabchain__ss__cyclic,random,8,,,39122975.0,ns,370
group__stabchain__ss__cyclic,random,8,,,40068050.0,ns,380
group__stabchain__ss__cyclic,random,8,,,41079629.0,ns,390
group__stabchain__ss__cyclic,random,8,,,42240021.0,ns,400
group__stabchain__ss__cyclic,random,8,,,43233898.0,ns,410
group__stabchain__ss__cyclic,random,8,,,44138070.0,ns,420
group__stabchain__ss__cyclic,random,8,,,45481075.0,ns,430
group__stabchain__ss__cyclic,random,8,,,46271438.0,ns,440
group__stabchain__ss__cyclic,random,8,,,47384925.0,ns,450
group__stabchain__ss__cyclic,random,8,,,48336799.0,ns,460
group__stabchain__ss__cyclic,random,8,,,49488089.0,ns,470
group__stabchain__ss__cyclic,random,8,,,50632979.0,ns,480
group__stabchain__ss__cyclic,random,8,,,51709764.0,ns,490
group__stabchain__ss__cyclic,random,8,,,52540730.0,ns,500
group__stabchain__ss__cyclic,random,8,,,53611713.0,ns,510
group__stabchain__ss__cyclic,random,8,,,54715300.0,ns,520
group__stabchain__ss__cyclic,random,8,,,55745881.0,ns,530
group__stabchain__ss__cyclic,random,8,,,56779463.0,ns,540
group__stabchain__ss__cyclic,random,8,,,57769140.0,ns,550
group__stabchain__ss__cyclic,random,8,,,58868927.0,ns,560
group__stabchain__ss__cyclic,random,8,,,60122825.0,ns,570
group__stabchain__ss__cyclic,random,8,,,60920988.0,ns,580
group__stabchain__ss__cyclic,random,8,,,62390603.0,ns,590
group__stabchain__ss__cyclic,random,8,,,63054656.0,ns,600
group__stabchain__ss__cyclic,random,8,,,64248050.0,ns,610
group__stabchain__ss__cyclic,random,8,,,65135919.0,ns,620
group__stabchain__ss__cyclic,random,8,,,66614235.0,ns,630
group__stabchain__ss__cyclic,random,8,,,67316990.0,ns,640
group__stabchain__ss__cyclic,random,8,,,68124953.0,ns,650
group__stabchain__ss__cyclic,random,8,,,69238740.0,ns,660
group__stabchain__ss__cyclic,random,8,,,70540843.0,ns,670
group__stabchain__ss__cyclic,random,8,,,71356307.0,ns,680
group__stabchain__ss__cyclic,random,8,,,72816622.0,ns,690
group__stabchain__ss__cyclic,random,8,,,73508476.0,ns,700
group__stabchain__ss__cyclic,random,8,,,75103302.0,ns,710
group__stabchain__ss__cyclic,random,8,,,75682247.0,ns,720
group__stabchain__ss__cyclic,random,8,,,76687926.0,ns,730
group__stabchain__ss__cyclic,random,8,,,77760111.0,ns,740
group__stabchain__ss__cyclic,random,8,,,79068813.0,ns,750
group__stabchain__ss__cyclic,random,8,,,79843574.0,ns,760
group__stabchain__ss__cyclic,random,8,,,80948761.0,ns,770
group__stabchain__ss__cyclic,random,8,,,81975541.0,ns,780
group__stabchain__ss__cyclic,random,8,,,83312846.0,ns,790
group__stabchain__ss__cyclic,random,8,,,84417932.0,ns,800
group__stabchain__ss__cyclic,random,8,,,85195794.0,ns,810
group__stabchain__ss__cyclic,random,8,,,86311481.0,ns,820
group__stabchain__ss__cyclic,random,8,,,87155147.0,ns,830
group__stabchain__ss__cyclic,random,8,,,88460850.0,ns,840
group__stabchain__ss__cyclic,random,8,,,89607840.0,ns,850
group__stabchain__ss__cyclic,random,8,,,90510011.0,ns,860
