group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__cyclic,random_known_order,10,,,1030980.0,ns,17
group__stabchain__ss__cyclic,random_known_order,10,,,2079360.0,ns,34
group__stabchain__ss__cyclic,random_known_order,10,,,3102739.0,ns,51
group__stabchain__ss__cyclic,random_known_order,10,,,4132119.0,ns,68
group__stabchain__ss__cyclic,random_known_order,10,,,5192100.0,ns,85
group__stabchain__ss__cyclic,random_known_order,10,,,6236181.0,ns,102
group__stabchain__ss__cyclic,random_known_order,10,,,7267760.0,ns,119
group__stabchain__ss__cyclic,random_known_order,10,,,8333442.0,ns,136
group__stabchain__ss__cyclic,random_known_order,10,,,9346419.0,ns,153
group__stabchain__ss__cyclic,random_known_order,10,,,10405401.0,ns,170
group__stabchain__ss__cyclic,random_known_order,10,,,11433380.0,ns,187
group__stabchain__ss__cyclic,random_known_order,10,,,12430457.0,ns,204
group__stabchain__ss__cyclic,random_known_order,10,,,13474938.0,ns,221
group__stabchain__ss__cyclic,random_known_order,10,,,14558921.0,ns,238
group__stabchain__ss__cyclic,random_known_order,10,,,15602801.0,ns,255
group__stabchain__ss__cyclic,random_known_order,10,,,16641282.0,ns,272
group__stabchain__ss__cyclic,random_known_order,10,,,17640959.0,ns,289
group__stabchain__ss__cyclic,random_known_order,10,,,18722142.0,ns,306
group__stabchain__ss__cyclic,random_known_order,10,,,19759422.0,ns,323
group__stabchain__ss__cyclic,random_known_order,10,,,20828004.0,ns,340
group__stabchain__ss__cyclic,random_known_order,10,,,21837582.0,ns,357
group__stabchain__ss__cyclic,random_known_order,10,,,22919565.0,ns,374
group__stabchain__ss__cyclic,random_known_order,10,,,23800433.0,ns,391
group__stabchain__ss__cyclic,random_known_order,10,,,25003226.0,ns,408
group__stabchain__ss__cyclic,random_known_order,10,,,25944197.0,ns,425
group__stabchain__ss__cyclic,random_known_order,10,,,26893771.0,ns,442
group__stabchain__ss__cyclic,random_known_order,10,,,28082863.0,ns,459
group__stabchain__ss__cyclic,random_known_order,10,,,28947029.0,ns,476
group__stabchain__ss__cyclic,random_known_order,10,,,30234529.0,ns,493
group__stabchain__ss__cyclic,random_known_order,10,,,31162700.0,ns,510
group__stabchain__ss__cyclic,random_known_order,10,,,32313389.0,ns,527
