group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__cyclic,random_known_order,8,,,1012079.0,ns,29
group__stabchain__ss__cyclic,random_known_order,8,,,2013258.0,ns,58
group__stabchain__ss__cyclic,random_known_order,8,,,3019536.0,ns,87
group__stabchain__ss__cyclic,random_known_order,8,,,4028616.0,ns,116
group__stabchain__ss__cyclic,random_known_order,8,,,5044795.0,ns,145
group__stabchain__ss__cyclic,random_known_order,8,,,6032873.0,ns,174
group__stabchain__ss__cyclic,random_known_order,8,,,7053653.0,ns,203
group__stabchain__ss__cyclic,random_known_order,8,,,8043830.0,ns,232
group__stabchain__ss__cyclic,random_known_order,8,,,9091713.0,ns,261
group__stabchain__ss__cyclic,random_known_order,8,,,10054488.0,ns,290
group__stabchain__ss__cyclic,random_known_order,8,,,11076568.0,ns,319
group__stabchain__ss__cyclic,random_known_order,8,,,12065046.0,ns,348
group__stabchain__ss__cyclic,random_known_order,8,,,13091827.0,ns,377
group__stabchain__ss__cyclic,random_known_order,8,,,14056202.0,ns,406
group__stabchain__ss__cyclic,random_known_order,8,,,15116186.0,ns,435
group__stabchain__ss__cyclic,random_known_order,8,,,16102663.0,ns,464
group__stabchain__ss__cyclic,random_known_order,8,,,17145145.0,ns,493
group__stabchain__ss__cyclic,random_known_order,8,,,18094119.0,ns,522
group__stabchain__ss__cyclic,random_known_order,8,,,19120599.0,ns,551
group__stabchain__ss__cyclic,random_known_order,8,,,20123478.0,ns,580
group__stabchain__ss__cyclic,random_known_order,8,,,21134957.0,ns,609
group__stabchain__ss__cyclic,random_known_order,8,,,22102833.0,ns,638
group__stabchain__ss__cyclic,random_known_order,8,,,23168117.0,ns,667
group__stabchain__ss__cyclic,random_known_order,8,,,24133392.0,ns,696
group__stabchain__ss__cyclic,random_known_order,8,,,25223777.0,ns,725
group__stabchain__ss__cyclic,random_known_order,8,,,26104747.0,ns,754
group__stabchain__ss__cyclic,random_known_order,8,,,27232035.0,ns,783
group__stabchain__ss__cyclic,random_known_order,8,,,28161208.0,ns,812
group__stabchain__ss__cyclic,random_known_order,8,,,29190389.0,ns,841
group__stabchain__ss__cyclic,random_known_order,8,,,30172665.0,ns,870
group__stabchain__ss__cyclic,random_known_order,8,,,31251050.0,ns,899
group__stabchain__ss__cyclic,random_known_order,8,,,32210526.0,ns,928
group__stabchain__ss__cyclic,random_known_order,8,,,33251807.0,ns,957
group__stabchain__ss__cyclic,random_known_order,8,,,34174080.0,ns,986
group__stabchain__ss__cyclic,random_known_order,8,,,35262665.0,ns,1015
group__stabchain__ss__cyclic,random_known_order,8,,,36233941.0,ns,1044
group__stabchain__ss__cyclic,random_known_order,8,,,37313625.0,ns,1073
group__stabchain__ss__cyclic,random_known_order,8,,,38238898.0,ns,1102
group__stabchain__ss__cyclic,random_known_order,8,,,39299881.0,ns,1131
group__stabchain__ss__cyclic,random_known_order,8,,,40204852.0,ns,1160
group__stabchain__ss__cyclic,random_known_order,8,,,41358043.0,ns,1189
group__stabchain__ss__cyclic,random_known_order,8,,,42205509.0,ns,1218
group__stabchain__ss__cyclic,random_known_order,8,,,43377901.0,ns,1247
group__stabchain__ss__cyclic,random_known_order,8,,,44279272.0,ns,1276
