group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__cyclic,random_shallow,32,,,1219992.0,ns,11
group__stabchain__ss__cyclic,random_shallow,32,,,2132461.0,ns,22
group__stabchain__ss__cyclic,random_shallow,32,,,3190341.0,ns,33
group__stabchain__ss__cyclic,random_shallow,32,,,4032005.0,ns,44
group__stabchain__ss__cyclic,random_shallow,32,,,4708356.0,ns,55
group__stabchain__ss__cyclic,random_shallow,32,,,6160466.0,ns,66
group__stabchain__ss__cyclic,random_shallow,32,,,7560172.0,ns,77
group__stabchain__ss__cyclic,random_shallow,32,,,8591150.0,ns,88
group__stabchain__ss__cyclic,random_shallow,32,,,9735937.0,ns,99
group__stabchain__ss__cyclic,random_shallow,32,,,10657307.0,ns,110
group__stabchain__ss__cyclic,random_shallow,32,,,11333758.0,ns,121
group__stabchain__ss__cyclic,random_shallow,32,,,12611754.0,ns,132
group__stabchain__ss__cyclic,random_shallow,32,,,12993684.0,ns,143
group__stabchain__ss__cyclic,random_shallow,32,,,14952732.0,ns,154
group__stabchain__ss__cyclic,random_shallow,32,,,15116044.0,ns,165
group__stabchain__ss__cyclic,random_shallow,32,,,16643160.0,ns,176
group__stabchain__ss__cyclic,random_shallow,32,,,17160499.0,ns,187
group__stabchain__ss__cyclic,random_shallow,32,,,18717017.0,ns,198
group__stabchain__ss__cyclic,random_shallow,32,,,19781398.0,ns,209
group__stabchain__ss__cyclic,random_shallow,32,,,20860279.0,ns,220
group__stabchain__ss__cyclic,random_shallow,32,,,22070371.0,ns,231
group__stabchain__ss__cyclic,random_shallow,32,,,22555508.0,ns,242
group__stabchain__ss__cyclic,random_shallow,32,,,22865332.0,ns,253
group__stabchain__ss__cyclic,random_shallow,32,,,24798478.0,ns,264
group__stabchain__ss__cyclic,random_shallow,32,,,25790453.0,ns,275
group__stabchain__ss__cyclic,random_shallow,32,,,27176658.0,ns,286
group__stabchain__ss__cyclic,random_shallow,32,,,28124729.0,ns,297
group__stabchain__ss__cyclic,random_shallow,32,,,29281617.0,ns,308
group__stabchain__ss__cyclic,random_shallow,32,,,29419827.0,ns,319
group__stabchain__ss__cyclic,random_shallow,32,,,31648496.0,ns,330
group__stabchain__ss__cyclic,random_shallow,32,,,32020024.0,ns,341
group__stabchain__ss__cyclic,random_shallow,32,,,34312298.0,ns,352
group__stabchain__ss__cyclic,random_shallow,32,,,34787334.0,ns,363
group__stabchain__ss__cyclic,random_shallow,32,,,36695679.0,ns,374
group__stabchain__ss__cyclic,random_shallow,32,,,36421458.0,ns,385
group__stabchain__ss__cyclic,random_shallow,32,,,38366105.0,ns,396
group__stabchain__ss__cyclic,random_shallow,32,,,39916922.0,ns,407
group__stabchain__ss__cyclic,random_shallow,32,,,41111513.0,ns,418
group__stabchain__ss__cyclic,random_shallow,32,,,41941375.0,ns,429
group__stabchain__ss__cyclic,random_shallow,32,,,42365407.0,ns,440
group__stabchain__ss__cyclic,random_shallow,32,,,43920026.0,ns,451
group__stabchain__ss__cyclic,random_shallow,32,,,44263552.0,ns,462
group__stabchain__ss__cyclic,random_shallow,32,,,46118292.0,ns,473
group__stabchain__ss__cyclic,random_shallow,32,,,47083765.0,ns,484
group__stabchain__ss__cyclic,random_shallow,32,,,48311558.0,ns,495
group__stabchain__ss__cyclic,random_shallow,32,,,49121619.0,ns,506
group__stabchain__ss__cyclic,random_shallow,32,,,49643358.0,ns,517
group__stabchain__ss__cyclic,random_shallow,32,,,50841249.0,ns,528
group__stabchain__ss__cyclic,random_shallow,32,,,51888928.0,ns,539
group__stabchain__ss__cyclic,random_shallow,32,,,52531877.0,ns,550
group__stabchain__ss__cyclic,random_shallow,32,,,54245907.0,ns,561
group__stabchain__ss__cyclic,random_shallow,32,,,55528105.0,ns,572
group__stabchain__ss__cyclic,random_shallow,32,,,55513403.0,ns,583
group__stabchain__ss__cyclic,random_shallow,32,,,57264135.0,ns,594
group__stabchain__ss__cyclic,random_shallow,32,,,57057120.0,ns,605
group__stabchain__ss__cyclic,random_shallow,32,,,58475027.0,ns,616
group__stabchain__ss__cyclic,random_shallow,32,,,60334068.0,ns,627
group__stabchain__ss__cyclic,random_shallow,32,,,60451577.0,ns,638
group__stabchain__ss__cyclic,random_shallow,32,,,61258938.0,ns,649
group__stabchain__ss__cyclic,random_shallow,32,,,62378723.0,ns,660
group__stabchain__ss__cyclic,random_shallow,32,,,64417577.0,ns,671
group__stabchain__ss__cyclic,random_shallow,32,,,64770004.0,ns,682
group__stabchain__ss__cyclic,random_shallow,32,,,66493835.0,ns,693
group__stabchain__ss__cyclic,random_shallow,32,,,68240767.0,ns,704
group__stabchain__ss__cyclic,random_shallow,32,,,69300546.0,ns,715
group__stabchain__ss__cyclic,random_shallow,32,,,70671751.0,ns,726
group__stabchain__ss__cyclic,random_shallow,32,,,71671427.0,ns,737
group__stabchain__ss__cyclic,random_shallow,32,,,72235969.0,ns,748
group__stabchain__ss__cyclic,random_shallow,32,,,74351829.0,ns,759
group__stabchain__ss__cyclic,random_shallow,32,,,74903171.0,ns,770
group__stabchain__ss__cyclic,random_shallow,32,,,74613549.0,ns,781
group__stabchain__ss__cyclic,random_shallow,32,,,76851919.0,ns,792
group__stabchain__ss__cyclic,random_shallow,32,,,75694931.0,ns,803
group__stabchain__ss__cyclic,random_shallow,32,,,78586250.0,ns,814
group__stabchain__ss__cyclic,random_shallow,32,,,79292304.0,ns,825
group__stabchain__ss__cyclic,random_shallow,32,,,79941553.0,ns,836
group__stabchain__ss__cyclic,random_shallow,32,,,81129743.0,ns,847
group__stabchain__ss__cyclic,random_shallow,32,,,81317256.0,ns,858
group__stabchain__ss__cyclic,random_shallow,32,,,83222801.0,ns,869
group__stabchain__ss__cyclic,random_shallow,32,,,84887027.0,ns,880
group__stabchain__ss__cyclic,random_shallow,32,,,84636508.0,ns,891
group__stabchain__ss__cyclic,random_shallow,32,,,82587153.0,ns,902
group__stabchain__ss__cyclic,random_shallow,32,,,87024088.0,ns,913
group__stabchain__ss__cyclic,random_shallow,32,,,87929457.0,ns,924
group__stabchain__ss__cyclic,random_shallow,32,,,89848002.0,ns,935
group__stabchain__ss__cyclic,random_shallow,32,,,90401544.0,ns,946
group__stabchain__ss__cyclic,random_shallow,32,,,91946362.0,ns,957
group__stabchain__ss__cyclic,random_shallow,32,,,92790425.0,ns,968
group__stabchain__ss__cyclic,random_shallow,32,,,93739397.0,ns,979
group__stabchain__ss__cyclic,random_shallow,32,,,94274137.0,ns,990
group__stabchain__ss__cyclic,random_shallow,32,,,95412324.0,ns,1001
group__stabchain__ss__cyclic,random_shallow,32,,,97077649.0,ns,1012
group__stabchain__ss__cyclic,random_shallow,32,,,99744552.0,ns,1023
group__stabchain__ss__cyclic,random_shallow,32,,,97965918.0,ns,1034
group__stabchain__ss__cyclic,random_shallow,32,,,100762029.0,ns,1045
group__stabchain__ss__cyclic,random_shallow,32,,,100616918.0,ns,1056
group__stabchain__ss__cyclic,random_shallow,32,,,101451481.0,ns,1067
group__stabchain__ss__cyclic,random_shallow,32,,,102336748.0,ns,1078
group__stabchain__ss__cyclic,random_shallow,32,,,105355376.0,ns,1089
group__stabchain__ss__cyclic,random_shallow,32,,,105208165.0,ns,1100
