group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__cyclic,random_shallow,8,,,1046991.0,ns,31
group__stabchain__ss__cyclic,random_shallow,8,,,2011275.0,ns,62
group__stabchain__ss__cyclic,random_shallow,8,,,3091268.0,ns,93
group__stabchain__ss__cyclic,random_shallow,8,,,4054351.0,ns,124
group__stabchain__ss__cyclic,random_shallow,8,,,5074840.0,ns,155
group__stabchain__ss__cyclic,random_shallow,8,,,5885010.0,ns,186
group__stabchain__ss__cyclic,random_shallow,8,,,7157120.0,ns,217
group__stabchain__ss__cyclic,random_shallow,8,,,7647363.0,ns,248
group__stabchain__ss__cyclic,random_shallow,8,,,9134292.0,ns,279
group__stabchain__ss__cyclic,random_shallow,8,,,10315394.0,ns,310
group__stabchain__ss__cyclic,random_shallow,8,,,11211372.0,ns,341
group__stabchain__ss__cyclic,random_shallow,8,,,11766020.0,ns,372
group__stabchain__ss__cyclic,random_shallow,8,,,13266249.0,ns,403
group__stabchain__ss__cyclic,random_shallow,8,,,14118523.0,ns,434
group__stabchain__ss__cyclic,random_shallow,8,,,14899391.0,ns,465
group__stabchain__ss__cyclic,random_shallow,8,,,16210705.0,ns,496
group__stabchain__ss__cyclic,random_shallow,8,,,16724149.0,ns,527
group__stabchain__ss__cyclic,random_shallow,8,,,17818344.0,ns,558
group__stabchain__ss__cyclic,random_shallow,8,,,18942641.0,ns,589
group__stabchain__ss__cyclic,random_shallow,8,,,19927827.0,ns,620
group__stabchain__ss__cyclic,random_shallow,8,,,21386753.0,ns,651
group__stabchain__ss__cyclic,random_shallow,8,,,22195824.0,ns,682
group__stabchain__ss__cyclic,random_shallow,8,,,23317521.0,ns,713
group__stabchain__ss__cyclic,random_shallow,8,,,24180195.0,ns,744
group__stabchain__ss__cyclic,random_shallow,8,,,25456406.0,ns,775
group__stabchain__ss__cyclic,random_shallow,8,,,26673411.0,ns,806
group__stabchain__ss__cyclic,random_shallow,8,,,25414403.0,ns,837
group__stabchain__ss__cyclic,random_shallow,8,,,28062932.0,ns,868
group__stabchain__ss__cyclic,random_shallow,8,,,28702787.0,ns,899
group__stabchain__ss__cyclic,random_shallow,8,,,30045603.0,ns,930
group__stabchain__ss__cyclic,random_shallow,8,,,31178801.0,ns,961
group__stabchain__ss__cyclic,random_shallow,8,,,32432810.0,ns,992
group__stabchain__ss__cyclic,random_shallow,8,,,31637641.0,ns,1023
group__stabchain__ss__cyclic,random_shallow,8,,,34154960.0,ns,1054
group__stabchain__ss__cyclic,random_shallow,8,,,34473287.0,ns,1085
group__stabchain__ss__cyclic,random_shallow,8,,,36169135.0,ns,1116
group__stabchain__ss__cyclic,random_shallow,8,,,37384339.0,ns,1147
group__stabchain__ss__cyclic,random_shallow,8,,,36965103.0,ns,1178
group__stabchain__ss__cyclic,random_shallow,8,,,39145893.0,ns,1209
group__stabchain__ss__cyclic,random_shallow,8,,,39049184.0,ns,1240
group__stabchain__ss__cyclic,random_shallow,8,,,40244788.0,ns,1271
group__stabchain__ss__cyclic,random_shallow,8,,,41490695.0,ns,1302
group__stabchain__ss__cyclic,random_shallow,8,,,42772706.0,ns,1333
group__stabchain__ss__cyclic,random_shallow,8,,,42566589.0,ns,1364
group__stabchain__ss__cyclic,random_shallow,8,,,45319028.0,ns,1395
group__stabchain__ss__cyclic,random_shallow,8,,,46282111.0,ns,1426
group__stabchain__ss__cyclic,random_shallow,8,,,45969284.0,ns,1457
group__stabchain__ss__cyclic,random_shallow,8,,,48201977.0,ns,1488
group__stabchain__ss__cyclic,random_shallow,8,,,48669518.0,ns,1519
group__stabchain__ss__cyclic,random_shallow,8,,,50059838.0,ns,1550
group__stabchain__ss__cyclic,random_shallow,8,,,50261056.0,ns,1581
