group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,1052479.0,ns,24
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,2123559.0,ns,48
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,3158137.0,ns,72
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,4228417.0,ns,96
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,5255195.0,ns,120
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,6123260.0,ns,144
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,7332450.0,ns,168
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,8452734.0,ns,192
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,9303698.0,ns,216
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,10311274.0,ns,240
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,11422157.0,ns,264
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,12704554.0,ns,288
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,13715130.0,ns,312
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,14718105.0,ns,336
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,15573769.0,ns,360
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,16675252.0,ns,384
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,17765533.0,ns,408
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,18542692.0,ns,432
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,19919895.0,ns,456
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,20738356.0,ns,480
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,21699829.0,ns,504
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,23110835.0,ns,528
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,23831689.0,ns,552
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,24801262.0,ns,576
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,26027153.0,ns,600
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,27119836.0,ns,624
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,28303925.0,ns,648
group__stabchain__ss__cyclic,random_shallow_known_order,16,,,28286524.0,ns,672
