group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,1023678.0,ns,20
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,2024353.0,ns,40
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,2771210.0,ns,60
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,4041307.0,ns,80
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,5084485.0,ns,100
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,5965252.0,ns,120
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,6833818.0,ns,140
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,8015408.0,ns,160
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,8949879.0,ns,180
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,9684235.0,ns,200
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,10564801.0,ns,220
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,11977309.0,ns,240
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,13025187.0,ns,260
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,13544627.0,ns,280
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,14210178.0,ns,300
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,15856202.0,ns,320
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,16242432.0,ns,340
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,17319114.0,ns,360
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,18305889.0,ns,380
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,20104924.0,ns,400
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,20696870.0,ns,420
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,22264489.0,ns,440
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,22819430.0,ns,460
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,23229962.0,ns,480
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,25177909.0,ns,500
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,24467355.0,ns,520
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,27004348.0,ns,540
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,27801108.0,ns,560
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,29188614.0,ns,580
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,30259794.0,ns,600
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,31311775.0,ns,620
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,32096334.0,ns,640
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,32928697.0,ns,660
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,33393932.0,ns,680
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,35071560.0,ns,700
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,35719109.0,ns,720
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,35358182.0,ns,740
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,37784266.0,ns,760
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,37139216.0,ns,780
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,38714036.0,ns,800
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,40011434.0,ns,820
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,41629357.0,ns,840
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,40837297.0,ns,860
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,43012562.0,ns,880
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,44415469.0,ns,900
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,44711090.0,ns,920
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,46360716.0,ns,940
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,46744545.0,ns,960
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,47088071.0,ns,980
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,50246611.0,ns,1000
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,50179105.0,ns,1020
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,51873434.0,ns,1040
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,52375572.0,ns,1060
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,53493557.0,ns,1080
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,54658945.0,ns,1100
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,55644720.0,ns,1120
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,56166459.0,ns,1140
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,56450081.0,ns,1160
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,59085781.0,ns,1180
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,59337200.0,ns,1200
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,61028429.0,ns,1220
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,62343628.0,ns,1240
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,62284524.0,ns,1260
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,64268773.0,ns,1280
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,65220046.0,ns,1300
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,66338531.0,ns,1320
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,66000005.0,ns,1340
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,68139868.0,ns,1360
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,68735513.0,ns,1380
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,70814570.0,ns,1400
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,71254604.0,ns,1420
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,71353711.0,ns,1440
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,73094943.0,ns,1460
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,71681636.0,ns,1480
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,74107620.0,ns,1500
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,74721266.0,ns,1520
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,76182378.0,ns,1540
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,76217081.0,ns,1560
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,77133350.0,ns,1580
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,79109397.0,ns,1600
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,79382202.0,ns,1620
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,79303796.0,ns,1640
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,81650774.0,ns,1660
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,83520715.0,ns,1680
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,85035130.0,ns,1700
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,85314551.0,ns,1720
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,86921572.0,ns,1740
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,87167691.0,ns,1760
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,87740034.0,ns,1780
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,88761812.0,ns,1800
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,88435386.0,ns,1820
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,91453715.0,ns,1840
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,92673307.0,ns,1860
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,93096639.0,ns,1880
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,91875847.0,ns,1900
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,93187246.0,ns,1920
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,95209498.0,ns,1940
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,97277755.0,ns,1960
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,97814596.0,ns,1980
group__stabchain__ss__cyclic,random_shallow_known_order,20,,,99691238.0,ns,2000
