group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__product_symmetric,default,16,,,24376791.0,ns,15
group__stabchain__ss__product_symmetric,default,16,,,48752582.0,ns,30
group__stabchain__ss__product_symmetric,default,16,,,73114973.0,ns,45
group__stabchain__ss__product_symmetric,default,16,,,97441360.0,ns,60
group__stabchain__ss__product_symmetric,default,16,,,121911257.0,ns,75
group__stabchain__ss__product_symmetric,default,16,,,146282849.0,ns,90
group__stabchain__ss__product_symmetric,default,16,,,170618137.0,ns,105
group__stabchain__ss__product_symmetric,default,16,,,194929023.0,ns,120
group__stabchain__ss__product_symmetric,default,16,,,219329116.0,ns,135
group__stabchain__ss__product_symmetric,default,16,,,243805714.0,ns,150
group__stabchain__ss__product_symmetric,default,16,,,268030594.0,ns,165
group__stabchain__ss__product_symmetric,default,16,,,292399385.0,ns,180
group__stabchain__ss__product_symmetric,default,16,,,316822679.0,ns,195
group__stabchain__ss__product_symmetric,default,16,,,341198071.0,ns,210
group__stabchain__ss__product_symmetric,default,16,,,365742473.0,ns,225
group__stabchain__ss__product_symmetric,default,16,,,389856545.0,ns,240
group__stabchain__ss__product_symmetric,default,16,,,414251238.0,ns,255
group__stabchain__ss__product_symmetric,default,16,,,438760538.0,ns,270
group__stabchain__ss__product_symmetric,default,16,,,463007619.0,ns,285
group__stabchain__ss__product_symmetric,default,16,,,487453915.0,ns,300
