group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__product_symmetric,default,32,,,45859156.0,ns,2
group__stabchain__ss__product_symmetric,default,32,,,91443093.0,ns,4
group__stabchain__ss__product_symmetric,default,32,,,137208543.0,ns,6
group__stabchain__ss__product_symmetric,default,32,,,183076400.0,ns,8
group__stabchain__ss__product_symmetric,default,32,,,228986061.0,ns,10
group__stabchain__ss__product_symmetric,default,32,,,274173568.0,ns,12
group__stabchain__ss__product_symmetric,default,32,,,320110730.0,ns,14
group__stabchain__ss__product_symmetric,default,32,,,366174002.0,ns,16
group__stabchain__ss__product_symmetric,default,32,,,412922924.0,ns,18
group__stabchain__ss__product_symmetric,default,32,,,457096356.0,ns,20
group__stabchain__ss__product_symmetric,default,32,,,503475050.0,ns,22
group__stabchain__ss__product_symmetric,default,32,,,548911676.0,ns,24
group__stabchain__ss__product_symmetric,default,32,,,594906942.0,ns,26
group__stabchain__ss__product_symmetric,default,32,,,639899735.0,ns,28
group__stabchain__ss__product_symmetric,default,32,,,686145720.0,ns,30
group__stabchain__ss__product_symmetric,default,32,,,731034905.0,ns,32
group__stabchain__ss__product_symmetric,default,32,,,777412900.0,ns,34
group__stabchain__ss__product_symmetric,default,32,,,823355061.0,ns,36
group__stabchain__ss__product_symmetric,default,32,,,869684552.0,ns,38
group__stabchain__ss__product_symmetric,default,32,,,914956766.0,ns,40
