group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__product_symmetric,ift,16,,,27248601.0,ns,7
group__stabchain__ss__product_symmetric,ift,16,,,54531406.0,ns,14
group__stabchain__ss__product_symmetric,ift,16,,,81888915.0,ns,21
group__stabchain__ss__product_symmetric,ift,16,,,109080212.0,ns,28
group__stabchain__ss__product_symmetric,ift,16,,,136588533.0,ns,35
group__stabchain__ss__product_symmetric,ift,16,,,163608017.0,ns,42
group__stabchain__ss__product_symmetric,ift,16,,,190841118.0,ns,49
group__stabchain__ss__product_symmetric,ift,16,,,218132822.0,ns,56
group__stabchain__ss__product_symmetric,ift,16,,,245265614.0,ns,63
group__stabchain__ss__product_symmetric,ift,16,,,272585922.0,ns,70
group__stabchain__ss__product_symmetric,ift,16,,,299828823.0,ns,77
group__stabchain__ss__product_symmetric,ift,16,,,327124727.0,ns,84
group__stabchain__ss__product_symmetric,ift,16,,,354403131.0,ns,91
group__stabchain__ss__product_symmetric,ift,16,,,381599928.0,ns,98
group__stabchain__ss__product_symmetric,ift,16,,,408962738.0,ns,105
group__stabchain__ss__product_symmetric,ift,16,,,436095630.0,ns,112
group__stabchain__ss__product_symmetric,ift,16,,,463430738.0,ns,119
group__stabchain__ss__product_symmetric,ift,16,,,490905956.0,ns,126
group__stabchain__ss__product_symmetric,ift,16,,,517996345.0,ns,133
group__stabchain__ss__product_symmetric,ift,16,,,545365356.0,ns,140
