group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__product_symmetric,ift,20,,,27194794.0,ns,3
group__stabchain__ss__product_symmetric,ift,20,,,54359586.0,ns,6
group__stabchain__ss__product_symmetric,ift,20,,,81638387.0,ns,9
group__stabchain__ss__product_symmetric,ift,20,,,108708971.0,ns,12
group__stabchain__ss__product_symmetric,ift,20,,,135930968.0,ns,15
group__stabchain__ss__product_symmetric,ift,20,,,163154665.0,ns,18
group__stabchain__ss__product_symmetric,ift,20,,,190232350.0,ns,21
group__stabchain__ss__product_symmetric,ift,20,,,217587656.0,ns,24
group__stabchain__ss__product_symmetric,ift,20,,,244825253.0,ns,27
group__stabchain__ss__product_symmetric,ift,20,,,271853135.0,ns,30
group__stabchain__ss__product_symmetric,ift,20,,,298871917.0,ns,33
group__stabchain__ss__product_symmetric,ift,20,,,326513343.0,ns,36
group__stabchain__ss__product_symmetric,ift,20,,,353320009.0,ns,39
group__stabchain__ss__product_symmetric,ift,20,,,380759221.0,ns,42
group__stabchain__ss__product_symmetric,ift,20,,,407788103.0,ns,45
group__stabchain__ss__product_symmetric,ift,20,,,434870089.0,ns,48
group__stabchain__ss__product_symmetric,ift,20,,,462350604.0,ns,51
group__stabchain__ss__product_symmetric,ift,20,,,489154169.0,ns,54
group__stabchain__ss__product_symmetric,ift,20,,,516709189.0,ns,57
group__stabchain__ss__product_symmetric,ift,20,,,543624063.0,ns,60
