group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__product_symmetric,naive,10,,,24232104.0,ns,58
group__stabchain__ss__product_symmetric,naive,10,,,48042277.0,ns,116
group__stabchain__ss__product_symmetric,naive,10,,,72618105.0,ns,174
group__stabchain__ss__product_symmetric,naive,10,,,97227636.0,ns,232
group__stabchain__ss__product_symmetric,naive,10,,,121104114.0,ns,290
group__stabchain__ss__product_symmetric,naive,10,,,145134703.0,ns,348
group__stabchain__ss__product_symmetric,naive,10,,,169537260.0,ns,406
group__stabchain__ss__product_symmetric,naive,10,,,193579486.0,ns,464
group__stabchain__ss__product_symmetric,naive,10,,,218326300.0,ns,522
group__stabchain__ss__product_symmetric,naive,10,,,239425546.0,ns,580
group__stabchain__ss__product_symmetric,naive,10,,,263017075.0,ns,638
group__stabchain__ss__product_symmetric,naive,10,,,286231776.0,ns,696
group__stabchain__ss__product_symmetric,naive,10,,,312566106.0,ns,754
group__stabchain__ss__product_symmetric,naive,10,,,335421081.0,ns,812
group__stabchain__ss__product_symmetric,naive,10,,,360637829.0,ns,870
group__stabchain__ss__product_symmetric,naive,10,,,383001668.0,ns,928
group__stabchain__ss__product_symmetric,naive,10,,,408750255.0,ns,986
group__stabchain__ss__product_symmetric,naive,10,,,430501248.0,ns,1044
group__stabchain__ss__product_symmetric,naive,10,,,454579613.0,ns,1102
group__stabchain__ss__product_symmetric,naive,10,,,483551136.0,ns,1160
