group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__product_symmetric,naive,16,,,24621509.0,ns,15
group__stabchain__ss__product_symmetric,naive,16,,,49205915.0,ns,30
group__stabchain__ss__product_symmetric,naive,16,,,73856026.0,ns,45
group__stabchain__ss__product_symmetric,naive,16,,,98476435.0,ns,60
group__stabchain__ss__product_symmetric,naive,16,,,123146047.0,ns,75
group__stabchain__ss__product_symmetric,naive,16,,,147780256.0,ns,90
group__stabchain__ss__product_symmetric,naive,16,,,172539176.0,ns,105
group__stabchain__ss__product_symmetric,naive,16,,,196990172.0,ns,120
group__stabchain__ss__product_symmetric,naive,16,,,221648583.0,ns,135
group__stabchain__ss__product_symmetric,naive,16,,,246208088.0,ns,150
group__stabchain__ss__product_symmetric,naive,16,,,270963406.0,ns,165
group__stabchain__ss__product_symmetric,naive,16,,,295529811.0,ns,180
group__stabchain__ss__product_symmetric,naive,16,,,320373035.0,ns,195
group__stabchain__ss__product_symmetric,naive,16,,,344636719.0,ns,210
group__stabchain__ss__product_symmetric,naive,16,,,369244425.0,ns,225
group__stabchain__ss__product_symmetric,naive,16,,,393830432.0,ns,240
group__stabchain__ss__product_symmetric,naive,16,,,418542647.0,ns,255
group__stabchain__ss__product_symmetric,naive,16,,,443030246.0,ns,270
group__stabchain__ss__product_symmetric,naive,16,,,467750762.0,ns,285
group__stabchain__ss__product_symmetric,naive,16,,,492524981.0,ns,300
