group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__product_symmetric,random,10,,,421719523.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,422385872.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,421732824.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,421548410.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,421995443.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,421541710.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,421796328.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,422220259.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,421592513.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,421807028.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,421787427.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,421360695.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,421907434.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,422287163.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,421861131.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,421142078.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,421726820.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,421823527.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,421884932.0,ns,2
group__stabchain__ss__product_symmetric,random,10,,,422176353.0,ns,2
