group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__product_symmetric,random,8,,,286556525.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286510422.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286540524.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286603428.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286494120.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286616529.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286461018.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286423515.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286673933.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286456517.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286596027.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286555223.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286650331.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286843445.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286421513.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286555823.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286512621.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286578425.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286431914.0,ns,6
group__stabchain__ss__product_symmetric,random,8,,,286780339.0,ns,6
