group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__product_symmetric,random_shallow,8,,,24947959.0,ns,15
group__stabchain__ss__product_symmetric,random_shallow,8,,,46734894.0,ns,30
group__stabchain__ss__product_symmetric,random_shallow,8,,,76292779.0,ns,45
group__stabchain__ss__product_symmetric,random_shallow,8,,,96637813.0,ns,60
group__stabchain__ss__product_symmetric,random_shallow,8,,,124219258.0,ns,75
group__stabchain__ss__product_symmetric,random_shallow,8,,,140972839.0,ns,90
group__stabchain__ss__product_symmetric,random_shallow,8,,,170932851.0,ns,105
group__stabchain__ss__product_symmetric,random_shallow,8,,,188563594.0,ns,120
group__stabchain__ss__product_symmetric,random_shallow,8,,,219506375.0,ns,135
group__stabchain__ss__product_symmetric,random_shallow,8,,,246217459.0,ns,150
group__stabchain__ss__product_symmetric,random_shallow,8,,,269469498.0,ns,165
group__stabchain__ss__product_symmetric,random_shallow,8,,,292253905.0,ns,180
group__stabchain__ss__product_symmetric,random_shallow,8,,,313249384.0,ns,195
group__stabchain__ss__product_symmetric,random_shallow,8,,,335688967.0,ns,210
group__stabchain__ss__product_symmetric,random_shallow,8,,,365020634.0,ns,225
group__stabchain__ss__product_symmetric,random_shallow,8,,,385258561.0,ns,240
group__stabchain__ss__product_symmetric,random_shallow,8,,,404665930.0,ns,255
group__stabchain__ss__product_symmetric,random_shallow,8,,,427748257.0,ns,270
group__stabchain__ss__product_symmetric,random_shallow,8,,,458588832.0,ns,285
group__stabchain__ss__product_symmetric,random_shallow,8,,,490791602.0,ns,300
