group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,508181384.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,510366844.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,509158855.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,511512428.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,511967662.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,509527482.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,514563751.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,510133326.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,509168355.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,508287991.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,511927357.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,512072767.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,510272036.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,512306184.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,514202523.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,511657736.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,509417971.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,507706246.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,508843929.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,16,,,509221756.0,ns,1
