group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2496417501.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2497062347.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2502883074.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2493229665.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2502229224.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2495799052.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2498162925.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2493560887.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2498616157.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2493063749.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2492205186.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2490101532.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2490211339.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2485125165.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2484652431.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2487250620.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2491895059.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2503810232.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2487481735.0,ns,1
group__stabchain__ss__product_symmetric,random_shallow_known_order,32,,,2497121041.0,ns,1
