group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__cyclic,default,20,,,998174.0,ns,190
group__stabchain__ss__selector_comparison__cyclic,default,20,,,1997847.0,ns,380
group__stabchain__ss__selector_comparison__cyclic,default,20,,,2998521.0,ns,570
group__stabchain__ss__selector_comparison__cyclic,default,20,,,4011496.0,ns,760
group__stabchain__ss__selector_comparison__cyclic,default,20,,,4973166.0,ns,950
group__stabchain__ss__selector_comparison__cyclic,default,20,,,5978340.0,ns,1140
group__stabchain__ss__selector_comparison__cyclic,default,20,,,6969113.0,ns,1330
group__stabchain__ss__selector_comparison__cyclic,default,20,,,7975687.0,ns,1520
group__stabchain__ss__selector_comparison__cyclic,default,20,,,8946958.0,ns,1710
group__stabchain__ss__selector_comparison__cyclic,default,20,,,9960433.0,ns,1900
group__stabchain__ss__selector_comparison__cyclic,default,20,,,10976307.0,ns,2090
group__stabchain__ss__selector_comparison__cyclic,default,20,,,11948579.0,ns,2280
group__stabchain__ss__selector_comparison__cyclic,default,20,,,12970155.0,ns,2470
group__stabchain__ss__selector_comparison__cyclic,default,20,,,13932626.0,ns,2660
group__stabchain__ss__selector_comparison__cyclic,default,20,,,14944900.0,ns,2850
group__stabchain__ss__selector_comparison__cyclic,default,20,,,15953274.0,ns,3040
group__stabchain__ss__selector_comparison__cyclic,default,20,,,16938047.0,ns,3230
group__stabchain__ss__selector_comparison__cyclic,default,20,,,17935420.0,ns,3420
group__stabchain__ss__selector_comparison__cyclic,default,20,,,18869289.0,ns,3610
group__stabchain__ss__selector_comparison__cyclic,default,20,,,19950469.0,ns,3800
group__stabchain__ss__selector_comparison__cyclic,default,20,,,20885337.0,ns,3990
group__stabchain__ss__selector_comparison__cyclic,default,20,,,21914613.0,ns,4180
group__stabchain__ss__selector_comparison__cyclic,default,20,,,22901686.0,ns,4370
group__stabchain__ss__selector_comparison__cyclic,default,20,,,23807252.0,ns,4560
group__stabchain__ss__selector_comparison__cyclic,default,20,,,24915933.0,ns,4750
