group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__cyclic,default,32,,,982171.0,ns,102
group__stabchain__ss__selector_comparison__cyclic,default,32,,,1968344.0,ns,204
group__stabchain__ss__selector_comparison__cyclic,default,32,,,2957417.0,ns,306
group__stabchain__ss__selector_comparison__cyclic,default,32,,,3930488.0,ns,408
group__stabchain__ss__selector_comparison__cyclic,default,32,,,4926661.0,ns,510
group__stabchain__ss__selector_comparison__cyclic,default,32,,,5888931.0,ns,612
group__stabchain__ss__selector_comparison__cyclic,default,32,,,6896404.0,ns,714
group__stabchain__ss__selector_comparison__cyclic,default,32,,,7795870.0,ns,816
group__stabchain__ss__selector_comparison__cyclic,default,32,,,8847747.0,ns,918
group__stabchain__ss__selector_comparison__cyclic,default,32,,,9862521.0,ns,1020
group__stabchain__ss__selector_comparison__cyclic,default,32,,,10768988.0,ns,1122
group__stabchain__ss__selector_comparison__cyclic,default,32,,,11613650.0,ns,1224
group__stabchain__ss__selector_comparison__cyclic,default,32,,,12755133.0,ns,1326
group__stabchain__ss__selector_comparison__cyclic,default,32,,,13618096.0,ns,1428
group__stabchain__ss__selector_comparison__cyclic,default,32,,,14302747.0,ns,1530
group__stabchain__ss__selector_comparison__cyclic,default,32,,,15527737.0,ns,1632
group__stabchain__ss__selector_comparison__cyclic,default,32,,,16752626.0,ns,1734
group__stabchain__ss__selector_comparison__cyclic,default,32,,,17515182.0,ns,1836
group__stabchain__ss__selector_comparison__cyclic,default,32,,,18857680.0,ns,1938
group__stabchain__ss__selector_comparison__cyclic,default,32,,,19639038.0,ns,2040
group__stabchain__ss__selector_comparison__cyclic,default,32,,,20691815.0,ns,2142
group__stabchain__ss__selector_comparison__cyclic,default,32,,,21617482.0,ns,2244
group__stabchain__ss__selector_comparison__cyclic,default,32,,,22598554.0,ns,2346
group__stabchain__ss__selector_comparison__cyclic,default,32,,,23541923.0,ns,2448
group__stabchain__ss__selector_comparison__cyclic,default,32,,,24497593.0,ns,2550
group__stabchain__ss__selector_comparison__cyclic,default,32,,,25522368.0,ns,2652
group__stabchain__ss__selector_comparison__cyclic,default,32,,,26687954.0,ns,2754
group__stabchain__ss__selector_comparison__cyclic,default,32,,,27567918.0,ns,2856
group__stabchain__ss__selector_comparison__cyclic,default,32,,,28476885.0,ns,2958
group__stabchain__ss__selector_comparison__cyclic,default,32,,,29512360.0,ns,3060
group__stabchain__ss__selector_comparison__cyclic,default,32,,,30501733.0,ns,3162
group__stabchain__ss__selector_comparison__cyclic,default,32,,,31517707.0,ns,3264
group__stabchain__ss__selector_comparison__cyclic,default,32,,,32405171.0,ns,3366
group__stabchain__ss__selector_comparison__cyclic,default,32,,,33311038.0,ns,3468
group__stabchain__ss__selector_comparison__cyclic,default,32,,,34204904.0,ns,3570
group__stabchain__ss__selector_comparison__cyclic,default,32,,,34972760.0,ns,3672
group__stabchain__ss__selector_comparison__cyclic,default,32,,,36014736.0,ns,3774
group__stabchain__ss__selector_comparison__cyclic,default,32,,,36955705.0,ns,3876
group__stabchain__ss__selector_comparison__cyclic,default,32,,,38320105.0,ns,3978
group__stabchain__ss__selector_comparison__cyclic,default,32,,,39220771.0,ns,4080
