group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,994173.0,ns,237
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,1972046.0,ns,474
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,2916114.0,ns,711
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,3895386.0,ns,948
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,4951765.0,ns,1185
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,5834930.0,ns,1422
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,6823402.0,ns,1659
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,7901682.0,ns,1896
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,8833750.0,ns,2133
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,9881227.0,ns,2370
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,10708888.0,ns,2607
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,11845472.0,ns,2844
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,12677733.0,ns,3081
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,13789215.0,ns,3318
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,14809990.0,ns,3555
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,15535844.0,ns,3792
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,16781135.0,ns,4029
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,17780008.0,ns,4266
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,18564066.0,ns,4503
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,19751454.0,ns,4740
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,20423904.0,ns,4977
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,21695797.0,ns,5214
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,22708572.0,ns,5451
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,23336218.0,ns,5688
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,24667515.0,ns,5925
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,25682790.0,ns,6162
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,26199829.0,ns,6399
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,27238505.0,ns,6636
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,28624507.0,ns,6873
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,29259354.0,ns,7110
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,30377936.0,ns,7347
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,31592825.0,ns,7584
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,32564697.0,ns,7821
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,33173742.0,ns,8058
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,34375631.0,ns,8295
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,35570318.0,ns,8532
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,35953547.0,ns,8769
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,37212739.0,ns,9006
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,38427529.0,ns,9243
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,39440903.0,ns,9480
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,40482580.0,ns,9717
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,40838706.0,ns,9954
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,42453525.0,ns,10191
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,42725845.0,ns,10428
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,43709717.0,ns,10665
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,44858302.0,ns,10902
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,46383614.0,ns,11139
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,47405689.0,ns,11376
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,48355259.0,ns,11613
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,49314130.0,ns,11850
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,49723660.0,ns,12087
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,51326678.0,ns,12324
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,51956325.0,ns,12561
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,53268321.0,ns,12798
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,53621547.0,ns,13035
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,55243467.0,ns,13272
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,56240539.0,ns,13509
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,56388550.0,ns,13746
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,57334621.0,ns,13983
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,58778826.0,ns,14220
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,59468177.0,ns,14457
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,61090497.0,ns,14694
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,62240881.0,ns,14931
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,62223981.0,ns,15168
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,64164623.0,ns,15405
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,64309633.0,ns,15642
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,65580327.0,ns,15879
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,67113440.0,ns,16116
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,68155217.0,ns,16353
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,69125788.0,ns,16590
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,69096886.0,ns,16827
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,70473387.0,ns,17064
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,71282447.0,ns,17301
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,71907993.0,ns,17538
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,73969445.0,ns,17775
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,73793532.0,ns,18012
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,75044623.0,ns,18249
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,76829955.0,ns,18486
group__stabchain__ss__selector_comparison__cyclic,fixed,16,,,77220884.0,ns,18723
