group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,994273.0,ns,188
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,1985546.0,ns,376
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,2985820.0,ns,564
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,3949191.0,ns,752
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,4987767.0,ns,940
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,5928936.0,ns,1128
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,6976614.0,ns,1316
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,7920983.0,ns,1504
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,8945658.0,ns,1692
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,9902128.0,ns,1880
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,10963507.0,ns,2068
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,11857373.0,ns,2256
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,12933652.0,ns,2444
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,13942926.0,ns,2632
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,14934999.0,ns,2820
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,15795663.0,ns,3008
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,16929546.0,ns,3196
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,17811611.0,ns,3384
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,18947694.0,ns,3572
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,19813258.0,ns,3760
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,20857235.0,ns,3948
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,21771002.0,ns,4136
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,22920587.0,ns,4324
group__stabchain__ss__selector_comparison__cyclic,fixed,20,,,23705244.0,ns,4512
