group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,995073.0,ns,240
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,1991647.0,ns,480
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,2975819.0,ns,720
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,3976692.0,ns,960
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,4975767.0,ns,1200
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,5963239.0,ns,1440
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,6962313.0,ns,1680
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,7963186.0,ns,1920
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,8951159.0,ns,2160
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,9944032.0,ns,2400
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,10947306.0,ns,2640
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,11940679.0,ns,2880
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,12939553.0,ns,3120
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,14660479.0,ns,3360
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,14958401.0,ns,3600
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,15918472.0,ns,3840
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,16912545.0,ns,4080
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,17955022.0,ns,4320
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,18894690.0,ns,4560
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,19899265.0,ns,4800
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,20888038.0,ns,5040
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,21878210.0,ns,5280
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,22875484.0,ns,5520
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,23879258.0,ns,5760
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,24841229.0,ns,6000
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,25845603.0,ns,6240
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,26824774.0,ns,6480
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,27853050.0,ns,6720
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,28854424.0,ns,6960
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,29823795.0,ns,7200
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,30895075.0,ns,7440
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,31814842.0,ns,7680
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,32865920.0,ns,7920
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,33810089.0,ns,8160
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,34767459.0,ns,8400
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,35807436.0,ns,8640
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,36804909.0,ns,8880
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,37792783.0,ns,9120
group__stabchain__ss__selector_comparison__cyclic,lmp,16,,,38777854.0,ns,9360
