group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,993173.0,ns,101
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,1986446.0,ns,202
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,2969619.0,ns,303
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,3970292.0,ns,404
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,4957564.0,ns,505
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,5967439.0,ns,606
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,6934610.0,ns,707
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,7935183.0,ns,808
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,8948658.0,ns,909
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,9916229.0,ns,1010
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,10904703.0,ns,1111
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,11877774.0,ns,1212
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,12888548.0,ns,1313
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,13891822.0,ns,1414
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,14874295.0,ns,1515
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,15842265.0,ns,1616
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,16846039.0,ns,1717
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,17864314.0,ns,1818
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,18812384.0,ns,1919
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,19856660.0,ns,2020
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,20828832.0,ns,2121
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,21800504.0,ns,2222
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,22797277.0,ns,2323
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,23783550.0,ns,2424
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,24805425.0,ns,2525
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,25732593.0,ns,2626
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,26724866.0,ns,2727
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,27812046.0,ns,2828
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,28675910.0,ns,2929
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,29770790.0,ns,3030
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,30723160.0,ns,3131
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,31768737.0,ns,3232
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,32765910.0,ns,3333
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,33765484.0,ns,3434
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,34703853.0,ns,3535
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,35655623.0,ns,3636
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,36684999.0,ns,3737
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,37772479.0,ns,3838
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,38743450.0,ns,3939
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,39648917.0,ns,4040
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,40638689.0,ns,4141
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,41556457.0,ns,4242
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,42484826.0,ns,4343
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,43642411.0,ns,4444
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,44690388.0,ns,4545
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,45556052.0,ns,4646
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,46516122.0,ns,4747
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,47605702.0,ns,4848
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,48759587.0,ns,4949
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,49469539.0,ns,5050
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,50388407.0,ns,5151
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,51737606.0,ns,5252
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,52469260.0,ns,5353
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,53582042.0,ns,5454
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,54568215.0,ns,5555
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,55587890.0,ns,5656
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,56631566.0,ns,5757
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,57689744.0,ns,5858
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,58576409.0,ns,5959
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,59483276.0,ns,6060
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,60491150.0,ns,6161
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,61685038.0,ns,6262
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,62602206.0,ns,6363
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,63397264.0,ns,6464
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,64367436.0,ns,6565
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,65461516.0,ns,6666
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,66203971.0,ns,6767
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,67583472.0,ns,6868
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,68503839.0,ns,6969
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,69245094.0,ns,7070
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,70601694.0,ns,7171
group__stabchain__ss__selector_comparison__cyclic,lmp,32,,,73815130.0,ns,7272
