group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,1338198.0,ns,3
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,2657295.0,ns,6
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,3988493.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,5315891.0,ns,12
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,6638388.0,ns,15
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,7984486.0,ns,18
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,9305383.0,ns,21
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,10632881.0,ns,24
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,11946078.0,ns,27
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,13289377.0,ns,30
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,14611173.0,ns,33
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,15955072.0,ns,36
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,17279469.0,ns,39
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,18583966.0,ns,42
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,19990269.0,ns,45
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,21267963.0,ns,48
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,22593260.0,ns,51
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,23902756.0,ns,54
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,25279257.0,ns,57
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,26602854.0,ns,60
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,27918551.0,ns,63
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,29215546.0,ns,66
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,30531243.0,ns,69
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,31870341.0,ns,72
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,33198139.0,ns,75
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,34557538.0,ns,78
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,35866234.0,ns,81
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,37188732.0,ns,84
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,38484027.0,ns,87
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,39827425.0,ns,90
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,41150923.0,ns,93
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,42518024.0,ns,96
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,43824619.0,ns,99
group__stabchain__ss__selector_comparison__product_symmetric,default,10,,,45134316.0,ns,102
