group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50058076.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50076677.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50095079.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50034474.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50033674.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50068877.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50071477.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50086678.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50098679.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50040575.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50096279.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50021273.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50064176.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50056176.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50117080.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50094179.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50035574.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50086178.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50083078.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50054276.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50058376.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50062877.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50071077.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50125380.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50051376.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50039574.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50034175.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50100680.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50100279.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50116680.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50095579.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50074878.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50061576.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50072277.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50123381.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50120781.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50056076.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50232889.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50076677.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50104179.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50072277.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50066577.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50092578.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50101679.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50051976.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50102879.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50033774.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50104579.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50100579.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50087878.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50100379.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50045675.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,default,20,,,50059276.0,ns,14
