group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53890457.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53888757.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53874156.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53946061.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53888057.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53804451.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53918059.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53979264.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53929260.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53924560.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53900358.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,54118874.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53903458.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53945361.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53930560.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53921259.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53862455.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53939661.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53895057.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53922759.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53917060.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53905658.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53867755.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53940861.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53922460.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53935460.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53853154.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53864855.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53903358.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53877656.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53932861.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,54413195.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53953562.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53961562.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53939561.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53922160.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53897658.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53928360.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53904158.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53981864.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53904358.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53974363.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53930860.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53911159.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53801950.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,ift,20,,,53922960.0,ns,9
