group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,1031976.0,ns,5
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,2057851.0,ns,10
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,3081926.0,ns,15
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,4106201.0,ns,20
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,5124176.0,ns,25
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,6148551.0,ns,30
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,7184528.0,ns,35
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,8183801.0,ns,40
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,9248279.0,ns,45
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,10278455.0,ns,50
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,11295230.0,ns,55
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,12309504.0,ns,60
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,13336580.0,ns,65
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,14329652.0,ns,70
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,15373329.0,ns,75
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,16423307.0,ns,80
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,17588092.0,ns,85
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,18498259.0,ns,90
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,19485632.0,ns,95
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,20485305.0,ns,100
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,21486078.0,ns,105
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,22526954.0,ns,110
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,23592033.0,ns,115
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,25018037.0,ns,120
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,25932905.0,ns,125
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,26657758.0,ns,130
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,27621329.0,ns,135
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,28746512.0,ns,140
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,29802289.0,ns,145
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,30820464.0,ns,150
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,31892642.0,ns,155
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,32746806.0,ns,160
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,33831485.0,ns,165
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,34897964.0,ns,170
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,35907638.0,ns,175
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,36920513.0,ns,180
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,37965789.0,ns,185
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,38955561.0,ns,190
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,40048142.0,ns,195
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,41030715.0,ns,200
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,41988985.0,ns,205
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,43016260.0,ns,210
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,44117741.0,ns,215
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,45376734.0,ns,220
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,46102787.0,ns,225
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,47379481.0,ns,230
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,48322449.0,ns,235
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,49128009.0,ns,240
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,50219489.0,ns,245
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,51317470.0,ns,250
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,52361246.0,ns,255
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,53280614.0,ns,260
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,54409697.0,ns,265
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,55232357.0,ns,270
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,56295535.0,ns,275
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,57246805.0,ns,280
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,58421791.0,ns,285
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,59455968.0,ns,290
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,60457641.0,ns,295
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,61484817.0,ns,300
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,62411185.0,ns,305
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,63519366.0,ns,310
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,64590845.0,ns,315
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,65665623.0,ns,320
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,66596592.0,ns,325
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,67713574.0,ns,330
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,69299090.0,ns,335
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,69663417.0,ns,340
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,70616987.0,ns,345
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,71782073.0,ns,350
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,72749944.0,ns,355
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,73837825.0,ns,360
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,74949006.0,ns,365
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,75857773.0,ns,370
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,77018558.0,ns,375
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,78073035.0,ns,380
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,79098410.0,ns,385
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,79942872.0,ns,390
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,81016051.0,ns,395
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,82220540.0,ns,400
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,83160609.0,ns,405
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,84207886.0,ns,410
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,85331469.0,ns,415
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,86125427.0,ns,420
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,87234108.0,ns,425
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,88267085.0,ns,430
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,89243356.0,ns,435
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,90253130.0,ns,440
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,91218201.0,ns,445
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,92234876.0,ns,450
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,93472166.0,ns,455
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,94453838.0,ns,460
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,95366205.0,ns,465
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,96632098.0,ns,470
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,97288147.0,ns,475
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,98553840.0,ns,480
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,99776930.0,ns,485
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,100353172.0,ns,490
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,101324043.0,ns,495
group__stabchain__ss__selector_comparison__product_symmetric,ift,8,,,102517231.0,ns,500
