group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,1601822.0,ns,1
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,3195142.0,ns,2
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,4797064.0,ns,3
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,6395486.0,ns,4
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,8024210.0,ns,5
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,9612130.0,ns,6
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,11168048.0,ns,7
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,12560953.0,ns,8
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,14270884.0,ns,9
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,16010716.0,ns,10
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,17607737.0,ns,11
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,19165655.0,ns,12
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,20696171.0,ns,13
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,22123080.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,23702300.0,ns,15
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,25277019.0,ns,16
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,27193965.0,ns,17
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,28841690.0,ns,18
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,30368006.0,ns,19
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,31985429.0,ns,20
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,33663056.0,ns,21
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,35137868.0,ns,22
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,36788494.0,ns,23
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,38414816.0,ns,24
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,40046941.0,ns,25
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,41681565.0,ns,26
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,43183178.0,ns,27
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,44778100.0,ns,28
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,46443427.0,ns,29
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,47910337.0,ns,30
group__stabchain__ss__selector_comparison__product_symmetric,naive,16,,,49530161.0,ns,31
