group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50565113.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50574414.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50589615.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50544212.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50514010.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50530610.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50544812.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50516109.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50580515.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50481306.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50529711.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50505109.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50558412.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50515110.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50511909.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50533710.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50560313.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50557813.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50530410.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50720924.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50524510.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50569613.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50522310.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50504508.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50550612.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50613517.0,ns,14
group__stabchain__ss__selector_comparison__product_symmetric,naive,20,,,50563913.0,ns,14
