group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__symmetric,default,10,,,1129983.0,ns,7
group__stabchain__ss__selector_comparison__symmetric,default,10,,,2255366.0,ns,14
group__stabchain__ss__selector_comparison__symmetric,default,10,,,3375649.0,ns,21
group__stabchain__ss__selector_comparison__symmetric,default,10,,,4511431.0,ns,28
group__stabchain__ss__selector_comparison__symmetric,default,10,,,5629814.0,ns,35
group__stabchain__ss__selector_comparison__symmetric,default,10,,,6751796.0,ns,42
group__stabchain__ss__selector_comparison__symmetric,default,10,,,7868178.0,ns,49
group__stabchain__ss__selector_comparison__symmetric,default,10,,,8998761.0,ns,56
group__stabchain__ss__selector_comparison__symmetric,default,10,,,10137846.0,ns,63
group__stabchain__ss__selector_comparison__symmetric,default,10,,,11283930.0,ns,70
group__stabchain__ss__selector_comparison__symmetric,default,10,,,12476618.0,ns,77
group__stabchain__ss__selector_comparison__symmetric,default,10,,,13547196.0,ns,84
group__stabchain__ss__selector_comparison__symmetric,default,10,,,14690181.0,ns,91
group__stabchain__ss__selector_comparison__symmetric,default,10,,,15769259.0,ns,98
group__stabchain__ss__selector_comparison__symmetric,default,10,,,17996223.0,ns,105
group__stabchain__ss__selector_comparison__symmetric,default,10,,,18448357.0,ns,112
group__stabchain__ss__selector_comparison__symmetric,default,10,,,19143108.0,ns,119
group__stabchain__ss__selector_comparison__symmetric,default,10,,,20287092.0,ns,126
group__stabchain__ss__selector_comparison__symmetric,default,10,,,21419775.0,ns,133
group__stabchain__ss__selector_comparison__symmetric,default,10,,,22502954.0,ns,140
group__stabchain__ss__selector_comparison__symmetric,default,10,,,23680841.0,ns,147
group__stabchain__ss__selector_comparison__symmetric,default,10,,,24755521.0,ns,154
group__stabchain__ss__selector_comparison__symmetric,default,10,,,25882403.0,ns,161
group__stabchain__ss__selector_comparison__symmetric,default,10,,,27032788.0,ns,168
group__stabchain__ss__selector_comparison__symmetric,default,10,,,28191273.0,ns,175
group__stabchain__ss__selector_comparison__symmetric,default,10,,,29264852.0,ns,182
group__stabchain__ss__selector_comparison__symmetric,default,10,,,30444039.0,ns,189
group__stabchain__ss__selector_comparison__symmetric,default,10,,,31549220.0,ns,196
group__stabchain__ss__selector_comparison__symmetric,default,10,,,32668402.0,ns,203
group__stabchain__ss__selector_comparison__symmetric,default,10,,,33809287.0,ns,210
group__stabchain__ss__selector_comparison__symmetric,default,10,,,34849562.0,ns,217
group__stabchain__ss__selector_comparison__symmetric,default,10,,,36049151.0,ns,224
group__stabchain__ss__selector_comparison__symmetric,default,10,,,37185934.0,ns,231
group__stabchain__ss__selector_comparison__symmetric,default,10,,,38271315.0,ns,238
group__stabchain__ss__selector_comparison__symmetric,default,10,,,39395497.0,ns,245
group__stabchain__ss__selector_comparison__symmetric,default,10,,,40575884.0,ns,252
group__stabchain__ss__selector_comparison__symmetric,default,10,,,41664364.0,ns,259
group__stabchain__ss__selector_comparison__symmetric,default,10,,,42808448.0,ns,266
group__stabchain__ss__selector_comparison__symmetric,default,10,,,43911229.0,ns,273
group__stabchain__ss__selector_comparison__symmetric,default,10,,,45058214.0,ns,280
group__stabchain__ss__selector_comparison__symmetric,default,10,,,46238100.0,ns,287
group__stabchain__ss__selector_comparison__symmetric,default,10,,,47345282.0,ns,294
group__stabchain__ss__selector_comparison__symmetric,default,10,,,48504267.0,ns,301
group__stabchain__ss__selector_comparison__symmetric,default,10,,,49621449.0,ns,308
group__stabchain__ss__selector_comparison__symmetric,default,10,,,50742531.0,ns,315
group__stabchain__ss__selector_comparison__symmetric,default,10,,,51839112.0,ns,322
group__stabchain__ss__selector_comparison__symmetric,default,10,,,52949093.0,ns,329
group__stabchain__ss__selector_comparison__symmetric,default,10,,,54147781.0,ns,336
group__stabchain__ss__selector_comparison__symmetric,default,10,,,55252862.0,ns,343
group__stabchain__ss__selector_comparison__symmetric,default,10,,,56314441.0,ns,350
group__stabchain__ss__selector_comparison__symmetric,default,10,,,57470426.0,ns,357
group__stabchain__ss__selector_comparison__symmetric,default,10,,,58677715.0,ns,364
group__stabchain__ss__selector_comparison__symmetric,default,10,,,59723492.0,ns,371
group__stabchain__ss__selector_comparison__symmetric,default,10,,,60813372.0,ns,378
group__stabchain__ss__selector_comparison__symmetric,default,10,,,61967157.0,ns,385
group__stabchain__ss__selector_comparison__symmetric,default,10,,,63082639.0,ns,392
group__stabchain__ss__selector_comparison__symmetric,default,10,,,64122815.0,ns,399
group__stabchain__ss__selector_comparison__symmetric,default,10,,,65308202.0,ns,406
group__stabchain__ss__selector_comparison__symmetric,default,10,,,66446786.0,ns,413
group__stabchain__ss__selector_comparison__symmetric,default,10,,,67578670.0,ns,420
group__stabchain__ss__selector_comparison__symmetric,default,10,,,68696551.0,ns,427
group__stabchain__ss__selector_comparison__symmetric,default,10,,,69832135.0,ns,434
group__stabchain__ss__selector_comparison__symmetric,default,10,,,70978919.0,ns,441
group__stabchain__ss__selector_comparison__symmetric,default,10,,,72096501.0,ns,448
group__stabchain__ss__selector_comparison__symmetric,default,10,,,73120877.0,ns,455
group__stabchain__ss__selector_comparison__symmetric,default,10,,,74378170.0,ns,462
group__stabchain__ss__selector_comparison__symmetric,default,10,,,75346240.0,ns,469
group__stabchain__ss__selector_comparison__symmetric,default,10,,,76540528.0,ns,476
group__stabchain__ss__selector_comparison__symmetric,default,10,,,77609607.0,ns,483
group__stabchain__ss__selector_comparison__symmetric,default,10,,,78728589.0,ns,490
group__stabchain__ss__selector_comparison__symmetric,default,10,,,79792467.0,ns,497
group__stabchain__ss__selector_comparison__symmetric,default,10,,,81075062.0,ns,504
group__stabchain__ss__selector_comparison__symmetric,default,10,,,82114738.0,ns,511
group__stabchain__ss__selector_comparison__symmetric,default,10,,,83227919.0,ns,518
group__stabchain__ss__selector_comparison__symmetric,default,10,,,84315300.0,ns,525
group__stabchain__ss__selector_comparison__symmetric,default,10,,,85404080.0,ns,532
group__stabchain__ss__selector_comparison__symmetric,default,10,,,90025120.0,ns,539
group__stabchain__ss__selector_comparison__symmetric,default,10,,,87645645.0,ns,546
group__stabchain__ss__selector_comparison__symmetric,default,10,,,89092951.0,ns,553
group__stabchain__ss__selector_comparison__symmetric,default,10,,,89956214.0,ns,560
group__stabchain__ss__selector_comparison__symmetric,default,10,,,91077897.0,ns,567
group__stabchain__ss__selector_comparison__symmetric,default,10,,,92125574.0,ns,574
group__stabchain__ss__selector_comparison__symmetric,default,10,,,93401068.0,ns,581
group__stabchain__ss__selector_comparison__symmetric,default,10,,,94393941.0,ns,588
group__stabchain__ss__selector_comparison__symmetric,default,10,,,95563127.0,ns,595
group__stabchain__ss__selector_comparison__symmetric,default,10,,,96699411.0,ns,602
group__stabchain__ss__selector_comparison__symmetric,default,10,,,97766789.0,ns,609
group__stabchain__ss__selector_comparison__symmetric,default,10,,,98833167.0,ns,616
group__stabchain__ss__selector_comparison__symmetric,default,10,,,100018955.0,ns,623
group__stabchain__ss__selector_comparison__symmetric,default,10,,,101295749.0,ns,630
group__stabchain__ss__selector_comparison__symmetric,default,10,,,102475235.0,ns,637
group__stabchain__ss__selector_comparison__symmetric,default,10,,,103596718.0,ns,644
group__stabchain__ss__selector_comparison__symmetric,default,10,,,104824208.0,ns,651
group__stabchain__ss__selector_comparison__symmetric,default,10,,,105936990.0,ns,658
