group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__symmetric,default,20,,,1356902.0,ns,1
group__stabchain__ss__selector_comparison__symmetric,default,20,,,2690803.0,ns,2
group__stabchain__ss__selector_comparison__symmetric,default,20,,,4068507.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,default,20,,,5406509.0,ns,4
group__stabchain__ss__selector_comparison__symmetric,default,20,,,6531493.0,ns,5
group__stabchain__ss__selector_comparison__symmetric,default,20,,,8108812.0,ns,6
group__stabchain__ss__selector_comparison__symmetric,default,20,,,9329805.0,ns,7
group__stabchain__ss__selector_comparison__symmetric,default,20,,,10676307.0,ns,8
group__stabchain__ss__selector_comparison__symmetric,default,20,,,12123416.0,ns,9
group__stabchain__ss__selector_comparison__symmetric,default,20,,,13296805.0,ns,10
group__stabchain__ss__selector_comparison__symmetric,default,20,,,14345383.0,ns,11
group__stabchain__ss__selector_comparison__symmetric,default,20,,,15846097.0,ns,12
group__stabchain__ss__selector_comparison__symmetric,default,20,,,17563527.0,ns,13
group__stabchain__ss__selector_comparison__symmetric,default,20,,,18832422.0,ns,14
group__stabchain__ss__selector_comparison__symmetric,default,20,,,20059515.0,ns,15
group__stabchain__ss__selector_comparison__symmetric,default,20,,,21707240.0,ns,16
group__stabchain__ss__selector_comparison__symmetric,default,20,,,22592106.0,ns,17
group__stabchain__ss__selector_comparison__symmetric,default,20,,,23579381.0,ns,18
group__stabchain__ss__selector_comparison__symmetric,default,20,,,25554730.0,ns,19
group__stabchain__ss__selector_comparison__symmetric,default,20,,,26638512.0,ns,20
group__stabchain__ss__selector_comparison__symmetric,default,20,,,27840402.0,ns,21
group__stabchain__ss__selector_comparison__symmetric,default,20,,,29406421.0,ns,22
group__stabchain__ss__selector_comparison__symmetric,default,20,,,31108050.0,ns,23
group__stabchain__ss__selector_comparison__symmetric,default,20,,,32527157.0,ns,24
group__stabchain__ss__selector_comparison__symmetric,default,20,,,33618939.0,ns,25
group__stabchain__ss__selector_comparison__symmetric,default,20,,,34742924.0,ns,26
group__stabchain__ss__selector_comparison__symmetric,default,20,,,35575687.0,ns,27
group__stabchain__ss__selector_comparison__symmetric,default,20,,,36575563.0,ns,28
group__stabchain__ss__selector_comparison__symmetric,default,20,,,38927840.0,ns,29
group__stabchain__ss__selector_comparison__symmetric,default,20,,,40361848.0,ns,30
group__stabchain__ss__selector_comparison__symmetric,default,20,,,41359124.0,ns,31
group__stabchain__ss__selector_comparison__symmetric,default,20,,,42749828.0,ns,32
group__stabchain__ss__selector_comparison__symmetric,default,20,,,43189762.0,ns,33
group__stabchain__ss__selector_comparison__symmetric,default,20,,,44426855.0,ns,34
group__stabchain__ss__selector_comparison__symmetric,default,20,,,46493311.0,ns,35
group__stabchain__ss__selector_comparison__symmetric,default,20,,,47857514.0,ns,36
group__stabchain__ss__selector_comparison__symmetric,default,20,,,49431233.0,ns,37
group__stabchain__ss__selector_comparison__symmetric,default,20,,,50682528.0,ns,38
group__stabchain__ss__selector_comparison__symmetric,default,20,,,52462062.0,ns,39
group__stabchain__ss__selector_comparison__symmetric,default,20,,,53758360.0,ns,40
group__stabchain__ss__selector_comparison__symmetric,default,20,,,54755635.0,ns,41
group__stabchain__ss__selector_comparison__symmetric,default,20,,,55840717.0,ns,42
group__stabchain__ss__selector_comparison__symmetric,default,20,,,57279326.0,ns,43
group__stabchain__ss__selector_comparison__symmetric,default,20,,,57041508.0,ns,44
group__stabchain__ss__selector_comparison__symmetric,default,20,,,58922950.0,ns,45
group__stabchain__ss__selector_comparison__symmetric,default,20,,,60785091.0,ns,46
group__stabchain__ss__selector_comparison__symmetric,default,20,,,63353585.0,ns,47
group__stabchain__ss__selector_comparison__symmetric,default,20,,,63841621.0,ns,48
group__stabchain__ss__selector_comparison__symmetric,default,20,,,65529949.0,ns,49
group__stabchain__ss__selector_comparison__symmetric,default,20,,,66352512.0,ns,50
group__stabchain__ss__selector_comparison__symmetric,default,20,,,66851449.0,ns,51
group__stabchain__ss__selector_comparison__symmetric,default,20,,,67387390.0,ns,52
group__stabchain__ss__selector_comparison__symmetric,default,20,,,67391390.0,ns,53
group__stabchain__ss__selector_comparison__symmetric,default,20,,,72200253.0,ns,54
group__stabchain__ss__selector_comparison__symmetric,default,20,,,71804823.0,ns,55
group__stabchain__ss__selector_comparison__symmetric,default,20,,,72512877.0,ns,56
