group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,1688824.0,ns,2
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,3361847.0,ns,4
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,5060472.0,ns,6
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,6731195.0,ns,8
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,8378315.0,ns,10
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,10056239.0,ns,12
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,11800368.0,ns,14
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,13452189.0,ns,16
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,15129512.0,ns,18
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,16827937.0,ns,20
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,18505560.0,ns,22
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,20156481.0,ns,24
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,21867007.0,ns,26
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,23579734.0,ns,28
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,25218654.0,ns,30
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,26842373.0,ns,32
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,28601103.0,ns,34
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,30244823.0,ns,36
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,31932947.0,ns,38
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,33626472.0,ns,40
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,35286994.0,ns,42
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,37020622.0,ns,44
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,38615138.0,ns,46
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,40374467.0,ns,48
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,42044590.0,ns,50
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,43748515.0,ns,52
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,45396537.0,ns,54
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,47048358.0,ns,56
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,48763684.0,ns,58
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,50440408.0,ns,60
group__stabchain__ss__selector_comparison__symmetric,fixed,16,,,52140333.0,ns,62
