group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55241759.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55153353.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55102948.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55108049.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55129250.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55169653.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55254360.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55228658.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55106349.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55344066.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55055645.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55090447.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,54975240.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55213657.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55153552.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55030944.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55182054.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55135851.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55102948.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55176354.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55124350.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55128051.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55167753.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,54978240.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55337366.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55012642.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55081547.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55050745.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55150452.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55136051.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,54889833.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55094448.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55084047.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55075646.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55065646.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55190055.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55139751.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55041244.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55180854.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55326965.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55171754.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55059045.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55064746.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,54976739.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55111549.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55179754.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55082847.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55123050.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55094648.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55244759.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55068746.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55334066.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55377068.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55277061.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55179654.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55242559.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55233759.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55065346.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55128950.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55061745.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55039344.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55109450.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55055945.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55110950.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55099248.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55284162.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55176354.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55161753.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55063046.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55017843.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55033743.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55062246.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55125550.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55142952.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55142051.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55252760.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55294463.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55003441.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55266361.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55242459.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55097748.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55166353.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55174453.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55133251.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55176754.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55179054.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55241159.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55230858.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55011342.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55124351.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55042644.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55049245.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55107949.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55053745.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55355867.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55137951.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55137651.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55120450.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55170054.0,ns,3
group__stabchain__ss__selector_comparison__symmetric,fixed,32,,,55080547.0,ns,3
