group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,1172086.0,ns,2
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,2348272.0,ns,4
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,3509658.0,ns,6
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,4669443.0,ns,8
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,5847229.0,ns,10
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,7031917.0,ns,12
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,8203203.0,ns,14
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,9350388.0,ns,16
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,10526574.0,ns,18
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,11687859.0,ns,20
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,12885547.0,ns,22
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,14069335.0,ns,24
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,15259722.0,ns,26
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,16400406.0,ns,28
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,17572392.0,ns,30
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,18736077.0,ns,32
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,19998670.0,ns,34
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,21090350.0,ns,36
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,22301239.0,ns,38
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,23435222.0,ns,40
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,24629110.0,ns,42
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,25764594.0,ns,44
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,26921879.0,ns,46
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,28115067.0,ns,48
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,29291454.0,ns,50
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,30462239.0,ns,52
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,31642926.0,ns,54
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,32754208.0,ns,56
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,33979698.0,ns,58
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,35112781.0,ns,60
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,36305669.0,ns,62
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,37488156.0,ns,64
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,38611938.0,ns,66
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,39817927.0,ns,68
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,40977412.0,ns,70
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,42171500.0,ns,72
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,43322985.0,ns,74
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,44436667.0,ns,76
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,45663257.0,ns,78
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,46847744.0,ns,80
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,48052333.0,ns,82
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,49118711.0,ns,84
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,50323999.0,ns,86
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,51516787.0,ns,88
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,52669472.0,ns,90
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,53853059.0,ns,92
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,55073149.0,ns,94
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,56243334.0,ns,96
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,57377318.0,ns,98
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,58509301.0,ns,100
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,59715990.0,ns,102
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,60869775.0,ns,104
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,62075163.0,ns,106
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,63269651.0,ns,108
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,64457938.0,ns,110
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,65549018.0,ns,112
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,66765008.0,ns,114
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,67956995.0,ns,116
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,69149984.0,ns,118
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,70287967.0,ns,120
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,71417450.0,ns,122
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,72554934.0,ns,124
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,73734320.0,ns,126
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,74954009.0,ns,128
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,76154398.0,ns,130
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,77355187.0,ns,132
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,78534673.0,ns,134
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,79645455.0,ns,136
group__stabchain__ss__selector_comparison__symmetric,lmp,16,,,80761837.0,ns,138
