group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,1026976.0,ns,25
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,2059452.0,ns,50
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,3087827.0,ns,75
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,4117203.0,ns,100
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,5139178.0,ns,125
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,6175454.0,ns,150
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,7197029.0,ns,175
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,8226105.0,ns,200
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,9261881.0,ns,225
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,10275455.0,ns,250
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,11320332.0,ns,275
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,12328907.0,ns,300
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,13365883.0,ns,325
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,14386659.0,ns,350
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,15414233.0,ns,375
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,16448109.0,ns,400
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,17483286.0,ns,425
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,18484660.0,ns,450
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,19532837.0,ns,475
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,20549611.0,ns,500
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,21586688.0,ns,525
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,22594662.0,ns,550
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,23642139.0,ns,575
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,24755221.0,ns,600
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,25704991.0,ns,625
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,26719265.0,ns,650
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,27761942.0,ns,675
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,28788617.0,ns,700
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,29822793.0,ns,725
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,30850769.0,ns,750
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,31864144.0,ns,775
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,32904120.0,ns,800
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,33939996.0,ns,825
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,34944970.0,ns,850
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,35992547.0,ns,875
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,36968819.0,ns,900
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,38026597.0,ns,925
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,39047072.0,ns,950
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,40081048.0,ns,975
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,41070221.0,ns,1000
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,42115397.0,ns,1025
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,43166174.0,ns,1050
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,44153248.0,ns,1075
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,45193324.0,ns,1100
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,46206998.0,ns,1125
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,47231673.0,ns,1150
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,48289652.0,ns,1175
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,49320727.0,ns,1200
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,50345802.0,ns,1225
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,51333575.0,ns,1250
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,52380153.0,ns,1275
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,53397727.0,ns,1300
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,54408702.0,ns,1325
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,55487581.0,ns,1350
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,56464353.0,ns,1375
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,57492428.0,ns,1400
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,58533005.0,ns,1425
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,59582282.0,ns,1450
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,60595756.0,ns,1475
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,61624832.0,ns,1500
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,62642807.0,ns,1525
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,63631280.0,ns,1550
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,64691258.0,ns,1575
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,65765737.0,ns,1600
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,66779512.0,ns,1625
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,67806387.0,ns,1650
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,68855664.0,ns,1675
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,69862038.0,ns,1700
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,70851511.0,ns,1725
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,71882087.0,ns,1750
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,72879360.0,ns,1775
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,73909436.0,ns,1800
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,74951013.0,ns,1825
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,75945785.0,ns,1850
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,77043966.0,ns,1875
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,78055641.0,ns,1900
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,79049014.0,ns,1925
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,80070689.0,ns,1950
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,81073962.0,ns,1975
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,82142241.0,ns,2000
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,83197119.0,ns,2025
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,84155889.0,ns,2050
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,85223568.0,ns,2075
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,86233742.0,ns,2100
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,87233415.0,ns,2125
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,88293494.0,ns,2150
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,89283567.0,ns,2175
group__stabchain__ss__selector_comparison__symmetric,lmp,8,,,90294341.0,ns,2200
