group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__symmetric,default,8,,,1034078.0,ns,29
group__stabchain__ss__symmetric,default,8,,,2064056.0,ns,58
group__stabchain__ss__symmetric,default,8,,,3144238.0,ns,87
group__stabchain__ss__symmetric,default,8,,,4175716.0,ns,116
group__stabchain__ss__symmetric,default,8,,,5163490.0,ns,145
group__stabchain__ss__symmetric,default,8,,,6212569.0,ns,174
group__stabchain__ss__symmetric,default,8,,,7216846.0,ns,203
group__stabchain__ss__symmetric,default,8,,,8297326.0,ns,232
group__stabchain__ss__symmetric,default,8,,,9275600.0,ns,261
group__stabchain__ss__symmetric,default,8,,,10378683.0,ns,290
group__stabchain__ss__symmetric,default,8,,,11317855.0,ns,319
group__stabchain__ss__symmetric,default,8,,,12180620.0,ns,348
group__stabchain__ss__symmetric,default,8,,,13330407.0,ns,377
group__stabchain__ss__symmetric,default,8,,,14441791.0,ns,406
group__stabchain__ss__symmetric,default,8,,,15431866.0,ns,435
group__stabchain__ss__symmetric,default,8,,,16287130.0,ns,464
group__stabchain__ss__symmetric,default,8,,,16734764.0,ns,493
group__stabchain__ss__symmetric,default,8,,,17952856.0,ns,522
group__stabchain__ss__symmetric,default,8,,,19684287.0,ns,551
group__stabchain__ss__symmetric,default,8,,,20544452.0,ns,580
group__stabchain__ss__symmetric,default,8,,,21687539.0,ns,609
group__stabchain__ss__symmetric,default,8,,,20704664.0,ns,638
group__stabchain__ss__symmetric,default,8,,,22328487.0,ns,667
group__stabchain__ss__symmetric,default,8,,,24461347.0,ns,696
group__stabchain__ss__symmetric,default,8,,,25291710.0,ns,725
group__stabchain__ss__symmetric,default,8,,,26404095.0,ns,754
group__stabchain__ss__symmetric,default,8,,,27409670.0,ns,783
group__stabchain__ss__symmetric,default,8,,,28311038.0,ns,812
group__stabchain__ss__symmetric,default,8,,,29299914.0,ns,841
group__stabchain__ss__symmetric,default,8,,,30707119.0,ns,870
group__stabchain__ss__symmetric,default,8,,,31798802.0,ns,899
group__stabchain__ss__symmetric,default,8,,,33115101.0,ns,928
group__stabchain__ss__symmetric,default,8,,,33192208.0,ns,957
group__stabchain__ss__symmetric,default,8,,,34838831.0,ns,986
group__stabchain__ss__symmetric,default,8,,,36303042.0,ns,1015
group__stabchain__ss__symmetric,default,8,,,37243213.0,ns,1044
group__stabchain__ss__symmetric,default,8,,,37887062.0,ns,1073
group__stabchain__ss__symmetric,default,8,,,39093854.0,ns,1102
group__stabchain__ss__symmetric,default,8,,,39500183.0,ns,1131
group__stabchain__ss__symmetric,default,8,,,39893113.0,ns,1160
group__stabchain__ss__symmetric,default,8,,,42147384.0,ns,1189
group__stabchain__ss__symmetric,default,8,,,42521412.0,ns,1218
group__stabchain__ss__symmetric,default,8,,,43517087.0,ns,1247
group__stabchain__ss__symmetric,default,8,,,43601493.0,ns,1276
group__stabchain__ss__symmetric,default,8,,,45528139.0,ns,1305
group__stabchain__ss__symmetric,default,8,,,47260470.0,ns,1334
group__stabchain__ss__symmetric,default,8,,,48602971.0,ns,1363
group__stabchain__ss__symmetric,default,8,,,48821788.0,ns,1392
group__stabchain__ss__symmetric,default,8,,,49155913.0,ns,1421
group__stabchain__ss__symmetric,default,8,,,50726831.0,ns,1450
group__stabchain__ss__symmetric,default,8,,,52489265.0,ns,1479
group__stabchain__ss__symmetric,default,8,,,51038055.0,ns,1508
group__stabchain__ss__symmetric,default,8,,,53986378.0,ns,1537
group__stabchain__ss__symmetric,default,8,,,54585824.0,ns,1566
group__stabchain__ss__symmetric,default,8,,,55842318.0,ns,1595
