group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__symmetric,ift,8,,,1060480.0,ns,18
group__stabchain__ss__symmetric,ift,8,,,2128060.0,ns,36
group__stabchain__ss__symmetric,ift,8,,,3172139.0,ns,54
group__stabchain__ss__symmetric,ift,8,,,4237220.0,ns,72
group__stabchain__ss__symmetric,ift,8,,,5267297.0,ns,90
group__stabchain__ss__symmetric,ift,8,,,6265772.0,ns,108
group__stabchain__ss__symmetric,ift,8,,,7454562.0,ns,126
group__stabchain__ss__symmetric,ift,8,,,8473640.0,ns,144
group__stabchain__ss__symmetric,ift,8,,,9469914.0,ns,162
group__stabchain__ss__symmetric,ift,8,,,10626802.0,ns,180
group__stabchain__ss__symmetric,ift,8,,,11648778.0,ns,198
group__stabchain__ss__symmetric,ift,8,,,12675256.0,ns,216
group__stabchain__ss__symmetric,ift,8,,,13778940.0,ns,234
group__stabchain__ss__symmetric,ift,8,,,14828919.0,ns,252
group__stabchain__ss__symmetric,ift,8,,,15813893.0,ns,270
group__stabchain__ss__symmetric,ift,8,,,16951879.0,ns,288
group__stabchain__ss__symmetric,ift,8,,,17925852.0,ns,306
group__stabchain__ss__symmetric,ift,8,,,19093640.0,ns,324
group__stabchain__ss__symmetric,ift,8,,,20005310.0,ns,342
group__stabchain__ss__symmetric,ift,8,,,21006786.0,ns,360
group__stabchain__ss__symmetric,ift,8,,,21848650.0,ns,378
group__stabchain__ss__symmetric,ift,8,,,23160549.0,ns,396
group__stabchain__ss__symmetric,ift,8,,,24287134.0,ns,414
group__stabchain__ss__symmetric,ift,8,,,25464323.0,ns,432
group__stabchain__ss__symmetric,ift,8,,,26314987.0,ns,450
group__stabchain__ss__symmetric,ift,8,,,27641687.0,ns,468
group__stabchain__ss__symmetric,ift,8,,,28227132.0,ns,486
group__stabchain__ss__symmetric,ift,8,,,28936385.0,ns,504
group__stabchain__ss__symmetric,ift,8,,,30313189.0,ns,522
group__stabchain__ss__symmetric,ift,8,,,31111249.0,ns,540
group__stabchain__ss__symmetric,ift,8,,,32334142.0,ns,558
group__stabchain__ss__symmetric,ift,8,,,33213908.0,ns,576
group__stabchain__ss__symmetric,ift,8,,,34840431.0,ns,594
group__stabchain__ss__symmetric,ift,8,,,35729698.0,ns,612
group__stabchain__ss__symmetric,ift,8,,,37198009.0,ns,630
group__stabchain__ss__symmetric,ift,8,,,38193784.0,ns,648
group__stabchain__ss__symmetric,ift,8,,,39243764.0,ns,666
group__stabchain__ss__symmetric,ift,8,,,40266340.0,ns,684
group__stabchain__ss__symmetric,ift,8,,,41410927.0,ns,702
group__stabchain__ss__symmetric,ift,8,,,42466707.0,ns,720
group__stabchain__ss__symmetric,ift,8,,,43290669.0,ns,738
group__stabchain__ss__symmetric,ift,8,,,44493660.0,ns,756
group__stabchain__ss__symmetric,ift,8,,,45446932.0,ns,774
group__stabchain__ss__symmetric,ift,8,,,46439606.0,ns,792
group__stabchain__ss__symmetric,ift,8,,,46823635.0,ns,810
group__stabchain__ss__symmetric,ift,8,,,48705878.0,ns,828
group__stabchain__ss__symmetric,ift,8,,,49701353.0,ns,846
group__stabchain__ss__symmetric,ift,8,,,50908344.0,ns,864
group__stabchain__ss__symmetric,ift,8,,,52147038.0,ns,882
group__stabchain__ss__symmetric,ift,8,,,52946998.0,ns,900
group__stabchain__ss__symmetric,ift,8,,,53809063.0,ns,918
group__stabchain__ss__symmetric,ift,8,,,55058057.0,ns,936
group__stabchain__ss__symmetric,ift,8,,,56071734.0,ns,954
group__stabchain__ss__symmetric,ift,8,,,56891596.0,ns,972
group__stabchain__ss__symmetric,ift,8,,,57562547.0,ns,990
group__stabchain__ss__symmetric,ift,8,,,57846368.0,ns,1008
group__stabchain__ss__symmetric,ift,8,,,59961027.0,ns,1026
group__stabchain__ss__symmetric,ift,8,,,61014907.0,ns,1044
group__stabchain__ss__symmetric,ift,8,,,61572749.0,ns,1062
group__stabchain__ss__symmetric,ift,8,,,61560248.0,ns,1080
group__stabchain__ss__symmetric,ift,8,,,64540073.0,ns,1098
group__stabchain__ss__symmetric,ift,8,,,65182822.0,ns,1116
group__stabchain__ss__symmetric,ift,8,,,65122117.0,ns,1134
group__stabchain__ss__symmetric,ift,8,,,66740440.0,ns,1152
group__stabchain__ss__symmetric,ift,8,,,68087741.0,ns,1170
group__stabchain__ss__symmetric,ift,8,,,69414642.0,ns,1188
group__stabchain__ss__symmetric,ift,8,,,69819772.0,ns,1206
group__stabchain__ss__symmetric,ift,8,,,71493998.0,ns,1224
group__stabchain__ss__symmetric,ift,8,,,72784996.0,ns,1242
group__stabchain__ss__symmetric,ift,8,,,72758493.0,ns,1260
group__stabchain__ss__symmetric,ift,8,,,74626535.0,ns,1278
group__stabchain__ss__symmetric,ift,8,,,76227556.0,ns,1296
group__stabchain__ss__symmetric,ift,8,,,77027016.0,ns,1314
group__stabchain__ss__symmetric,ift,8,,,77980288.0,ns,1332
group__stabchain__ss__symmetric,ift,8,,,79070371.0,ns,1350
group__stabchain__ss__symmetric,ift,8,,,80193455.0,ns,1368
group__stabchain__ss__symmetric,ift,8,,,79581509.0,ns,1386
group__stabchain__ss__symmetric,ift,8,,,80561983.0,ns,1404
group__stabchain__ss__symmetric,ift,8,,,83286789.0,ns,1422
group__stabchain__ss__symmetric,ift,8,,,84863808.0,ns,1440
