group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__symmetric,naive,10,,,1124682.0,ns,7
group__stabchain__ss__symmetric,naive,10,,,2255966.0,ns,14
group__stabchain__ss__symmetric,naive,10,,,3381448.0,ns,21
group__stabchain__ss__symmetric,naive,10,,,4506431.0,ns,28
group__stabchain__ss__symmetric,naive,10,,,5634314.0,ns,35
group__stabchain__ss__symmetric,naive,10,,,6761696.0,ns,42
group__stabchain__ss__symmetric,naive,10,,,7884978.0,ns,49
group__stabchain__ss__symmetric,naive,10,,,9011361.0,ns,56
group__stabchain__ss__symmetric,naive,10,,,10123642.0,ns,63
group__stabchain__ss__symmetric,naive,10,,,11268726.0,ns,70
group__stabchain__ss__symmetric,naive,10,,,12382609.0,ns,77
group__stabchain__ss__symmetric,naive,10,,,13499390.0,ns,84
group__stabchain__ss__symmetric,naive,10,,,14642674.0,ns,91
group__stabchain__ss__symmetric,naive,10,,,15765357.0,ns,98
group__stabchain__ss__symmetric,naive,10,,,16910640.0,ns,105
group__stabchain__ss__symmetric,naive,10,,,18008221.0,ns,112
group__stabchain__ss__symmetric,naive,10,,,19143204.0,ns,119
group__stabchain__ss__symmetric,naive,10,,,20255286.0,ns,126
group__stabchain__ss__symmetric,naive,10,,,21428872.0,ns,133
group__stabchain__ss__symmetric,naive,10,,,22511251.0,ns,140
group__stabchain__ss__symmetric,naive,10,,,23643434.0,ns,147
group__stabchain__ss__symmetric,naive,10,,,24730514.0,ns,154
group__stabchain__ss__symmetric,naive,10,,,25894400.0,ns,161
group__stabchain__ss__symmetric,naive,10,,,27000480.0,ns,168
group__stabchain__ss__symmetric,naive,10,,,28119063.0,ns,175
group__stabchain__ss__symmetric,naive,10,,,29287348.0,ns,182
group__stabchain__ss__symmetric,naive,10,,,30422431.0,ns,189
group__stabchain__ss__symmetric,naive,10,,,31485210.0,ns,196
group__stabchain__ss__symmetric,naive,10,,,32678397.0,ns,203
group__stabchain__ss__symmetric,naive,10,,,33708572.0,ns,210
group__stabchain__ss__symmetric,naive,10,,,34840655.0,ns,217
group__stabchain__ss__symmetric,naive,10,,,36023743.0,ns,224
group__stabchain__ss__symmetric,naive,10,,,37179127.0,ns,231
group__stabchain__ss__symmetric,naive,10,,,38290108.0,ns,238
group__stabchain__ss__symmetric,naive,10,,,39399989.0,ns,245
group__stabchain__ss__symmetric,naive,10,,,40530272.0,ns,252
group__stabchain__ss__symmetric,naive,10,,,41603251.0,ns,259
group__stabchain__ss__symmetric,naive,10,,,42789139.0,ns,266
group__stabchain__ss__symmetric,naive,10,,,43895119.0,ns,273
group__stabchain__ss__symmetric,naive,10,,,44999300.0,ns,280
group__stabchain__ss__symmetric,naive,10,,,46143285.0,ns,287
group__stabchain__ss__symmetric,naive,10,,,47215763.0,ns,294
group__stabchain__ss__symmetric,naive,10,,,48314444.0,ns,301
group__stabchain__ss__symmetric,naive,10,,,49479529.0,ns,308
group__stabchain__ss__symmetric,naive,10,,,50810527.0,ns,315
group__stabchain__ss__symmetric,naive,10,,,51823701.0,ns,322
group__stabchain__ss__symmetric,naive,10,,,52946783.0,ns,329
group__stabchain__ss__symmetric,naive,10,,,54081867.0,ns,336
group__stabchain__ss__symmetric,naive,10,,,55240052.0,ns,343
group__stabchain__ss__symmetric,naive,10,,,56370735.0,ns,350
group__stabchain__ss__symmetric,naive,10,,,57458114.0,ns,357
group__stabchain__ss__symmetric,naive,10,,,58602498.0,ns,364
group__stabchain__ss__symmetric,naive,10,,,59660775.0,ns,371
group__stabchain__ss__symmetric,naive,10,,,60792359.0,ns,378
group__stabchain__ss__symmetric,naive,10,,,61918041.0,ns,385
group__stabchain__ss__symmetric,naive,10,,,63123629.0,ns,392
group__stabchain__ss__symmetric,naive,10,,,64133803.0,ns,399
group__stabchain__ss__symmetric,naive,10,,,65350493.0,ns,406
group__stabchain__ss__symmetric,naive,10,,,66506477.0,ns,413
group__stabchain__ss__symmetric,naive,10,,,67568355.0,ns,420
group__stabchain__ss__symmetric,naive,10,,,68795046.0,ns,427
group__stabchain__ss__symmetric,naive,10,,,69828321.0,ns,434
group__stabchain__ss__symmetric,naive,10,,,71009008.0,ns,441
group__stabchain__ss__symmetric,naive,10,,,72094687.0,ns,448
group__stabchain__ss__symmetric,naive,10,,,73189667.0,ns,455
group__stabchain__ss__symmetric,naive,10,,,74269547.0,ns,462
group__stabchain__ss__symmetric,naive,10,,,75377228.0,ns,469
group__stabchain__ss__symmetric,naive,10,,,76574116.0,ns,476
group__stabchain__ss__symmetric,naive,10,,,77592791.0,ns,483
group__stabchain__ss__symmetric,naive,10,,,78788878.0,ns,490
group__stabchain__ss__symmetric,naive,10,,,79921462.0,ns,497
group__stabchain__ss__symmetric,naive,10,,,81033743.0,ns,504
group__stabchain__ss__symmetric,naive,10,,,82158525.0,ns,511
group__stabchain__ss__symmetric,naive,10,,,83258206.0,ns,518
group__stabchain__ss__symmetric,naive,10,,,84447193.0,ns,525
group__stabchain__ss__symmetric,naive,10,,,85583677.0,ns,532
group__stabchain__ss__symmetric,naive,10,,,86533646.0,ns,539
group__stabchain__ss__symmetric,naive,10,,,87772337.0,ns,546
group__stabchain__ss__symmetric,naive,10,,,88867417.0,ns,553
group__stabchain__ss__symmetric,naive,10,,,90077006.0,ns,560
group__stabchain__ss__symmetric,naive,10,,,91186787.0,ns,567
group__stabchain__ss__symmetric,naive,10,,,92295169.0,ns,574
group__stabchain__ss__symmetric,naive,10,,,93349546.0,ns,581
group__stabchain__ss__symmetric,naive,10,,,94532132.0,ns,588
group__stabchain__ss__symmetric,naive,10,,,95653114.0,ns,595
group__stabchain__ss__symmetric,naive,10,,,96729993.0,ns,602
group__stabchain__ss__symmetric,naive,10,,,97878777.0,ns,609
group__stabchain__ss__symmetric,naive,10,,,99145270.0,ns,616
group__stabchain__ss__symmetric,naive,10,,,100161245.0,ns,623
group__stabchain__ss__symmetric,naive,10,,,101263926.0,ns,630
group__stabchain__ss__symmetric,naive,10,,,102478115.0,ns,637
group__stabchain__ss__symmetric,naive,10,,,103516091.0,ns,644
group__stabchain__ss__symmetric,naive,10,,,104605371.0,ns,651
group__stabchain__ss__symmetric,naive,10,,,105945869.0,ns,658
group__stabchain__ss__symmetric,naive,10,,,106854735.0,ns,665
group__stabchain__ss__symmetric,naive,10,,,108094326.0,ns,672
group__stabchain__ss__symmetric,naive,10,,,109176406.0,ns,679
group__stabchain__ss__symmetric,naive,10,,,110361393.0,ns,686
group__stabchain__ss__symmetric,naive,10,,,111506076.0,ns,693
group__stabchain__ss__symmetric,naive,10,,,112689163.0,ns,700
