group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__symmetric,naive,16,,,1170885.0,ns,2
group__stabchain__ss__symmetric,naive,16,,,2321169.0,ns,4
group__stabchain__ss__symmetric,naive,16,,,3498555.0,ns,6
group__stabchain__ss__symmetric,naive,16,,,4650239.0,ns,8
group__stabchain__ss__symmetric,naive,16,,,5806424.0,ns,10
group__stabchain__ss__symmetric,naive,16,,,6980810.0,ns,12
group__stabchain__ss__symmetric,naive,16,,,8135793.0,ns,14
group__stabchain__ss__symmetric,naive,16,,,9282077.0,ns,16
group__stabchain__ss__symmetric,naive,16,,,10452863.0,ns,18
group__stabchain__ss__symmetric,naive,16,,,11617048.0,ns,20
group__stabchain__ss__symmetric,naive,16,,,12790433.0,ns,22
group__stabchain__ss__symmetric,naive,16,,,13973419.0,ns,24
group__stabchain__ss__symmetric,naive,16,,,15128804.0,ns,26
group__stabchain__ss__symmetric,naive,16,,,16276288.0,ns,28
group__stabchain__ss__symmetric,naive,16,,,17441072.0,ns,30
group__stabchain__ss__symmetric,naive,16,,,18569254.0,ns,32
group__stabchain__ss__symmetric,naive,16,,,19748140.0,ns,34
group__stabchain__ss__symmetric,naive,16,,,20915026.0,ns,36
group__stabchain__ss__symmetric,naive,16,,,22078911.0,ns,38
group__stabchain__ss__symmetric,naive,16,,,23265097.0,ns,40
group__stabchain__ss__symmetric,naive,16,,,24447283.0,ns,42
group__stabchain__ss__symmetric,naive,16,,,25588866.0,ns,44
group__stabchain__ss__symmetric,naive,16,,,26745651.0,ns,46
group__stabchain__ss__symmetric,naive,16,,,27890735.0,ns,48
group__stabchain__ss__symmetric,naive,16,,,29108824.0,ns,50
group__stabchain__ss__symmetric,naive,16,,,30244907.0,ns,52
group__stabchain__ss__symmetric,naive,16,,,31400991.0,ns,54
group__stabchain__ss__symmetric,naive,16,,,32544474.0,ns,56
group__stabchain__ss__symmetric,naive,16,,,33717859.0,ns,58
group__stabchain__ss__symmetric,naive,16,,,34855843.0,ns,60
group__stabchain__ss__symmetric,naive,16,,,36035329.0,ns,62
group__stabchain__ss__symmetric,naive,16,,,37187813.0,ns,64
group__stabchain__ss__symmetric,naive,16,,,38350697.0,ns,66
group__stabchain__ss__symmetric,naive,16,,,39582587.0,ns,68
group__stabchain__ss__symmetric,naive,16,,,40707669.0,ns,70
group__stabchain__ss__symmetric,naive,16,,,41867254.0,ns,72
group__stabchain__ss__symmetric,naive,16,,,43048040.0,ns,74
group__stabchain__ss__symmetric,naive,16,,,44175722.0,ns,76
group__stabchain__ss__symmetric,naive,16,,,45357109.0,ns,78
group__stabchain__ss__symmetric,naive,16,,,46492292.0,ns,80
group__stabchain__ss__symmetric,naive,16,,,47678378.0,ns,82
group__stabchain__ss__symmetric,naive,16,,,48848663.0,ns,84
group__stabchain__ss__symmetric,naive,16,,,49985547.0,ns,86
group__stabchain__ss__symmetric,naive,16,,,51197635.0,ns,88
group__stabchain__ss__symmetric,naive,16,,,52255612.0,ns,90
group__stabchain__ss__symmetric,naive,16,,,53504803.0,ns,92
group__stabchain__ss__symmetric,naive,16,,,54599283.0,ns,94
group__stabchain__ss__symmetric,naive,16,,,55757667.0,ns,96
group__stabchain__ss__symmetric,naive,16,,,57006158.0,ns,98
group__stabchain__ss__symmetric,naive,16,,,58157242.0,ns,100
group__stabchain__ss__symmetric,naive,16,,,59349929.0,ns,102
