group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__symmetric,random,32,,,2656791697.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2646674462.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2658046073.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2666492274.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2662292764.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2670322335.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2663407730.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2667130790.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2676492858.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2674887635.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2677387807.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2672524250.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2676327016.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2676994457.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2668151213.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2668013296.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2673534087.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2665254384.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2679557307.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2663827267.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2674457326.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2680382045.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2679323963.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2682463181.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2662805860.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2663031269.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2672534747.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2659058470.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2671391451.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2667286550.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2677990013.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2692123023.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2677302450.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2680776094.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2676236361.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2666460352.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2666477346.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2670300115.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2679122344.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2666740447.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2667879722.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2656208676.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2659835131.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2659847827.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2658363713.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2659155864.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2663591678.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2659941710.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2664985566.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2660414031.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2668834332.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2671413311.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2665296865.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2677092208.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2664556500.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2662636756.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2669880472.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2679965191.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2661177535.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2670146474.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2670306380.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2685925598.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2664585058.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2684974518.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2668932459.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2667738268.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2657238307.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2657569726.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2665422486.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2649920466.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2666188130.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2679926112.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2684485034.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2661176854.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2661977207.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2662974173.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2666375312.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2661830480.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2668032821.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2669119095.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2672096103.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2651772738.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2673550398.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2657866466.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2665584915.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2669432387.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2683666205.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2665988430.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2676888608.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2667421124.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2673185233.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2690804593.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2680075618.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2692687319.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2671480891.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2669270528.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2694377527.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2664146851.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2660307470.0,ns,1
group__stabchain__ss__symmetric,random,32,,,2654806270.0,ns,1
