group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__symmetric,random,8,,,51327283.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51360286.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51369286.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51310282.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51255778.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51345284.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51309382.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51273979.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51313482.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51314982.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51262379.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51260479.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51305982.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51368086.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51265579.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51280979.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51263279.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51326083.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51301081.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51297681.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51316482.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51326282.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51312182.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51293381.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51288381.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51214775.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51337584.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51390188.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51458192.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51608004.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51381987.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51338384.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51279880.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51262878.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51242677.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51381687.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51251077.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51293381.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51245377.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51324582.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51327183.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51303481.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51278879.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51277479.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51396888.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51261778.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51317382.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51303781.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51307281.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51572401.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51331583.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51252477.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51342484.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51358985.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51273979.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51288380.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51310182.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51364186.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51287080.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51347284.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51259277.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51289080.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51322483.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51379186.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51310081.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51289980.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51304781.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51362186.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51303681.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51287080.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51326583.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51320983.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51302181.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51325983.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51320582.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51273078.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51264678.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51270878.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51288579.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51302880.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51284279.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51293179.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51303681.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51202773.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51370386.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51333683.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51315282.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51320782.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51282379.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51284479.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51316082.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51297680.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51368885.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51267978.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51325082.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51263277.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51295080.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51341484.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51397287.0,ns,12
group__stabchain__ss__symmetric,random,8,,,51363785.0,ns,12
