group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__symmetric,random_known_order,10,,,53493015.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53343305.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53519017.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53534018.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53446512.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53453912.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53370106.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53374207.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53304402.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53447912.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53410709.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53419510.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53417510.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53310902.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53493015.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53363706.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53444211.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53389007.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53461413.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53517417.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53416410.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53430410.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53459913.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53457913.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53425410.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53415610.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53523817.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53342605.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53497215.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53508517.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53461713.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53374506.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53464113.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53474813.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53518117.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53453812.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53359205.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53503116.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53466313.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53387208.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53360605.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53530518.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53328503.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53372906.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53391508.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53343104.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53422310.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53354105.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53423610.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53440411.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53475613.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53548119.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53457713.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53510316.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53521217.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53450812.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53500516.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53438711.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53418510.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53473513.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53554419.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53421710.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53469713.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53386607.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53485314.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53374106.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53346604.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53415209.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53390507.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53410408.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53414809.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53489014.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53447712.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53425110.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53489414.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53392607.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53434111.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53408008.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53541918.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53497515.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53386307.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53363705.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53424710.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53324902.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53355004.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53376706.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53286099.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53367406.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53366005.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53554419.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53597522.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53446411.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53396907.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53323602.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53396507.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53371205.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53536818.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53472313.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53423009.0,ns,2
group__stabchain__ss__symmetric,random_known_order,10,,,53459311.0,ns,2
