group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__symmetric,random_shallow,16,,,50951142.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,49630343.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,48135830.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,53177210.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,49297317.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,51081951.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,49905463.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,51281467.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,52510260.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,49145906.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,50906939.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,49046098.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,49460229.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,48394649.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,47308667.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,51592790.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,50049974.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,50099077.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,55481883.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,51008046.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,50833333.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,50566613.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,53447030.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,50188684.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,50876436.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,46763626.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,49623042.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,49957067.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,51045749.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,48182233.0,ns,25
group__stabchain__ss__symmetric,random_shallow,16,,,49315419.0,ns,25
