group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__symmetric,random_shallow,16,,,50199950.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50172748.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50209950.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50244553.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50267955.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50188249.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50178548.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50156046.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50206650.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50244452.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50259854.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50197049.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50509673.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50206251.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50274655.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50220651.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50217251.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50170847.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50187048.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50169847.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50259253.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50193449.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50262055.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50166547.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50161746.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50199850.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50241753.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50243053.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50391864.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50235452.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50192849.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50159947.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50217150.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50174748.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50185649.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50234152.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50151146.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50256754.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50239853.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50256954.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50199050.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50183248.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50213450.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50175347.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50291556.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50249953.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50136745.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50209851.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50180248.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50216650.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50113943.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50205750.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50062239.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50125044.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50157447.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50325959.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50207650.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50199349.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50251754.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50275855.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50298057.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50153046.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50232152.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50178448.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50126144.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50319058.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50123744.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50219350.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50158346.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50184748.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50127844.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50316458.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50182348.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50246952.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50238452.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50241753.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50231052.0,ns,3
group__stabchain__ss__symmetric,random_shallow,16,,,50211150.0,ns,3
