group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54662771.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54776580.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54778479.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54848384.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54661871.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54740676.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54753577.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54776879.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54743176.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54681573.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54716275.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54705174.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54696773.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54650470.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54680072.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54711175.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54713974.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54695573.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54654771.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54656070.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54866786.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54663771.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54627168.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54703374.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54775279.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54805481.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54803581.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54695873.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54737177.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54747177.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54841283.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54854384.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54747076.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54848684.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54780579.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54779680.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54754177.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54730476.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54904388.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54741276.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54840883.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54741776.0,ns,4
group__stabchain__ss__symmetric,random_shallow_known_order,16,,,54776279.0,ns,4
