group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__inverses,BasedPermutation,128,,,975872.0,ns,51861
permutation__cmp__inverses,BasedPermutation,128,,,2052252.0,ns,103722
permutation__cmp__inverses,BasedPermutation,128,,,3047925.0,ns,155583
permutation__cmp__inverses,BasedPermutation,128,,,3840183.0,ns,207444
permutation__cmp__inverses,BasedPermutation,128,,,5019871.0,ns,259305
permutation__cmp__inverses,BasedPermutation,128,,,5918637.0,ns,311166
permutation__cmp__inverses,BasedPermutation,128,,,6606087.0,ns,363027
permutation__cmp__inverses,BasedPermutation,128,,,7855379.0,ns,414888
permutation__cmp__inverses,BasedPermutation,128,,,8963061.0,ns,466749
permutation__cmp__inverses,BasedPermutation,128,,,9929833.0,ns,518610
permutation__cmp__inverses,BasedPermutation,128,,,10276858.0,ns,570471
permutation__cmp__inverses,BasedPermutation,128,,,12100392.0,ns,622332
permutation__cmp__inverses,BasedPermutation,128,,,12024687.0,ns,674193
permutation__cmp__inverses,BasedPermutation,128,,,13956829.0,ns,726054
permutation__cmp__inverses,BasedPermutation,128,,,13892924.0,ns,777915
permutation__cmp__inverses,BasedPermutation,128,,,14413663.0,ns,829776
permutation__cmp__inverses,BasedPermutation,128,,,16716832.0,ns,881637
permutation__cmp__inverses,BasedPermutation,128,,,16668129.0,ns,933498
permutation__cmp__inverses,BasedPermutation,128,,,17741008.0,ns,985359
permutation__cmp__inverses,BasedPermutation,128,,,19693352.0,ns,1037220
permutation__cmp__inverses,BasedPermutation,128,,,21007449.0,ns,1089081
permutation__cmp__inverses,BasedPermutation,128,,,21314372.0,ns,1140942
permutation__cmp__inverses,BasedPermutation,128,,,22513360.0,ns,1192803
permutation__cmp__inverses,BasedPermutation,128,,,23914263.0,ns,1244664
permutation__cmp__inverses,BasedPermutation,128,,,23855959.0,ns,1296525
permutation__cmp__inverses,BasedPermutation,128,,,25524982.0,ns,1348386
permutation__cmp__inverses,BasedPermutation,128,,,25838706.0,ns,1400247
permutation__cmp__inverses,BasedPermutation,128,,,27559933.0,ns,1452108
permutation__cmp__inverses,BasedPermutation,128,,,29052843.0,ns,1503969
permutation__cmp__inverses,BasedPermutation,128,,,30307936.0,ns,1555830
permutation__cmp__inverses,BasedPermutation,128,,,30584956.0,ns,1607691
permutation__cmp__inverses,BasedPermutation,128,,,30398042.0,ns,1659552
permutation__cmp__inverses,BasedPermutation,128,,,32958130.0,ns,1711413
permutation__cmp__inverses,BasedPermutation,128,,,33703685.0,ns,1763274
permutation__cmp__inverses,BasedPermutation,128,,,34902174.0,ns,1815135
permutation__cmp__inverses,BasedPermutation,128,,,35826142.0,ns,1866996
permutation__cmp__inverses,BasedPermutation,128,,,36169767.0,ns,1918857
permutation__cmp__inverses,BasedPermutation,128,,,38183516.0,ns,1970718
permutation__cmp__inverses,BasedPermutation,128,,,38722255.0,ns,2022579
permutation__cmp__inverses,BasedPermutation,128,,,39807936.0,ns,2074440
permutation__cmp__inverses,BasedPermutation,128,,,41014425.0,ns,2126301
permutation__cmp__inverses,BasedPermutation,128,,,40468584.0,ns,2178162
permutation__cmp__inverses,BasedPermutation,128,,,41995597.0,ns,2230023
permutation__cmp__inverses,BasedPermutation,128,,,42910165.0,ns,2281884
permutation__cmp__inverses,BasedPermutation,128,,,44654893.0,ns,2333745
permutation__cmp__inverses,BasedPermutation,128,,,45619364.0,ns,2385606
permutation__cmp__inverses,BasedPermutation,128,,,46622838.0,ns,2437467
permutation__cmp__inverses,BasedPermutation,128,,,47949436.0,ns,2489328
permutation__cmp__inverses,BasedPermutation,128,,,49070318.0,ns,2541189
permutation__cmp__inverses,BasedPermutation,128,,,49484149.0,ns,2593050
permutation__cmp__inverses,BasedPermutation,128,,,50029689.0,ns,2644911
permutation__cmp__inverses,BasedPermutation,128,,,50792546.0,ns,2696772
permutation__cmp__inverses,BasedPermutation,128,,,51220778.0,ns,2748633
permutation__cmp__inverses,BasedPermutation,128,,,52220051.0,ns,2800494
permutation__cmp__inverses,BasedPermutation,128,,,54334807.0,ns,2852355
permutation__cmp__inverses,BasedPermutation,128,,,54876147.0,ns,2904216
permutation__cmp__inverses,BasedPermutation,128,,,55126066.0,ns,2956077
permutation__cmp__inverses,BasedPermutation,128,,,56842592.0,ns,3007938
permutation__cmp__inverses,BasedPermutation,128,,,58961948.0,ns,3059799
permutation__cmp__inverses,BasedPermutation,128,,,60309447.0,ns,3111660
permutation__cmp__inverses,BasedPermutation,128,,,60278145.0,ns,3163521
permutation__cmp__inverses,BasedPermutation,128,,,61744353.0,ns,3215382
permutation__cmp__inverses,BasedPermutation,128,,,61546139.0,ns,3267243
permutation__cmp__inverses,BasedPermutation,128,,,63824507.0,ns,3319104
permutation__cmp__inverses,BasedPermutation,128,,,63725299.0,ns,3370965
permutation__cmp__inverses,BasedPermutation,128,,,65682443.0,ns,3422826
permutation__cmp__inverses,BasedPermutation,128,,,65610939.0,ns,3474687
permutation__cmp__inverses,BasedPermutation,128,,,67148452.0,ns,3526548
permutation__cmp__inverses,BasedPermutation,128,,,68515353.0,ns,3578409
permutation__cmp__inverses,BasedPermutation,128,,,69980561.0,ns,3630270
permutation__cmp__inverses,BasedPermutation,128,,,70053366.0,ns,3682131
permutation__cmp__inverses,BasedPermutation,128,,,70387691.0,ns,3733992
permutation__cmp__inverses,BasedPermutation,128,,,73013085.0,ns,3785853
permutation__cmp__inverses,BasedPermutation,128,,,73948154.0,ns,3837714
permutation__cmp__inverses,BasedPermutation,128,,,75506769.0,ns,3889575
permutation__cmp__inverses,BasedPermutation,128,,,76250724.0,ns,3941436
permutation__cmp__inverses,BasedPermutation,128,,,77762035.0,ns,3993297
permutation__cmp__inverses,BasedPermutation,128,,,77220194.0,ns,4045158
permutation__cmp__inverses,BasedPermutation,128,,,79053530.0,ns,4097019
permutation__cmp__inverses,BasedPermutation,128,,,78577494.0,ns,4148880
permutation__cmp__inverses,BasedPermutation,128,,,81393503.0,ns,4200741
permutation__cmp__inverses,BasedPermutation,128,,,80440432.0,ns,4252602
permutation__cmp__inverses,BasedPermutation,128,,,82414578.0,ns,4304463
permutation__cmp__inverses,BasedPermutation,128,,,84488030.0,ns,4356324
permutation__cmp__inverses,BasedPermutation,128,,,85512206.0,ns,4408185
permutation__cmp__inverses,BasedPermutation,128,,,86176855.0,ns,4460046
permutation__cmp__inverses,BasedPermutation,128,,,87019017.0,ns,4511907
permutation__cmp__inverses,BasedPermutation,128,,,87289637.0,ns,4563768
permutation__cmp__inverses,BasedPermutation,128,,,87196430.0,ns,4615629
permutation__cmp__inverses,BasedPermutation,128,,,87891481.0,ns,4667490
permutation__cmp__inverses,BasedPermutation,128,,,88659638.0,ns,4719351
permutation__cmp__inverses,BasedPermutation,128,,,91850674.0,ns,4771212
permutation__cmp__inverses,BasedPermutation,128,,,89405094.0,ns,4823073
permutation__cmp__inverses,BasedPermutation,128,,,93250077.0,ns,4874934
permutation__cmp__inverses,BasedPermutation,128,,,95200520.0,ns,4926795
permutation__cmp__inverses,BasedPermutation,128,,,95738360.0,ns,4978656
permutation__cmp__inverses,BasedPermutation,128,,,96610625.0,ns,5030517
permutation__cmp__inverses,BasedPermutation,128,,,95844768.0,ns,5082378
permutation__cmp__inverses,BasedPermutation,128,,,97445186.0,ns,5134239
permutation__cmp__inverses,BasedPermutation,128,,,97736608.0,ns,5186100
