group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__inverses,BasedPermutation,64,,,989469.0,ns,43859
permutation__cmp__inverses,BasedPermutation,64,,,1976838.0,ns,87718
permutation__cmp__inverses,BasedPermutation,64,,,2973607.0,ns,131577
permutation__cmp__inverses,BasedPermutation,64,,,3958875.0,ns,175436
permutation__cmp__inverses,BasedPermutation,64,,,4947944.0,ns,219295
permutation__cmp__inverses,BasedPermutation,64,,,5939912.0,ns,263154
permutation__cmp__inverses,BasedPermutation,64,,,6924981.0,ns,307013
permutation__cmp__inverses,BasedPermutation,64,,,7919350.0,ns,350872
permutation__cmp__inverses,BasedPermutation,64,,,8913919.0,ns,394731
permutation__cmp__inverses,BasedPermutation,64,,,9895987.0,ns,438590
permutation__cmp__inverses,BasedPermutation,64,,,10890656.0,ns,482449
permutation__cmp__inverses,BasedPermutation,64,,,11882525.0,ns,526308
permutation__cmp__inverses,BasedPermutation,64,,,12867894.0,ns,570167
permutation__cmp__inverses,BasedPermutation,64,,,13877064.0,ns,614026
permutation__cmp__inverses,BasedPermutation,64,,,14844731.0,ns,657885
permutation__cmp__inverses,BasedPermutation,64,,,15839300.0,ns,701744
permutation__cmp__inverses,BasedPermutation,64,,,16824668.0,ns,745603
permutation__cmp__inverses,BasedPermutation,64,,,17823637.0,ns,789462
permutation__cmp__inverses,BasedPermutation,64,,,18812006.0,ns,833321
permutation__cmp__inverses,BasedPermutation,64,,,19808376.0,ns,877180
permutation__cmp__inverses,BasedPermutation,64,,,20792744.0,ns,921039
permutation__cmp__inverses,BasedPermutation,64,,,21773612.0,ns,964898
permutation__cmp__inverses,BasedPermutation,64,,,22780482.0,ns,1008757
permutation__cmp__inverses,BasedPermutation,64,,,23750850.0,ns,1052616
permutation__cmp__inverses,BasedPermutation,64,,,24747919.0,ns,1096475
permutation__cmp__inverses,BasedPermutation,64,,,25733887.0,ns,1140334
permutation__cmp__inverses,BasedPermutation,64,,,26736856.0,ns,1184193
permutation__cmp__inverses,BasedPermutation,64,,,27778029.0,ns,1228052
permutation__cmp__inverses,BasedPermutation,64,,,28712894.0,ns,1271911
permutation__cmp__inverses,BasedPermutation,64,,,29701863.0,ns,1315770
permutation__cmp__inverses,BasedPermutation,64,,,30682230.0,ns,1359629
permutation__cmp__inverses,BasedPermutation,64,,,31684099.0,ns,1403488
permutation__cmp__inverses,BasedPermutation,64,,,32663168.0,ns,1447347
permutation__cmp__inverses,BasedPermutation,64,,,33659037.0,ns,1491206
permutation__cmp__inverses,BasedPermutation,64,,,34647105.0,ns,1535065
permutation__cmp__inverses,BasedPermutation,64,,,35665776.0,ns,1578924
permutation__cmp__inverses,BasedPermutation,64,,,36644144.0,ns,1622783
permutation__cmp__inverses,BasedPermutation,64,,,37611711.0,ns,1666642
permutation__cmp__inverses,BasedPermutation,64,,,38606680.0,ns,1710501
permutation__cmp__inverses,BasedPermutation,64,,,39599949.0,ns,1754360
permutation__cmp__inverses,BasedPermutation,64,,,40598219.0,ns,1798219
permutation__cmp__inverses,BasedPermutation,64,,,41578687.0,ns,1842078
