group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__inverses,MapPermutation,16,,,1086079.0,ns,1273
permutation__cmp__inverses,MapPermutation,16,,,1893238.0,ns,2546
permutation__cmp__inverses,MapPermutation,16,,,2895412.0,ns,3819
permutation__cmp__inverses,MapPermutation,16,,,4078998.0,ns,5092
permutation__cmp__inverses,MapPermutation,16,,,4797650.0,ns,6365
permutation__cmp__inverses,MapPermutation,16,,,5361992.0,ns,7638
permutation__cmp__inverses,MapPermutation,16,,,7100519.0,ns,8911
permutation__cmp__inverses,MapPermutation,16,,,7676260.0,ns,10184
permutation__cmp__inverses,MapPermutation,16,,,8563225.0,ns,11457
permutation__cmp__inverses,MapPermutation,16,,,9269477.0,ns,12730
permutation__cmp__inverses,MapPermutation,16,,,10675780.0,ns,14003
permutation__cmp__inverses,MapPermutation,16,,,11364830.0,ns,15276
permutation__cmp__inverses,MapPermutation,16,,,11947973.0,ns,16549
permutation__cmp__inverses,MapPermutation,16,,,14519061.0,ns,17822
permutation__cmp__inverses,MapPermutation,16,,,13406079.0,ns,19095
permutation__cmp__inverses,MapPermutation,16,,,16152480.0,ns,20368
permutation__cmp__inverses,MapPermutation,16,,,17311064.0,ns,21641
permutation__cmp__inverses,MapPermutation,16,,,18215631.0,ns,22914
permutation__cmp__inverses,MapPermutation,16,,,16938537.0,ns,24187
permutation__cmp__inverses,MapPermutation,16,,,19099295.0,ns,25460
permutation__cmp__inverses,MapPermutation,16,,,20104969.0,ns,26733
permutation__cmp__inverses,MapPermutation,16,,,23208695.0,ns,28006
permutation__cmp__inverses,MapPermutation,16,,,23341105.0,ns,29279
permutation__cmp__inverses,MapPermutation,16,,,24279974.0,ns,30552
permutation__cmp__inverses,MapPermutation,16,,,22133016.0,ns,31825
permutation__cmp__inverses,MapPermutation,16,,,27142583.0,ns,33098
permutation__cmp__inverses,MapPermutation,16,,,26433131.0,ns,34371
permutation__cmp__inverses,MapPermutation,16,,,26400028.0,ns,35644
permutation__cmp__inverses,MapPermutation,16,,,23732834.0,ns,36917
permutation__cmp__inverses,MapPermutation,16,,,30287812.0,ns,38190
permutation__cmp__inverses,MapPermutation,16,,,26568540.0,ns,39463
permutation__cmp__inverses,MapPermutation,16,,,32713089.0,ns,40736
permutation__cmp__inverses,MapPermutation,16,,,30155503.0,ns,42009
permutation__cmp__inverses,MapPermutation,16,,,31248882.0,ns,43282
permutation__cmp__inverses,MapPermutation,16,,,31916931.0,ns,44555
permutation__cmp__inverses,MapPermutation,16,,,33273731.0,ns,45828
permutation__cmp__inverses,MapPermutation,16,,,31217080.0,ns,47101
permutation__cmp__inverses,MapPermutation,16,,,38964646.0,ns,48374
permutation__cmp__inverses,MapPermutation,16,,,35883921.0,ns,49647
permutation__cmp__inverses,MapPermutation,16,,,34486519.0,ns,50920
permutation__cmp__inverses,MapPermutation,16,,,34495420.0,ns,52193
permutation__cmp__inverses,MapPermutation,16,,,43464774.0,ns,53466
permutation__cmp__inverses,MapPermutation,16,,,43026941.0,ns,54739
permutation__cmp__inverses,MapPermutation,16,,,46173171.0,ns,56012
permutation__cmp__inverses,MapPermutation,16,,,45660134.0,ns,57285
permutation__cmp__inverses,MapPermutation,16,,,47650978.0,ns,58558
permutation__cmp__inverses,MapPermutation,16,,,44681862.0,ns,59831
permutation__cmp__inverses,MapPermutation,16,,,48731557.0,ns,61104
permutation__cmp__inverses,MapPermutation,16,,,40524858.0,ns,62377
permutation__cmp__inverses,MapPermutation,16,,,51927591.0,ns,63650
permutation__cmp__inverses,MapPermutation,16,,,52217813.0,ns,64923
permutation__cmp__inverses,MapPermutation,16,,,50663198.0,ns,66196
permutation__cmp__inverses,MapPermutation,16,,,55658263.0,ns,67469
permutation__cmp__inverses,MapPermutation,16,,,53591813.0,ns,68742
permutation__cmp__inverses,MapPermutation,16,,,55039218.0,ns,70015
permutation__cmp__inverses,MapPermutation,16,,,45553126.0,ns,71288
permutation__cmp__inverses,MapPermutation,16,,,54683792.0,ns,72561
permutation__cmp__inverses,MapPermutation,16,,,59333132.0,ns,73834
permutation__cmp__inverses,MapPermutation,16,,,57873025.0,ns,75107
permutation__cmp__inverses,MapPermutation,16,,,55024717.0,ns,76380
permutation__cmp__inverses,MapPermutation,16,,,57945931.0,ns,77653
permutation__cmp__inverses,MapPermutation,16,,,60022480.0,ns,78926
permutation__cmp__inverses,MapPermutation,16,,,64324593.0,ns,80199
permutation__cmp__inverses,MapPermutation,16,,,64274490.0,ns,81472
permutation__cmp__inverses,MapPermutation,16,,,62161336.0,ns,82745
permutation__cmp__inverses,MapPermutation,16,,,67931357.0,ns,84018
permutation__cmp__inverses,MapPermutation,16,,,67417319.0,ns,85291
permutation__cmp__inverses,MapPermutation,16,,,66671866.0,ns,86564
permutation__cmp__inverses,MapPermutation,16,,,61134261.0,ns,87837
permutation__cmp__inverses,MapPermutation,16,,,64838031.0,ns,89110
permutation__cmp__inverses,MapPermutation,16,,,68484698.0,ns,90383
permutation__cmp__inverses,MapPermutation,16,,,69107843.0,ns,91656
permutation__cmp__inverses,MapPermutation,16,,,70270028.0,ns,92929
permutation__cmp__inverses,MapPermutation,16,,,66805975.0,ns,94202
permutation__cmp__inverses,MapPermutation,16,,,75595317.0,ns,95475
permutation__cmp__inverses,MapPermutation,16,,,69933103.0,ns,96748
permutation__cmp__inverses,MapPermutation,16,,,80139346.0,ns,98021
permutation__cmp__inverses,MapPermutation,16,,,80564277.0,ns,99294
permutation__cmp__inverses,MapPermutation,16,,,74009298.0,ns,100567
permutation__cmp__inverses,MapPermutation,16,,,73996698.0,ns,101840
permutation__cmp__inverses,MapPermutation,16,,,74731751.0,ns,103113
permutation__cmp__inverses,MapPermutation,16,,,78601533.0,ns,104386
permutation__cmp__inverses,MapPermutation,16,,,85700751.0,ns,105659
permutation__cmp__inverses,MapPermutation,16,,,84318851.0,ns,106932
permutation__cmp__inverses,MapPermutation,16,,,81598551.0,ns,108205
permutation__cmp__inverses,MapPermutation,16,,,78871752.0,ns,109478
permutation__cmp__inverses,MapPermutation,16,,,84087033.0,ns,110751
permutation__cmp__inverses,MapPermutation,16,,,83192868.0,ns,112024
permutation__cmp__inverses,MapPermutation,16,,,89204306.0,ns,113297
permutation__cmp__inverses,MapPermutation,16,,,76671590.0,ns,114570
permutation__cmp__inverses,MapPermutation,16,,,94554894.0,ns,115843
permutation__cmp__inverses,MapPermutation,16,,,86378798.0,ns,117116
permutation__cmp__inverses,MapPermutation,16,,,89822348.0,ns,118389
permutation__cmp__inverses,MapPermutation,16,,,90862124.0,ns,119662
permutation__cmp__inverses,MapPermutation,16,,,93740635.0,ns,120935
permutation__cmp__inverses,MapPermutation,16,,,87627088.0,ns,122208
permutation__cmp__inverses,MapPermutation,16,,,93985952.0,ns,123481
permutation__cmp__inverses,MapPermutation,16,,,101325187.0,ns,124754
permutation__cmp__inverses,MapPermutation,16,,,99668166.0,ns,126027
permutation__cmp__inverses,MapPermutation,16,,,98666392.0,ns,127300
