group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__inverses,MapPermutation,512,,,1035976.0,ns,21
permutation__cmp__inverses,MapPermutation,512,,,2232162.0,ns,42
permutation__cmp__inverses,MapPermutation,512,,,3180031.0,ns,63
permutation__cmp__inverses,MapPermutation,512,,,4177503.0,ns,84
permutation__cmp__inverses,MapPermutation,512,,,5168176.0,ns,105
permutation__cmp__inverses,MapPermutation,512,,,5997336.0,ns,126
permutation__cmp__inverses,MapPermutation,512,,,7291630.0,ns,147
permutation__cmp__inverses,MapPermutation,512,,,8036384.0,ns,168
permutation__cmp__inverses,MapPermutation,512,,,9289875.0,ns,189
permutation__cmp__inverses,MapPermutation,512,,,10104134.0,ns,210
permutation__cmp__inverses,MapPermutation,512,,,10857089.0,ns,231
permutation__cmp__inverses,MapPermutation,512,,,11873062.0,ns,252
permutation__cmp__inverses,MapPermutation,512,,,13425976.0,ns,273
permutation__cmp__inverses,MapPermutation,512,,,14780674.0,ns,294
permutation__cmp__inverses,MapPermutation,512,,,15262108.0,ns,315
permutation__cmp__inverses,MapPermutation,512,,,15919457.0,ns,336
permutation__cmp__inverses,MapPermutation,512,,,17082342.0,ns,357
permutation__cmp__inverses,MapPermutation,512,,,18456041.0,ns,378
permutation__cmp__inverses,MapPermutation,512,,,19213396.0,ns,399
permutation__cmp__inverses,MapPermutation,512,,,19104888.0,ns,420
permutation__cmp__inverses,MapPermutation,512,,,21554866.0,ns,441
permutation__cmp__inverses,MapPermutation,512,,,22036101.0,ns,462
permutation__cmp__inverses,MapPermutation,512,,,23308894.0,ns,483
permutation__cmp__inverses,MapPermutation,512,,,23994643.0,ns,504
permutation__cmp__inverses,MapPermutation,512,,,25119425.0,ns,525
permutation__cmp__inverses,MapPermutation,512,,,26074695.0,ns,546
permutation__cmp__inverses,MapPermutation,512,,,26681438.0,ns,567
permutation__cmp__inverses,MapPermutation,512,,,27823822.0,ns,588
permutation__cmp__inverses,MapPermutation,512,,,29421238.0,ns,609
permutation__cmp__inverses,MapPermutation,512,,,29709859.0,ns,630
permutation__cmp__inverses,MapPermutation,512,,,31199267.0,ns,651
permutation__cmp__inverses,MapPermutation,512,,,32989497.0,ns,672
permutation__cmp__inverses,MapPermutation,512,,,33487933.0,ns,693
permutation__cmp__inverses,MapPermutation,512,,,34460403.0,ns,714
permutation__cmp__inverses,MapPermutation,512,,,35146654.0,ns,735
permutation__cmp__inverses,MapPermutation,512,,,35992415.0,ns,756
permutation__cmp__inverses,MapPermutation,512,,,37563730.0,ns,777
permutation__cmp__inverses,MapPermutation,512,,,38845923.0,ns,798
permutation__cmp__inverses,MapPermutation,512,,,38858423.0,ns,819
permutation__cmp__inverses,MapPermutation,512,,,40810465.0,ns,840
permutation__cmp__inverses,MapPermutation,512,,,40613751.0,ns,861
permutation__cmp__inverses,MapPermutation,512,,,42035254.0,ns,882
permutation__cmp__inverses,MapPermutation,512,,,43135234.0,ns,903
permutation__cmp__inverses,MapPermutation,512,,,43537064.0,ns,924
permutation__cmp__inverses,MapPermutation,512,,,45323194.0,ns,945
permutation__cmp__inverses,MapPermutation,512,,,46191757.0,ns,966
permutation__cmp__inverses,MapPermutation,512,,,47607359.0,ns,987
permutation__cmp__inverses,MapPermutation,512,,,48983459.0,ns,1008
permutation__cmp__inverses,MapPermutation,512,,,49267980.0,ns,1029
permutation__cmp__inverses,MapPermutation,512,,,51021807.0,ns,1050
permutation__cmp__inverses,MapPermutation,512,,,51795163.0,ns,1071
permutation__cmp__inverses,MapPermutation,512,,,51165718.0,ns,1092
permutation__cmp__inverses,MapPermutation,512,,,52303701.0,ns,1113
permutation__cmp__inverses,MapPermutation,512,,,52739432.0,ns,1134
permutation__cmp__inverses,MapPermutation,512,,,54903089.0,ns,1155
permutation__cmp__inverses,MapPermutation,512,,,55813455.0,ns,1176
permutation__cmp__inverses,MapPermutation,512,,,56583011.0,ns,1197
permutation__cmp__inverses,MapPermutation,512,,,57551382.0,ns,1218
permutation__cmp__inverses,MapPermutation,512,,,60150270.0,ns,1239
permutation__cmp__inverses,MapPermutation,512,,,60143670.0,ns,1260
permutation__cmp__inverses,MapPermutation,512,,,61413962.0,ns,1281
permutation__cmp__inverses,MapPermutation,512,,,62335929.0,ns,1302
permutation__cmp__inverses,MapPermutation,512,,,64475285.0,ns,1323
permutation__cmp__inverses,MapPermutation,512,,,65212138.0,ns,1344
permutation__cmp__inverses,MapPermutation,512,,,64983621.0,ns,1365
permutation__cmp__inverses,MapPermutation,512,,,66206211.0,ns,1386
permutation__cmp__inverses,MapPermutation,512,,,67073973.0,ns,1407
permutation__cmp__inverses,MapPermutation,512,,,70443518.0,ns,1428
permutation__cmp__inverses,MapPermutation,512,,,69717066.0,ns,1449
permutation__cmp__inverses,MapPermutation,512,,,71738313.0,ns,1470
permutation__cmp__inverses,MapPermutation,512,,,70446419.0,ns,1491
permutation__cmp__inverses,MapPermutation,512,,,71072464.0,ns,1512
permutation__cmp__inverses,MapPermutation,512,,,72390560.0,ns,1533
permutation__cmp__inverses,MapPermutation,512,,,76074827.0,ns,1554
permutation__cmp__inverses,MapPermutation,512,,,73547144.0,ns,1575
permutation__cmp__inverses,MapPermutation,512,,,75835010.0,ns,1596
permutation__cmp__inverses,MapPermutation,512,,,77229211.0,ns,1617
permutation__cmp__inverses,MapPermutation,512,,,78842029.0,ns,1638
permutation__cmp__inverses,MapPermutation,512,,,80633359.0,ns,1659
permutation__cmp__inverses,MapPermutation,512,,,82072463.0,ns,1680
permutation__cmp__inverses,MapPermutation,512,,,80827473.0,ns,1701
permutation__cmp__inverses,MapPermutation,512,,,81353311.0,ns,1722
permutation__cmp__inverses,MapPermutation,512,,,82845119.0,ns,1743
permutation__cmp__inverses,MapPermutation,512,,,85283797.0,ns,1764
permutation__cmp__inverses,MapPermutation,512,,,85477810.0,ns,1785
permutation__cmp__inverses,MapPermutation,512,,,89433998.0,ns,1806
permutation__cmp__inverses,MapPermutation,512,,,88762050.0,ns,1827
permutation__cmp__inverses,MapPermutation,512,,,87569862.0,ns,1848
permutation__cmp__inverses,MapPermutation,512,,,88184308.0,ns,1869
permutation__cmp__inverses,MapPermutation,512,,,90990111.0,ns,1890
permutation__cmp__inverses,MapPermutation,512,,,92214101.0,ns,1911
permutation__cmp__inverses,MapPermutation,512,,,91593656.0,ns,1932
permutation__cmp__inverses,MapPermutation,512,,,94002430.0,ns,1953
permutation__cmp__inverses,MapPermutation,512,,,95007604.0,ns,1974
permutation__cmp__inverses,MapPermutation,512,,,94385858.0,ns,1995
permutation__cmp__inverses,MapPermutation,512,,,98146571.0,ns,2016
permutation__cmp__inverses,MapPermutation,512,,,99179312.0,ns,2037
permutation__cmp__inverses,MapPermutation,512,,,97342076.0,ns,2058
permutation__cmp__inverses,MapPermutation,512,,,98234241.0,ns,2079
permutation__cmp__inverses,MapPermutation,512,,,100737227.0,ns,2100
