group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__inverses,StandardPermutation,32,,,992772.0,ns,86157
permutation__cmp__inverses,StandardPermutation,32,,,1984443.0,ns,172314
permutation__cmp__inverses,StandardPermutation,32,,,2967114.0,ns,258471
permutation__cmp__inverses,StandardPermutation,32,,,3962786.0,ns,344628
permutation__cmp__inverses,StandardPermutation,32,,,4957958.0,ns,430785
permutation__cmp__inverses,StandardPermutation,32,,,5939329.0,ns,516942
permutation__cmp__inverses,StandardPermutation,32,,,6934500.0,ns,603099
permutation__cmp__inverses,StandardPermutation,32,,,7918372.0,ns,689256
permutation__cmp__inverses,StandardPermutation,32,,,8909543.0,ns,775413
permutation__cmp__inverses,StandardPermutation,32,,,9909515.0,ns,861570
permutation__cmp__inverses,StandardPermutation,32,,,10885285.0,ns,947727
permutation__cmp__inverses,StandardPermutation,32,,,11882958.0,ns,1033884
permutation__cmp__inverses,StandardPermutation,32,,,12871328.0,ns,1120041
permutation__cmp__inverses,StandardPermutation,32,,,13885601.0,ns,1206198
permutation__cmp__inverses,StandardPermutation,32,,,14872572.0,ns,1292355
permutation__cmp__inverses,StandardPermutation,32,,,15838742.0,ns,1378512
permutation__cmp__inverses,StandardPermutation,32,,,16827114.0,ns,1464669
permutation__cmp__inverses,StandardPermutation,32,,,17819985.0,ns,1550826
permutation__cmp__inverses,StandardPermutation,32,,,18814857.0,ns,1636983
permutation__cmp__inverses,StandardPermutation,32,,,19808628.0,ns,1723140
permutation__cmp__inverses,StandardPermutation,32,,,20798400.0,ns,1809297
permutation__cmp__inverses,StandardPermutation,32,,,21787772.0,ns,1895454
permutation__cmp__inverses,StandardPermutation,32,,,22776842.0,ns,1981611
permutation__cmp__inverses,StandardPermutation,32,,,23756614.0,ns,2067768
permutation__cmp__inverses,StandardPermutation,32,,,24747784.0,ns,2153925
permutation__cmp__inverses,StandardPermutation,32,,,25746356.0,ns,2240082
permutation__cmp__inverses,StandardPermutation,32,,,26728528.0,ns,2326239
permutation__cmp__inverses,StandardPermutation,32,,,27719699.0,ns,2412396
permutation__cmp__inverses,StandardPermutation,32,,,28727672.0,ns,2498553
permutation__cmp__inverses,StandardPermutation,32,,,29715243.0,ns,2584710
permutation__cmp__inverses,StandardPermutation,32,,,30688213.0,ns,2670867
permutation__cmp__inverses,StandardPermutation,32,,,31672884.0,ns,2757024
permutation__cmp__inverses,StandardPermutation,32,,,32674256.0,ns,2843181
permutation__cmp__inverses,StandardPermutation,32,,,33657327.0,ns,2929338
permutation__cmp__inverses,StandardPermutation,32,,,34646498.0,ns,3015495
permutation__cmp__inverses,StandardPermutation,32,,,35639070.0,ns,3101652
permutation__cmp__inverses,StandardPermutation,32,,,36631641.0,ns,3187809
permutation__cmp__inverses,StandardPermutation,32,,,37611313.0,ns,3273966
permutation__cmp__inverses,StandardPermutation,32,,,38606084.0,ns,3360123
permutation__cmp__inverses,StandardPermutation,32,,,39595855.0,ns,3446280
