group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__inverses,StandardPermutation,32,,,799459.0,ns,116246
permutation__cmp__inverses,StandardPermutation,32,,,1932042.0,ns,232492
permutation__cmp__inverses,StandardPermutation,32,,,2785006.0,ns,348738
permutation__cmp__inverses,StandardPermutation,32,,,3635968.0,ns,464984
permutation__cmp__inverses,StandardPermutation,32,,,4751551.0,ns,581230
permutation__cmp__inverses,StandardPermutation,32,,,6055347.0,ns,697476
permutation__cmp__inverses,StandardPermutation,32,,,7049920.0,ns,813722
permutation__cmp__inverses,StandardPermutation,32,,,7571359.0,ns,929968
permutation__cmp__inverses,StandardPermutation,32,,,8918758.0,ns,1046214
permutation__cmp__inverses,StandardPermutation,32,,,9525003.0,ns,1162460
permutation__cmp__inverses,StandardPermutation,32,,,10882703.0,ns,1278706
permutation__cmp__inverses,StandardPermutation,32,,,11238229.0,ns,1394952
permutation__cmp__inverses,StandardPermutation,32,,,13099566.0,ns,1511198
permutation__cmp__inverses,StandardPermutation,32,,,12872649.0,ns,1627444
permutation__cmp__inverses,StandardPermutation,32,,,14696684.0,ns,1743690
permutation__cmp__inverses,StandardPermutation,32,,,15802565.0,ns,1859936
permutation__cmp__inverses,StandardPermutation,32,,,16613525.0,ns,1976182
permutation__cmp__inverses,StandardPermutation,32,,,16517719.0,ns,2092428
permutation__cmp__inverses,StandardPermutation,32,,,19170714.0,ns,2208674
permutation__cmp__inverses,StandardPermutation,32,,,19096409.0,ns,2324920
permutation__cmp__inverses,StandardPermutation,32,,,20333700.0,ns,2441166
permutation__cmp__inverses,StandardPermutation,32,,,21363276.0,ns,2557412
permutation__cmp__inverses,StandardPermutation,32,,,23097403.0,ns,2673658
permutation__cmp__inverses,StandardPermutation,32,,,23603141.0,ns,2789904
permutation__cmp__inverses,StandardPermutation,32,,,24784928.0,ns,2906150
permutation__cmp__inverses,StandardPermutation,32,,,25279064.0,ns,3022396
permutation__cmp__inverses,StandardPermutation,32,,,26719471.0,ns,3138642
permutation__cmp__inverses,StandardPermutation,32,,,27447125.0,ns,3254888
permutation__cmp__inverses,StandardPermutation,32,,,28903632.0,ns,3371134
permutation__cmp__inverses,StandardPermutation,32,,,29871904.0,ns,3487380
permutation__cmp__inverses,StandardPermutation,32,,,31112095.0,ns,3603626
permutation__cmp__inverses,StandardPermutation,32,,,31490523.0,ns,3719872
permutation__cmp__inverses,StandardPermutation,32,,,32421691.0,ns,3836118
permutation__cmp__inverses,StandardPermutation,32,,,34017010.0,ns,3952364
permutation__cmp__inverses,StandardPermutation,32,,,34030310.0,ns,4068610
permutation__cmp__inverses,StandardPermutation,32,,,34340433.0,ns,4184856
permutation__cmp__inverses,StandardPermutation,32,,,36533895.0,ns,4301102
permutation__cmp__inverses,StandardPermutation,32,,,35359109.0,ns,4417348
permutation__cmp__inverses,StandardPermutation,32,,,37845792.0,ns,4533594
permutation__cmp__inverses,StandardPermutation,32,,,39776834.0,ns,4649840
permutation__cmp__inverses,StandardPermutation,32,,,40534891.0,ns,4766086
permutation__cmp__inverses,StandardPermutation,32,,,41902491.0,ns,4882332
permutation__cmp__inverses,StandardPermutation,32,,,42810158.0,ns,4998578
permutation__cmp__inverses,StandardPermutation,32,,,43746127.0,ns,5114824
permutation__cmp__inverses,StandardPermutation,32,,,45165331.0,ns,5231070
permutation__cmp__inverses,StandardPermutation,32,,,45601164.0,ns,5347316
permutation__cmp__inverses,StandardPermutation,32,,,46964664.0,ns,5463562
permutation__cmp__inverses,StandardPermutation,32,,,48114249.0,ns,5579808
permutation__cmp__inverses,StandardPermutation,32,,,48797800.0,ns,5696054
permutation__cmp__inverses,StandardPermutation,32,,,49561256.0,ns,5812300
permutation__cmp__inverses,StandardPermutation,32,,,50500126.0,ns,5928546
permutation__cmp__inverses,StandardPermutation,32,,,51528901.0,ns,6044792
permutation__cmp__inverses,StandardPermutation,32,,,52449169.0,ns,6161038
permutation__cmp__inverses,StandardPermutation,32,,,53077815.0,ns,6277284
permutation__cmp__inverses,StandardPermutation,32,,,54687634.0,ns,6393530
permutation__cmp__inverses,StandardPermutation,32,,,56030533.0,ns,6509776
permutation__cmp__inverses,StandardPermutation,32,,,57230522.0,ns,6626022
permutation__cmp__inverses,StandardPermutation,32,,,57959675.0,ns,6742268
permutation__cmp__inverses,StandardPermutation,32,,,57234522.0,ns,6858514
permutation__cmp__inverses,StandardPermutation,32,,,59419583.0,ns,6974760
permutation__cmp__inverses,StandardPermutation,32,,,60917293.0,ns,7091006
permutation__cmp__inverses,StandardPermutation,32,,,60871790.0,ns,7207252
permutation__cmp__inverses,StandardPermutation,32,,,61803059.0,ns,7323498
permutation__cmp__inverses,StandardPermutation,32,,,62926342.0,ns,7439744
permutation__cmp__inverses,StandardPermutation,32,,,64106929.0,ns,7555990
permutation__cmp__inverses,StandardPermutation,32,,,65689546.0,ns,7672236
permutation__cmp__inverses,StandardPermutation,32,,,66605214.0,ns,7788482
permutation__cmp__inverses,StandardPermutation,32,,,67504480.0,ns,7904728
permutation__cmp__inverses,StandardPermutation,32,,,68332641.0,ns,8020974
permutation__cmp__inverses,StandardPermutation,32,,,69719043.0,ns,8137220
permutation__cmp__inverses,StandardPermutation,32,,,71249756.0,ns,8253466
permutation__cmp__inverses,StandardPermutation,32,,,72257831.0,ns,8369712
