group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__inverses,SyncPermutation,32,,,988371.0,ns,29411
permutation__cmp__inverses,SyncPermutation,32,,,1978442.0,ns,58822
permutation__cmp__inverses,SyncPermutation,32,,,2970413.0,ns,88233
permutation__cmp__inverses,SyncPermutation,32,,,3957584.0,ns,117644
permutation__cmp__inverses,SyncPermutation,32,,,4949155.0,ns,147055
permutation__cmp__inverses,SyncPermutation,32,,,5938626.0,ns,176466
permutation__cmp__inverses,SyncPermutation,32,,,6922896.0,ns,205877
permutation__cmp__inverses,SyncPermutation,32,,,7918367.0,ns,235288
permutation__cmp__inverses,SyncPermutation,32,,,8916440.0,ns,264699
permutation__cmp__inverses,SyncPermutation,32,,,9895309.0,ns,294110
permutation__cmp__inverses,SyncPermutation,32,,,10902182.0,ns,323521
permutation__cmp__inverses,SyncPermutation,32,,,11876851.0,ns,352932
permutation__cmp__inverses,SyncPermutation,32,,,12861022.0,ns,382343
permutation__cmp__inverses,SyncPermutation,32,,,13860393.0,ns,411754
permutation__cmp__inverses,SyncPermutation,32,,,14845864.0,ns,441165
permutation__cmp__inverses,SyncPermutation,32,,,15841636.0,ns,470576
permutation__cmp__inverses,SyncPermutation,32,,,16821206.0,ns,499987
permutation__cmp__inverses,SyncPermutation,32,,,17819077.0,ns,529398
permutation__cmp__inverses,SyncPermutation,32,,,18802848.0,ns,558809
permutation__cmp__inverses,SyncPermutation,32,,,19795219.0,ns,588220
permutation__cmp__inverses,SyncPermutation,32,,,20785190.0,ns,617631
permutation__cmp__inverses,SyncPermutation,32,,,21777161.0,ns,647042
permutation__cmp__inverses,SyncPermutation,32,,,22764932.0,ns,676453
permutation__cmp__inverses,SyncPermutation,32,,,23751603.0,ns,705864
permutation__cmp__inverses,SyncPermutation,32,,,24738273.0,ns,735275
permutation__cmp__inverses,SyncPermutation,32,,,25719443.0,ns,764686
permutation__cmp__inverses,SyncPermutation,32,,,26720816.0,ns,794097
permutation__cmp__inverses,SyncPermutation,32,,,27703586.0,ns,823508
permutation__cmp__inverses,SyncPermutation,32,,,28688957.0,ns,852919
permutation__cmp__inverses,SyncPermutation,32,,,29685728.0,ns,882330
permutation__cmp__inverses,SyncPermutation,32,,,30670999.0,ns,911741
permutation__cmp__inverses,SyncPermutation,32,,,31677971.0,ns,941152
permutation__cmp__inverses,SyncPermutation,32,,,32667042.0,ns,970563
permutation__cmp__inverses,SyncPermutation,32,,,33637911.0,ns,999974
permutation__cmp__inverses,SyncPermutation,32,,,34626282.0,ns,1029385
permutation__cmp__inverses,SyncPermutation,32,,,35624153.0,ns,1058796
permutation__cmp__inverses,SyncPermutation,32,,,36613123.0,ns,1088207
permutation__cmp__inverses,SyncPermutation,32,,,37598194.0,ns,1117618
permutation__cmp__inverses,SyncPermutation,32,,,38591665.0,ns,1147029
permutation__cmp__inverses,SyncPermutation,32,,,39576236.0,ns,1176440
permutation__cmp__inverses,SyncPermutation,32,,,40572707.0,ns,1205851
permutation__cmp__inverses,SyncPermutation,32,,,41557678.0,ns,1235262
permutation__cmp__inverses,SyncPermutation,32,,,42549149.0,ns,1264673
permutation__cmp__inverses,SyncPermutation,32,,,43558722.0,ns,1294084
permutation__cmp__inverses,SyncPermutation,32,,,44576094.0,ns,1323495
permutation__cmp__inverses,SyncPermutation,32,,,45528462.0,ns,1352906
permutation__cmp__inverses,SyncPermutation,32,,,46515133.0,ns,1382317
permutation__cmp__inverses,SyncPermutation,32,,,47497203.0,ns,1411728
permutation__cmp__inverses,SyncPermutation,32,,,48489775.0,ns,1441139
permutation__cmp__inverses,SyncPermutation,32,,,49489746.0,ns,1470550
permutation__cmp__inverses,SyncPermutation,32,,,50468517.0,ns,1499961
permutation__cmp__inverses,SyncPermutation,32,,,51450386.0,ns,1529372
permutation__cmp__inverses,SyncPermutation,32,,,52453358.0,ns,1558783
permutation__cmp__inverses,SyncPermutation,32,,,53436529.0,ns,1588194
permutation__cmp__inverses,SyncPermutation,32,,,54444202.0,ns,1617605
permutation__cmp__inverses,SyncPermutation,32,,,55410770.0,ns,1647016
permutation__cmp__inverses,SyncPermutation,32,,,56423042.0,ns,1676427
permutation__cmp__inverses,SyncPermutation,32,,,57414612.0,ns,1705838
permutation__cmp__inverses,SyncPermutation,32,,,58403683.0,ns,1735249
permutation__cmp__inverses,SyncPermutation,32,,,59375753.0,ns,1764660
permutation__cmp__inverses,SyncPermutation,32,,,60368624.0,ns,1794071
permutation__cmp__inverses,SyncPermutation,32,,,61349194.0,ns,1823482
permutation__cmp__inverses,SyncPermutation,32,,,62344666.0,ns,1852893
permutation__cmp__inverses,SyncPermutation,32,,,63341637.0,ns,1882304
permutation__cmp__inverses,SyncPermutation,32,,,64348309.0,ns,1911715
permutation__cmp__inverses,SyncPermutation,32,,,65334180.0,ns,1941126
permutation__cmp__inverses,SyncPermutation,32,,,66311949.0,ns,1970537
permutation__cmp__inverses,SyncPermutation,32,,,67278919.0,ns,1999948
permutation__cmp__inverses,SyncPermutation,32,,,68281391.0,ns,2029359
permutation__cmp__inverses,SyncPermutation,32,,,69269061.0,ns,2058770
permutation__cmp__inverses,SyncPermutation,32,,,70282534.0,ns,2088181
permutation__cmp__inverses,SyncPermutation,32,,,71260704.0,ns,2117592
permutation__cmp__inverses,SyncPermutation,32,,,72243872.0,ns,2147003
permutation__cmp__inverses,SyncPermutation,32,,,73231543.0,ns,2176414
permutation__cmp__inverses,SyncPermutation,32,,,74214813.0,ns,2205825
permutation__cmp__inverses,SyncPermutation,32,,,75208084.0,ns,2235236
permutation__cmp__inverses,SyncPermutation,32,,,76196755.0,ns,2264647
permutation__cmp__inverses,SyncPermutation,32,,,77230429.0,ns,2294058
permutation__cmp__inverses,SyncPermutation,32,,,78204499.0,ns,2323469
permutation__cmp__inverses,SyncPermutation,32,,,79161967.0,ns,2352880
permutation__cmp__inverses,SyncPermutation,32,,,80158639.0,ns,2382291
permutation__cmp__inverses,SyncPermutation,32,,,81146610.0,ns,2411702
permutation__cmp__inverses,SyncPermutation,32,,,82116379.0,ns,2441113
permutation__cmp__inverses,SyncPermutation,32,,,83125552.0,ns,2470524
permutation__cmp__inverses,SyncPermutation,32,,,84126022.0,ns,2499935
permutation__cmp__inverses,SyncPermutation,32,,,85101891.0,ns,2529346
permutation__cmp__inverses,SyncPermutation,32,,,86227871.0,ns,2558757
permutation__cmp__inverses,SyncPermutation,32,,,87072331.0,ns,2588168
permutation__cmp__inverses,SyncPermutation,32,,,88063202.0,ns,2617579
permutation__cmp__inverses,SyncPermutation,32,,,89059473.0,ns,2646990
permutation__cmp__inverses,SyncPermutation,32,,,90059845.0,ns,2676401
permutation__cmp__inverses,SyncPermutation,32,,,91047116.0,ns,2705812
permutation__cmp__inverses,SyncPermutation,32,,,92046287.0,ns,2735223
permutation__cmp__inverses,SyncPermutation,32,,,93001855.0,ns,2764634
permutation__cmp__inverses,SyncPermutation,32,,,94000027.0,ns,2794045
permutation__cmp__inverses,SyncPermutation,32,,,95018799.0,ns,2823456
permutation__cmp__inverses,SyncPermutation,32,,,96018668.0,ns,2852867
permutation__cmp__inverses,SyncPermutation,32,,,96986038.0,ns,2882278
permutation__cmp__inverses,SyncPermutation,32,,,97955307.0,ns,2911689
permutation__cmp__inverses,SyncPermutation,32,,,98972579.0,ns,2941100
