group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__inverses,SyncPermutation,64,,,956170.0,ns,30873
permutation__cmp__inverses,SyncPermutation,64,,,1998247.0,ns,61746
permutation__cmp__inverses,SyncPermutation,64,,,2992821.0,ns,92619
permutation__cmp__inverses,SyncPermutation,64,,,3992895.0,ns,123492
permutation__cmp__inverses,SyncPermutation,64,,,5018870.0,ns,154365
permutation__cmp__inverses,SyncPermutation,64,,,5977640.0,ns,185238
permutation__cmp__inverses,SyncPermutation,64,,,6988515.0,ns,216111
permutation__cmp__inverses,SyncPermutation,64,,,7977188.0,ns,246984
permutation__cmp__inverses,SyncPermutation,64,,,8756145.0,ns,277857
permutation__cmp__inverses,SyncPermutation,64,,,9929832.0,ns,308730
permutation__cmp__inverses,SyncPermutation,64,,,11005512.0,ns,339603
permutation__cmp__inverses,SyncPermutation,64,,,11933080.0,ns,370476
permutation__cmp__inverses,SyncPermutation,64,,,13022360.0,ns,401349
permutation__cmp__inverses,SyncPermutation,64,,,13956328.0,ns,432222
permutation__cmp__inverses,SyncPermutation,64,,,14919800.0,ns,463095
permutation__cmp__inverses,SyncPermutation,64,,,15930274.0,ns,493968
permutation__cmp__inverses,SyncPermutation,64,,,17004053.0,ns,524841
permutation__cmp__inverses,SyncPermutation,64,,,17893119.0,ns,555714
permutation__cmp__inverses,SyncPermutation,64,,,18954498.0,ns,586587
permutation__cmp__inverses,SyncPermutation,64,,,19977673.0,ns,617460
permutation__cmp__inverses,SyncPermutation,64,,,20952445.0,ns,648333
permutation__cmp__inverses,SyncPermutation,64,,,21921516.0,ns,679206
permutation__cmp__inverses,SyncPermutation,64,,,22954992.0,ns,710079
permutation__cmp__inverses,SyncPermutation,64,,,23914363.0,ns,740952
permutation__cmp__inverses,SyncPermutation,64,,,24859033.0,ns,771825
permutation__cmp__inverses,SyncPermutation,64,,,25943013.0,ns,802698
permutation__cmp__inverses,SyncPermutation,64,,,26917384.0,ns,833571
permutation__cmp__inverses,SyncPermutation,64,,,27868954.0,ns,864444
permutation__cmp__inverses,SyncPermutation,64,,,28964335.0,ns,895317
permutation__cmp__inverses,SyncPermutation,64,,,29996011.0,ns,926190
permutation__cmp__inverses,SyncPermutation,64,,,30971484.0,ns,957063
permutation__cmp__inverses,SyncPermutation,64,,,31986858.0,ns,987936
permutation__cmp__inverses,SyncPermutation,64,,,32987932.0,ns,1018809
permutation__cmp__inverses,SyncPermutation,64,,,33208348.0,ns,1049682
permutation__cmp__inverses,SyncPermutation,64,,,34151318.0,ns,1080555
permutation__cmp__inverses,SyncPermutation,64,,,35906747.0,ns,1111428
permutation__cmp__inverses,SyncPermutation,64,,,36742608.0,ns,1142301
permutation__cmp__inverses,SyncPermutation,64,,,37534667.0,ns,1173174
permutation__cmp__inverses,SyncPermutation,64,,,38457835.0,ns,1204047
permutation__cmp__inverses,SyncPermutation,64,,,39282496.0,ns,1234920
permutation__cmp__inverses,SyncPermutation,64,,,40841211.0,ns,1265793
permutation__cmp__inverses,SyncPermutation,64,,,40921216.0,ns,1296666
permutation__cmp__inverses,SyncPermutation,64,,,41805182.0,ns,1327539
