group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__inverses,WordPermutation,64,,,978572.0,ns,850
permutation__cmp__inverses,WordPermutation,64,,,2018748.0,ns,1700
permutation__cmp__inverses,WordPermutation,64,,,3252440.0,ns,2550
permutation__cmp__inverses,WordPermutation,64,,,3937590.0,ns,3400
permutation__cmp__inverses,WordPermutation,64,,,5326693.0,ns,4250
permutation__cmp__inverses,WordPermutation,64,,,5868833.0,ns,5100
permutation__cmp__inverses,WordPermutation,64,,,6948512.0,ns,5950
permutation__cmp__inverses,WordPermutation,64,,,7993489.0,ns,6800
permutation__cmp__inverses,WordPermutation,64,,,8917157.0,ns,7650
permutation__cmp__inverses,WordPermutation,64,,,9777221.0,ns,8500
permutation__cmp__inverses,WordPermutation,64,,,10707190.0,ns,9350
permutation__cmp__inverses,WordPermutation,64,,,11971983.0,ns,10200
permutation__cmp__inverses,WordPermutation,64,,,13104167.0,ns,11050
permutation__cmp__inverses,WordPermutation,64,,,13393988.0,ns,11900
permutation__cmp__inverses,WordPermutation,64,,,14684984.0,ns,12750
permutation__cmp__inverses,WordPermutation,64,,,15602751.0,ns,13600
permutation__cmp__inverses,WordPermutation,64,,,16749536.0,ns,14450
permutation__cmp__inverses,WordPermutation,64,,,17324878.0,ns,15300
permutation__cmp__inverses,WordPermutation,64,,,18654876.0,ns,16150
permutation__cmp__inverses,WordPermutation,64,,,20619421.0,ns,17000
permutation__cmp__inverses,WordPermutation,64,,,20362602.0,ns,17850
permutation__cmp__inverses,WordPermutation,64,,,23006597.0,ns,18700
permutation__cmp__inverses,WordPermutation,64,,,21124058.0,ns,19550
permutation__cmp__inverses,WordPermutation,64,,,22926592.0,ns,20400
permutation__cmp__inverses,WordPermutation,64,,,26483253.0,ns,21250
permutation__cmp__inverses,WordPermutation,64,,,25491681.0,ns,22100
permutation__cmp__inverses,WordPermutation,64,,,26808178.0,ns,22950
permutation__cmp__inverses,WordPermutation,64,,,27337616.0,ns,23800
permutation__cmp__inverses,WordPermutation,64,,,28499103.0,ns,24650
permutation__cmp__inverses,WordPermutation,64,,,29169952.0,ns,25500
permutation__cmp__inverses,WordPermutation,64,,,30156424.0,ns,26350
permutation__cmp__inverses,WordPermutation,64,,,35279003.0,ns,27200
permutation__cmp__inverses,WordPermutation,64,,,32875925.0,ns,28050
permutation__cmp__inverses,WordPermutation,64,,,33898601.0,ns,28900
permutation__cmp__inverses,WordPermutation,64,,,33346260.0,ns,29750
permutation__cmp__inverses,WordPermutation,64,,,34796467.0,ns,30600
permutation__cmp__inverses,WordPermutation,64,,,35492918.0,ns,31450
permutation__cmp__inverses,WordPermutation,64,,,38928172.0,ns,32300
permutation__cmp__inverses,WordPermutation,64,,,41642071.0,ns,33150
permutation__cmp__inverses,WordPermutation,64,,,39711729.0,ns,34000
permutation__cmp__inverses,WordPermutation,64,,,40063955.0,ns,34850
permutation__cmp__inverses,WordPermutation,64,,,43452305.0,ns,35700
permutation__cmp__inverses,WordPermutation,64,,,44006846.0,ns,36550
permutation__cmp__inverses,WordPermutation,64,,,44748801.0,ns,37400
permutation__cmp__inverses,WordPermutation,64,,,42677948.0,ns,38250
permutation__cmp__inverses,WordPermutation,64,,,44917313.0,ns,39100
permutation__cmp__inverses,WordPermutation,64,,,47687018.0,ns,39950
permutation__cmp__inverses,WordPermutation,64,,,46516631.0,ns,40800
permutation__cmp__inverses,WordPermutation,64,,,48040644.0,ns,41650
permutation__cmp__inverses,WordPermutation,64,,,53842772.0,ns,42500
permutation__cmp__inverses,WordPermutation,64,,,49667963.0,ns,43350
permutation__cmp__inverses,WordPermutation,64,,,53762765.0,ns,44200
permutation__cmp__inverses,WordPermutation,64,,,52288857.0,ns,45050
permutation__cmp__inverses,WordPermutation,64,,,53782867.0,ns,45900
permutation__cmp__inverses,WordPermutation,64,,,53371037.0,ns,46750
permutation__cmp__inverses,WordPermutation,64,,,56801190.0,ns,47600
permutation__cmp__inverses,WordPermutation,64,,,57925373.0,ns,48450
permutation__cmp__inverses,WordPermutation,64,,,54408914.0,ns,49300
permutation__cmp__inverses,WordPermutation,64,,,57463438.0,ns,50150
permutation__cmp__inverses,WordPermutation,64,,,60138936.0,ns,51000
permutation__cmp__inverses,WordPermutation,64,,,59463086.0,ns,51850
permutation__cmp__inverses,WordPermutation,64,,,58930647.0,ns,52700
permutation__cmp__inverses,WordPermutation,64,,,61641147.0,ns,53550
permutation__cmp__inverses,WordPermutation,64,,,64877786.0,ns,54400
permutation__cmp__inverses,WordPermutation,64,,,60152137.0,ns,55250
permutation__cmp__inverses,WordPermutation,64,,,61807459.0,ns,56100
permutation__cmp__inverses,WordPermutation,64,,,64665470.0,ns,56950
permutation__cmp__inverses,WordPermutation,64,,,67691993.0,ns,57800
permutation__cmp__inverses,WordPermutation,64,,,71731291.0,ns,58650
permutation__cmp__inverses,WordPermutation,64,,,67443374.0,ns,59500
permutation__cmp__inverses,WordPermutation,64,,,67481677.0,ns,60350
permutation__cmp__inverses,WordPermutation,64,,,69758146.0,ns,61200
permutation__cmp__inverses,WordPermutation,64,,,71629584.0,ns,62050
permutation__cmp__inverses,WordPermutation,64,,,73099492.0,ns,62900
permutation__cmp__inverses,WordPermutation,64,,,75654181.0,ns,63750
permutation__cmp__inverses,WordPermutation,64,,,75856995.0,ns,64600
permutation__cmp__inverses,WordPermutation,64,,,77693830.0,ns,65450
permutation__cmp__inverses,WordPermutation,64,,,74725912.0,ns,66300
permutation__cmp__inverses,WordPermutation,64,,,76728860.0,ns,67150
permutation__cmp__inverses,WordPermutation,64,,,81821535.0,ns,68000
permutation__cmp__inverses,WordPermutation,64,,,81648623.0,ns,68850
permutation__cmp__inverses,WordPermutation,64,,,80452735.0,ns,69700
permutation__cmp__inverses,WordPermutation,64,,,81975147.0,ns,70550
permutation__cmp__inverses,WordPermutation,64,,,84377624.0,ns,71400
permutation__cmp__inverses,WordPermutation,64,,,82792007.0,ns,72250
permutation__cmp__inverses,WordPermutation,64,,,83970894.0,ns,73100
permutation__cmp__inverses,WordPermutation,64,,,86921312.0,ns,73950
permutation__cmp__inverses,WordPermutation,64,,,92170399.0,ns,74800
permutation__cmp__inverses,WordPermutation,64,,,85441403.0,ns,75650
permutation__cmp__inverses,WordPermutation,64,,,92294908.0,ns,76500
permutation__cmp__inverses,WordPermutation,64,,,90626585.0,ns,77350
permutation__cmp__inverses,WordPermutation,64,,,91073118.0,ns,78200
permutation__cmp__inverses,WordPermutation,64,,,90049942.0,ns,79050
permutation__cmp__inverses,WordPermutation,64,,,91804171.0,ns,79900
permutation__cmp__inverses,WordPermutation,64,,,103287818.0,ns,80750
permutation__cmp__inverses,WordPermutation,64,,,93842122.0,ns,81600
permutation__cmp__inverses,WordPermutation,64,,,98430660.0,ns,82450
permutation__cmp__inverses,WordPermutation,64,,,97322578.0,ns,83300
permutation__cmp__inverses,WordPermutation,64,,,93826221.0,ns,84150
permutation__cmp__inverses,WordPermutation,64,,,110534053.0,ns,85000
