group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__inverses,WordPermutation,8,,,937870.0,ns,3184
permutation__cmp__inverses,WordPermutation,8,,,1936342.0,ns,6368
permutation__cmp__inverses,WordPermutation,8,,,2967819.0,ns,9552
permutation__cmp__inverses,WordPermutation,8,,,3968293.0,ns,12736
permutation__cmp__inverses,WordPermutation,8,,,4881861.0,ns,15920
permutation__cmp__inverses,WordPermutation,8,,,5886634.0,ns,19104
permutation__cmp__inverses,WordPermutation,8,,,6756198.0,ns,22288
permutation__cmp__inverses,WordPermutation,8,,,7974389.0,ns,25472
permutation__cmp__inverses,WordPermutation,8,,,8954260.0,ns,28656
permutation__cmp__inverses,WordPermutation,8,,,9903031.0,ns,31840
permutation__cmp__inverses,WordPermutation,8,,,10709290.0,ns,35024
permutation__cmp__inverses,WordPermutation,8,,,11884177.0,ns,38208
permutation__cmp__inverses,WordPermutation,8,,,12807345.0,ns,41392
permutation__cmp__inverses,WordPermutation,8,,,13648307.0,ns,44576
permutation__cmp__inverses,WordPermutation,8,,,14493869.0,ns,47760
permutation__cmp__inverses,WordPermutation,8,,,15744862.0,ns,50944
permutation__cmp__inverses,WordPermutation,8,,,16831642.0,ns,54128
permutation__cmp__inverses,WordPermutation,8,,,17485990.0,ns,57312
permutation__cmp__inverses,WordPermutation,8,,,18412959.0,ns,60496
permutation__cmp__inverses,WordPermutation,8,,,19793160.0,ns,63680
permutation__cmp__inverses,WordPermutation,8,,,20484511.0,ns,66864
permutation__cmp__inverses,WordPermutation,8,,,21667899.0,ns,70048
permutation__cmp__inverses,WordPermutation,8,,,22698275.0,ns,73232
permutation__cmp__inverses,WordPermutation,8,,,24114579.0,ns,76416
permutation__cmp__inverses,WordPermutation,8,,,24553711.0,ns,79600
permutation__cmp__inverses,WordPermutation,8,,,25799704.0,ns,82784
permutation__cmp__inverses,WordPermutation,8,,,26738973.0,ns,85968
permutation__cmp__inverses,WordPermutation,8,,,27473427.0,ns,89152
permutation__cmp__inverses,WordPermutation,8,,,28540705.0,ns,92336
permutation__cmp__inverses,WordPermutation,8,,,29910407.0,ns,95520
permutation__cmp__inverses,WordPermutation,8,,,30447347.0,ns,98704
permutation__cmp__inverses,WordPermutation,8,,,31763343.0,ns,101888
permutation__cmp__inverses,WordPermutation,8,,,32775318.0,ns,105072
permutation__cmp__inverses,WordPermutation,8,,,34144019.0,ns,108256
permutation__cmp__inverses,WordPermutation,8,,,34390038.0,ns,111440
permutation__cmp__inverses,WordPermutation,8,,,34954879.0,ns,114624
permutation__cmp__inverses,WordPermutation,8,,,36925624.0,ns,117808
permutation__cmp__inverses,WordPermutation,8,,,37772087.0,ns,120992
permutation__cmp__inverses,WordPermutation,8,,,39206392.0,ns,124176
permutation__cmp__inverses,WordPermutation,8,,,38088411.0,ns,127360
permutation__cmp__inverses,WordPermutation,8,,,39610722.0,ns,130544
permutation__cmp__inverses,WordPermutation,8,,,41702377.0,ns,133728
permutation__cmp__inverses,WordPermutation,8,,,42898865.0,ns,136912
permutation__cmp__inverses,WordPermutation,8,,,43871937.0,ns,140096
permutation__cmp__inverses,WordPermutation,8,,,44078652.0,ns,143280
permutation__cmp__inverses,WordPermutation,8,,,45504657.0,ns,146464
permutation__cmp__inverses,WordPermutation,8,,,46781952.0,ns,149648
permutation__cmp__inverses,WordPermutation,8,,,47198782.0,ns,152832
permutation__cmp__inverses,WordPermutation,8,,,47914435.0,ns,156016
permutation__cmp__inverses,WordPermutation,8,,,49053019.0,ns,159200
permutation__cmp__inverses,WordPermutation,8,,,49816675.0,ns,162384
permutation__cmp__inverses,WordPermutation,8,,,52229654.0,ns,165568
permutation__cmp__inverses,WordPermutation,8,,,53130420.0,ns,168752
permutation__cmp__inverses,WordPermutation,8,,,52985709.0,ns,171936
permutation__cmp__inverses,WordPermutation,8,,,54190998.0,ns,175120
permutation__cmp__inverses,WordPermutation,8,,,50296011.0,ns,178304
permutation__cmp__inverses,WordPermutation,8,,,56181745.0,ns,181488
permutation__cmp__inverses,WordPermutation,8,,,57713258.0,ns,184672
permutation__cmp__inverses,WordPermutation,8,,,57487541.0,ns,187856
permutation__cmp__inverses,WordPermutation,8,,,58577622.0,ns,191040
permutation__cmp__inverses,WordPermutation,8,,,60951497.0,ns,194224
permutation__cmp__inverses,WordPermutation,8,,,61843763.0,ns,197408
permutation__cmp__inverses,WordPermutation,8,,,62289296.0,ns,200592
permutation__cmp__inverses,WordPermutation,8,,,62321998.0,ns,203776
permutation__cmp__inverses,WordPermutation,8,,,64458255.0,ns,206960
permutation__cmp__inverses,WordPermutation,8,,,65919964.0,ns,210144
permutation__cmp__inverses,WordPermutation,8,,,67863207.0,ns,213328
permutation__cmp__inverses,WordPermutation,8,,,67748398.0,ns,216512
permutation__cmp__inverses,WordPermutation,8,,,66579112.0,ns,219696
permutation__cmp__inverses,WordPermutation,8,,,68286138.0,ns,222880
permutation__cmp__inverses,WordPermutation,8,,,71502476.0,ns,226064
permutation__cmp__inverses,WordPermutation,8,,,71842802.0,ns,229248
permutation__cmp__inverses,WordPermutation,8,,,72356049.0,ns,232432
permutation__cmp__inverses,WordPermutation,8,,,72097829.0,ns,235616
permutation__cmp__inverses,WordPermutation,8,,,74517009.0,ns,238800
permutation__cmp__inverses,WordPermutation,8,,,75058448.0,ns,241984
permutation__cmp__inverses,WordPermutation,8,,,75317668.0,ns,245168
permutation__cmp__inverses,WordPermutation,8,,,77049395.0,ns,248352
permutation__cmp__inverses,WordPermutation,8,,,78498403.0,ns,251536
permutation__cmp__inverses,WordPermutation,8,,,80049217.0,ns,254720
permutation__cmp__inverses,WordPermutation,8,,,79046943.0,ns,257904
permutation__cmp__inverses,WordPermutation,8,,,80445946.0,ns,261088
permutation__cmp__inverses,WordPermutation,8,,,81889754.0,ns,264272
permutation__cmp__inverses,WordPermutation,8,,,82770918.0,ns,267456
permutation__cmp__inverses,WordPermutation,8,,,82551103.0,ns,270640
permutation__cmp__inverses,WordPermutation,8,,,85207298.0,ns,273824
permutation__cmp__inverses,WordPermutation,8,,,86513496.0,ns,277008
permutation__cmp__inverses,WordPermutation,8,,,88140915.0,ns,280192
permutation__cmp__inverses,WordPermutation,8,,,88315329.0,ns,283376
permutation__cmp__inverses,WordPermutation,8,,,89300101.0,ns,286560
permutation__cmp__inverses,WordPermutation,8,,,90265172.0,ns,289744
permutation__cmp__inverses,WordPermutation,8,,,92553042.0,ns,292928
permutation__cmp__inverses,WordPermutation,8,,,93432307.0,ns,296112
permutation__cmp__inverses,WordPermutation,8,,,92037703.0,ns,299296
permutation__cmp__inverses,WordPermutation,8,,,94049352.0,ns,302480
permutation__cmp__inverses,WordPermutation,8,,,95341347.0,ns,305664
permutation__cmp__inverses,WordPermutation,8,,,96704949.0,ns,308848
permutation__cmp__inverses,WordPermutation,8,,,97398600.0,ns,312032
permutation__cmp__inverses,WordPermutation,8,,,97863134.0,ns,315216
permutation__cmp__inverses,WordPermutation,8,,,99516056.0,ns,318400
