group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp,BasedPermutation,16,,,1000077.0,ns,414163
permutation__cmp__lmp,BasedPermutation,16,,,2000455.0,ns,828326
permutation__cmp__lmp,BasedPermutation,16,,,2941127.0,ns,1242489
permutation__cmp__lmp,BasedPermutation,16,,,3976707.0,ns,1656652
permutation__cmp__lmp,BasedPermutation,16,,,4930781.0,ns,2070815
permutation__cmp__lmp,BasedPermutation,16,,,5965760.0,ns,2484978
permutation__cmp__lmp,BasedPermutation,16,,,7027243.0,ns,2899141
permutation__cmp__lmp,BasedPermutation,16,,,8013018.0,ns,3313304
permutation__cmp__lmp,BasedPermutation,16,,,8953291.0,ns,3727467
permutation__cmp__lmp,BasedPermutation,16,,,9897564.0,ns,4141630
permutation__cmp__lmp,BasedPermutation,16,,,10884540.0,ns,4555793
permutation__cmp__lmp,BasedPermutation,16,,,11699303.0,ns,4969956
permutation__cmp__lmp,BasedPermutation,16,,,12843391.0,ns,5384119
permutation__cmp__lmp,BasedPermutation,16,,,13791765.0,ns,5798282
permutation__cmp__lmp,BasedPermutation,16,,,14607527.0,ns,6212445
permutation__cmp__lmp,BasedPermutation,16,,,15844223.0,ns,6626608
permutation__cmp__lmp,BasedPermutation,16,,,16832799.0,ns,7040771
permutation__cmp__lmp,BasedPermutation,16,,,17929284.0,ns,7454934
permutation__cmp__lmp,BasedPermutation,16,,,19046170.0,ns,7869097
permutation__cmp__lmp,BasedPermutation,16,,,19736523.0,ns,8283260
permutation__cmp__lmp,BasedPermutation,16,,,20728700.0,ns,8697423
permutation__cmp__lmp,BasedPermutation,16,,,22011498.0,ns,9111586
permutation__cmp__lmp,BasedPermutation,16,,,22852863.0,ns,9525749
permutation__cmp__lmp,BasedPermutation,16,,,23470312.0,ns,9939912
permutation__cmp__lmp,BasedPermutation,16,,,24535493.0,ns,10354075
permutation__cmp__lmp,BasedPermutation,16,,,25381459.0,ns,10768238
permutation__cmp__lmp,BasedPermutation,16,,,26504245.0,ns,11182401
permutation__cmp__lmp,BasedPermutation,16,,,27493522.0,ns,11596564
permutation__cmp__lmp,BasedPermutation,16,,,28581606.0,ns,12010727
permutation__cmp__lmp,BasedPermutation,16,,,29407069.0,ns,12424890
permutation__cmp__lmp,BasedPermutation,16,,,29104146.0,ns,12839053
permutation__cmp__lmp,BasedPermutation,16,,,30341541.0,ns,13253216
permutation__cmp__lmp,BasedPermutation,16,,,32169983.0,ns,13667379
permutation__cmp__lmp,BasedPermutation,16,,,32639819.0,ns,14081542
permutation__cmp__lmp,BasedPermutation,16,,,33415679.0,ns,14495705
permutation__cmp__lmp,BasedPermutation,16,,,34964498.0,ns,14909868
permutation__cmp__lmp,BasedPermutation,16,,,36466314.0,ns,15324031
permutation__cmp__lmp,BasedPermutation,16,,,37595602.0,ns,15738194
permutation__cmp__lmp,BasedPermutation,16,,,38257852.0,ns,16152357
permutation__cmp__lmp,BasedPermutation,16,,,39336136.0,ns,16566520
permutation__cmp__lmp,BasedPermutation,16,,,40926658.0,ns,16980683
permutation__cmp__lmp,BasedPermutation,16,,,42003042.0,ns,17394846
permutation__cmp__lmp,BasedPermutation,16,,,42740098.0,ns,17809009
permutation__cmp__lmp,BasedPermutation,16,,,44029498.0,ns,18223172
permutation__cmp__lmp,BasedPermutation,16,,,44622644.0,ns,18637335
permutation__cmp__lmp,BasedPermutation,16,,,45945845.0,ns,19051498
permutation__cmp__lmp,BasedPermutation,16,,,47121436.0,ns,19465661
permutation__cmp__lmp,BasedPermutation,16,,,47638576.0,ns,19879824
permutation__cmp__lmp,BasedPermutation,16,,,48678756.0,ns,20293987
permutation__cmp__lmp,BasedPermutation,16,,,49595328.0,ns,20708150
permutation__cmp__lmp,BasedPermutation,16,,,50624706.0,ns,21122313
permutation__cmp__lmp,BasedPermutation,16,,,51501974.0,ns,21536476
permutation__cmp__lmp,BasedPermutation,16,,,51794497.0,ns,21950639
permutation__cmp__lmp,BasedPermutation,16,,,51922607.0,ns,22364802
permutation__cmp__lmp,BasedPermutation,16,,,53308514.0,ns,22778965
permutation__cmp__lmp,BasedPermutation,16,,,55146856.0,ns,23193128
permutation__cmp__lmp,BasedPermutation,16,,,55251064.0,ns,23607291
permutation__cmp__lmp,BasedPermutation,16,,,57052503.0,ns,24021454
permutation__cmp__lmp,BasedPermutation,16,,,58594922.0,ns,24435617
permutation__cmp__lmp,BasedPermutation,16,,,59391783.0,ns,24849780
permutation__cmp__lmp,BasedPermutation,16,,,59976429.0,ns,25263943
permutation__cmp__lmp,BasedPermutation,16,,,61369136.0,ns,25678106
permutation__cmp__lmp,BasedPermutation,16,,,61154219.0,ns,26092269
permutation__cmp__lmp,BasedPermutation,16,,,61689061.0,ns,26506432
permutation__cmp__lmp,BasedPermutation,16,,,62806047.0,ns,26920595
permutation__cmp__lmp,BasedPermutation,16,,,64880207.0,ns,27334758
permutation__cmp__lmp,BasedPermutation,16,,,66074299.0,ns,27748921
permutation__cmp__lmp,BasedPermutation,16,,,67650621.0,ns,28163084
permutation__cmp__lmp,BasedPermutation,16,,,68871615.0,ns,28577247
permutation__cmp__lmp,BasedPermutation,16,,,69560368.0,ns,28991410
permutation__cmp__lmp,BasedPermutation,16,,,70097109.0,ns,29405573
permutation__cmp__lmp,BasedPermutation,16,,,71914550.0,ns,29819736
permutation__cmp__lmp,BasedPermutation,16,,,71871047.0,ns,30233899
permutation__cmp__lmp,BasedPermutation,16,,,73513073.0,ns,30648062
permutation__cmp__lmp,BasedPermutation,16,,,74154622.0,ns,31062225
permutation__cmp__lmp,BasedPermutation,16,,,75752245.0,ns,31476388
permutation__cmp__lmp,BasedPermutation,16,,,77051247.0,ns,31890551
permutation__cmp__lmp,BasedPermutation,16,,,77695996.0,ns,32304714
permutation__cmp__lmp,BasedPermutation,16,,,76902934.0,ns,32718877
permutation__cmp__lmp,BasedPermutation,16,,,77722897.0,ns,33133040
permutation__cmp__lmp,BasedPermutation,16,,,79905966.0,ns,33547203
permutation__cmp__lmp,BasedPermutation,16,,,80614521.0,ns,33961366
permutation__cmp__lmp,BasedPermutation,16,,,82348255.0,ns,34375529
permutation__cmp__lmp,BasedPermutation,16,,,82239147.0,ns,34789692
permutation__cmp__lmp,BasedPermutation,16,,,81321676.0,ns,35203855
permutation__cmp__lmp,BasedPermutation,16,,,85234977.0,ns,35618018
permutation__cmp__lmp,BasedPermutation,16,,,84621831.0,ns,36032181
permutation__cmp__lmp,BasedPermutation,16,,,86931844.0,ns,36446344
permutation__cmp__lmp,BasedPermutation,16,,,88022827.0,ns,36860507
permutation__cmp__lmp,BasedPermutation,16,,,89269016.0,ns,37274670
permutation__cmp__lmp,BasedPermutation,16,,,87792910.0,ns,37688833
permutation__cmp__lmp,BasedPermutation,16,,,89473730.0,ns,38102996
permutation__cmp__lmp,BasedPermutation,16,,,91616085.0,ns,38517159
permutation__cmp__lmp,BasedPermutation,16,,,91884104.0,ns,38931322
permutation__cmp__lmp,BasedPermutation,16,,,92795769.0,ns,39345485
permutation__cmp__lmp,BasedPermutation,16,,,94377583.0,ns,39759648
permutation__cmp__lmp,BasedPermutation,16,,,95174741.0,ns,40173811
permutation__cmp__lmp,BasedPermutation,16,,,94412285.0,ns,40587974
permutation__cmp__lmp,BasedPermutation,16,,,97418805.0,ns,41002137
permutation__cmp__lmp,BasedPermutation,16,,,98745704.0,ns,41416300
