group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp,BasedPermutation,8,,,995474.0,ns,412513
permutation__cmp__lmp,BasedPermutation,8,,,1970245.0,ns,825026
permutation__cmp__lmp,BasedPermutation,8,,,2988221.0,ns,1237539
permutation__cmp__lmp,BasedPermutation,8,,,3976293.0,ns,1650052
permutation__cmp__lmp,BasedPermutation,8,,,4823956.0,ns,2062565
permutation__cmp__lmp,BasedPermutation,8,,,5917637.0,ns,2475078
permutation__cmp__lmp,BasedPermutation,8,,,6990916.0,ns,2887591
permutation__cmp__lmp,BasedPermutation,8,,,7665166.0,ns,3300104
permutation__cmp__lmp,BasedPermutation,8,,,8796349.0,ns,3712617
permutation__cmp__lmp,BasedPermutation,8,,,9874229.0,ns,4125130
permutation__cmp__lmp,BasedPermutation,8,,,10615884.0,ns,4537643
permutation__cmp__lmp,BasedPermutation,8,,,11961182.0,ns,4950156
permutation__cmp__lmp,BasedPermutation,8,,,12584929.0,ns,5362669
permutation__cmp__lmp,BasedPermutation,8,,,13382288.0,ns,5775182
permutation__cmp__lmp,BasedPermutation,8,,,14212949.0,ns,6187695
permutation__cmp__lmp,BasedPermutation,8,,,15829468.0,ns,6600208
permutation__cmp__lmp,BasedPermutation,8,,,16577324.0,ns,7012721
permutation__cmp__lmp,BasedPermutation,8,,,17872419.0,ns,7425234
permutation__cmp__lmp,BasedPermutation,8,,,18740683.0,ns,7837747
permutation__cmp__lmp,BasedPermutation,8,,,19773859.0,ns,8250260
permutation__cmp__lmp,BasedPermutation,8,,,20201091.0,ns,8662773
permutation__cmp__lmp,BasedPermutation,8,,,21185964.0,ns,9075286
permutation__cmp__lmp,BasedPermutation,8,,,22460157.0,ns,9487799
permutation__cmp__lmp,BasedPermutation,8,,,23864562.0,ns,9900312
permutation__cmp__lmp,BasedPermutation,8,,,24813531.0,ns,10312825
permutation__cmp__lmp,BasedPermutation,8,,,25676795.0,ns,10725338
permutation__cmp__lmp,BasedPermutation,8,,,26040322.0,ns,11137851
permutation__cmp__lmp,BasedPermutation,8,,,27711545.0,ns,11550364
permutation__cmp__lmp,BasedPermutation,8,,,28440599.0,ns,11962877
permutation__cmp__lmp,BasedPermutation,8,,,29330864.0,ns,12375390
permutation__cmp__lmp,BasedPermutation,8,,,30560555.0,ns,12787903
permutation__cmp__lmp,BasedPermutation,8,,,31187902.0,ns,13200416
permutation__cmp__lmp,BasedPermutation,8,,,32651109.0,ns,13612929
permutation__cmp__lmp,BasedPermutation,8,,,32672612.0,ns,14025442
permutation__cmp__lmp,BasedPermutation,8,,,33712288.0,ns,14437955
permutation__cmp__lmp,BasedPermutation,8,,,34325233.0,ns,14850468
permutation__cmp__lmp,BasedPermutation,8,,,35095990.0,ns,15262981
permutation__cmp__lmp,BasedPermutation,8,,,36421188.0,ns,15675494
permutation__cmp__lmp,BasedPermutation,8,,,38297326.0,ns,16088007
permutation__cmp__lmp,BasedPermutation,8,,,38500342.0,ns,16500520
permutation__cmp__lmp,BasedPermutation,8,,,40917719.0,ns,16913033
permutation__cmp__lmp,BasedPermutation,8,,,41648573.0,ns,17325546
permutation__cmp__lmp,BasedPermutation,8,,,42753655.0,ns,17738059
permutation__cmp__lmp,BasedPermutation,8,,,43445906.0,ns,18150572
permutation__cmp__lmp,BasedPermutation,8,,,43937642.0,ns,18563085
permutation__cmp__lmp,BasedPermutation,8,,,45685271.0,ns,18975598
permutation__cmp__lmp,BasedPermutation,8,,,43316797.0,ns,19388111
permutation__cmp__lmp,BasedPermutation,8,,,47088775.0,ns,19800624
permutation__cmp__lmp,BasedPermutation,8,,,47860832.0,ns,20213137
permutation__cmp__lmp,BasedPermutation,8,,,48226859.0,ns,20625650
permutation__cmp__lmp,BasedPermutation,8,,,48207957.0,ns,21038163
permutation__cmp__lmp,BasedPermutation,8,,,48970014.0,ns,21450676
permutation__cmp__lmp,BasedPermutation,8,,,50842753.0,ns,21863189
permutation__cmp__lmp,BasedPermutation,8,,,53223928.0,ns,22275702
permutation__cmp__lmp,BasedPermutation,8,,,54587028.0,ns,22688215
permutation__cmp__lmp,BasedPermutation,8,,,55333784.0,ns,23100728
permutation__cmp__lmp,BasedPermutation,8,,,56057237.0,ns,23513241
permutation__cmp__lmp,BasedPermutation,8,,,57676956.0,ns,23925754
permutation__cmp__lmp,BasedPermutation,8,,,58297602.0,ns,24338267
permutation__cmp__lmp,BasedPermutation,8,,,58951050.0,ns,24750780
permutation__cmp__lmp,BasedPermutation,8,,,59946324.0,ns,25163293
permutation__cmp__lmp,BasedPermutation,8,,,61318525.0,ns,25575806
permutation__cmp__lmp,BasedPermutation,8,,,61635749.0,ns,25988319
permutation__cmp__lmp,BasedPermutation,8,,,61576144.0,ns,26400832
permutation__cmp__lmp,BasedPermutation,8,,,64003824.0,ns,26813345
permutation__cmp__lmp,BasedPermutation,8,,,65122606.0,ns,27225858
permutation__cmp__lmp,BasedPermutation,8,,,66588914.0,ns,27638371
permutation__cmp__lmp,BasedPermutation,8,,,67161656.0,ns,28050884
permutation__cmp__lmp,BasedPermutation,8,,,66905537.0,ns,28463397
permutation__cmp__lmp,BasedPermutation,8,,,68999792.0,ns,28875910
permutation__cmp__lmp,BasedPermutation,8,,,70358893.0,ns,29288423
permutation__cmp__lmp,BasedPermutation,8,,,71462274.0,ns,29700936
permutation__cmp__lmp,BasedPermutation,8,,,71966811.0,ns,30113449
