group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp,MapPermutation,16,,,956469.0,ns,87029
permutation__cmp__lmp,MapPermutation,16,,,1996844.0,ns,174058
permutation__cmp__lmp,MapPermutation,16,,,2932711.0,ns,261087
permutation__cmp__lmp,MapPermutation,16,,,3824575.0,ns,348116
permutation__cmp__lmp,MapPermutation,16,,,4780544.0,ns,435145
permutation__cmp__lmp,MapPermutation,16,,,5755914.0,ns,522174
permutation__cmp__lmp,MapPermutation,16,,,6840492.0,ns,609203
permutation__cmp__lmp,MapPermutation,16,,,7824163.0,ns,696232
permutation__cmp__lmp,MapPermutation,16,,,9253966.0,ns,783261
permutation__cmp__lmp,MapPermutation,16,,,9766003.0,ns,870290
permutation__cmp__lmp,MapPermutation,16,,,10894084.0,ns,957319
permutation__cmp__lmp,MapPermutation,16,,,11804649.0,ns,1044348
permutation__cmp__lmp,MapPermutation,16,,,13148646.0,ns,1131377
permutation__cmp__lmp,MapPermutation,16,,,14224424.0,ns,1218406
permutation__cmp__lmp,MapPermutation,16,,,14829067.0,ns,1305435
permutation__cmp__lmp,MapPermutation,16,,,15868741.0,ns,1392464
permutation__cmp__lmp,MapPermutation,16,,,17191036.0,ns,1479493
permutation__cmp__lmp,MapPermutation,16,,,17944791.0,ns,1566522
permutation__cmp__lmp,MapPermutation,16,,,18816254.0,ns,1653551
permutation__cmp__lmp,MapPermutation,16,,,20008539.0,ns,1740580
permutation__cmp__lmp,MapPermutation,16,,,21537850.0,ns,1827609
permutation__cmp__lmp,MapPermutation,16,,,21758566.0,ns,1914638
permutation__cmp__lmp,MapPermutation,16,,,22985553.0,ns,2001667
permutation__cmp__lmp,MapPermutation,16,,,23373181.0,ns,2088696
permutation__cmp__lmp,MapPermutation,16,,,25387127.0,ns,2175725
permutation__cmp__lmp,MapPermutation,16,,,26739524.0,ns,2262754
permutation__cmp__lmp,MapPermutation,16,,,26473005.0,ns,2349783
permutation__cmp__lmp,MapPermutation,16,,,27592485.0,ns,2436812
permutation__cmp__lmp,MapPermutation,16,,,29011588.0,ns,2523841
permutation__cmp__lmp,MapPermutation,16,,,30590101.0,ns,2610870
permutation__cmp__lmp,MapPermutation,16,,,30262677.0,ns,2697899
permutation__cmp__lmp,MapPermutation,16,,,31582472.0,ns,2784928
permutation__cmp__lmp,MapPermutation,16,,,33382201.0,ns,2871957
permutation__cmp__lmp,MapPermutation,16,,,33023375.0,ns,2958986
permutation__cmp__lmp,MapPermutation,16,,,34577587.0,ns,3046015
permutation__cmp__lmp,MapPermutation,16,,,35874781.0,ns,3133044
permutation__cmp__lmp,MapPermutation,16,,,36247308.0,ns,3220073
permutation__cmp__lmp,MapPermutation,16,,,38648380.0,ns,3307102
permutation__cmp__lmp,MapPermutation,16,,,38667782.0,ns,3394131
permutation__cmp__lmp,MapPermutation,16,,,39349631.0,ns,3481160
permutation__cmp__lmp,MapPermutation,16,,,40224894.0,ns,3568189
permutation__cmp__lmp,MapPermutation,16,,,41537189.0,ns,3655218
permutation__cmp__lmp,MapPermutation,16,,,42991793.0,ns,3742247
permutation__cmp__lmp,MapPermutation,16,,,43418724.0,ns,3829276
permutation__cmp__lmp,MapPermutation,16,,,44224182.0,ns,3916305
permutation__cmp__lmp,MapPermutation,16,,,45122547.0,ns,4003334
permutation__cmp__lmp,MapPermutation,16,,,47745335.0,ns,4090363
permutation__cmp__lmp,MapPermutation,16,,,48560313.0,ns,4177392
permutation__cmp__lmp,MapPermutation,16,,,49017356.0,ns,4264421
permutation__cmp__lmp,MapPermutation,16,,,49771210.0,ns,4351450
permutation__cmp__lmp,MapPermutation,16,,,50188440.0,ns,4438479
permutation__cmp__lmp,MapPermutation,16,,,51505435.0,ns,4525508
permutation__cmp__lmp,MapPermutation,16,,,52546811.0,ns,4612537
permutation__cmp__lmp,MapPermutation,16,,,53086051.0,ns,4699566
permutation__cmp__lmp,MapPermutation,16,,,54592760.0,ns,4786595
permutation__cmp__lmp,MapPermutation,16,,,57283455.0,ns,4873624
permutation__cmp__lmp,MapPermutation,16,,,57268454.0,ns,4960653
permutation__cmp__lmp,MapPermutation,16,,,58486642.0,ns,5047682
permutation__cmp__lmp,MapPermutation,16,,,58370434.0,ns,5134711
permutation__cmp__lmp,MapPermutation,16,,,60269872.0,ns,5221740
permutation__cmp__lmp,MapPermutation,16,,,60240870.0,ns,5308769
permutation__cmp__lmp,MapPermutation,16,,,61711876.0,ns,5395798
permutation__cmp__lmp,MapPermutation,16,,,63288691.0,ns,5482827
permutation__cmp__lmp,MapPermutation,16,,,64578384.0,ns,5569856
permutation__cmp__lmp,MapPermutation,16,,,64862005.0,ns,5656885
permutation__cmp__lmp,MapPermutation,16,,,65190029.0,ns,5743914
permutation__cmp__lmp,MapPermutation,16,,,65905580.0,ns,5830943
permutation__cmp__lmp,MapPermutation,16,,,68337757.0,ns,5917972
permutation__cmp__lmp,MapPermutation,16,,,68310755.0,ns,6005001
permutation__cmp__lmp,MapPermutation,16,,,69006205.0,ns,6092030
permutation__cmp__lmp,MapPermutation,16,,,70215593.0,ns,6179059
permutation__cmp__lmp,MapPermutation,16,,,71206165.0,ns,6266088
permutation__cmp__lmp,MapPermutation,16,,,72083928.0,ns,6353117
permutation__cmp__lmp,MapPermutation,16,,,72148534.0,ns,6440146
permutation__cmp__lmp,MapPermutation,16,,,73866457.0,ns,6527175
permutation__cmp__lmp,MapPermutation,16,,,74488503.0,ns,6614204
permutation__cmp__lmp,MapPermutation,16,,,76583955.0,ns,6701233
permutation__cmp__lmp,MapPermutation,16,,,78930025.0,ns,6788262
permutation__cmp__lmp,MapPermutation,16,,,76950182.0,ns,6875291
permutation__cmp__lmp,MapPermutation,16,,,79377257.0,ns,6962320
permutation__cmp__lmp,MapPermutation,16,,,81485011.0,ns,7049349
permutation__cmp__lmp,MapPermutation,16,,,82478982.0,ns,7136378
permutation__cmp__lmp,MapPermutation,16,,,81637421.0,ns,7223407
permutation__cmp__lmp,MapPermutation,16,,,83672569.0,ns,7310436
permutation__cmp__lmp,MapPermutation,16,,,85205781.0,ns,7397465
permutation__cmp__lmp,MapPermutation,16,,,85486701.0,ns,7484494
permutation__cmp__lmp,MapPermutation,16,,,86883402.0,ns,7571523
permutation__cmp__lmp,MapPermutation,16,,,87634656.0,ns,7658552
permutation__cmp__lmp,MapPermutation,16,,,88649730.0,ns,7745581
permutation__cmp__lmp,MapPermutation,16,,,90061232.0,ns,7832610
permutation__cmp__lmp,MapPermutation,16,,,89939723.0,ns,7919639
permutation__cmp__lmp,MapPermutation,16,,,91305623.0,ns,8006668
permutation__cmp__lmp,MapPermutation,16,,,92329197.0,ns,8093697
permutation__cmp__lmp,MapPermutation,16,,,93485781.0,ns,8180726
permutation__cmp__lmp,MapPermutation,16,,,94679768.0,ns,8267755
permutation__cmp__lmp,MapPermutation,16,,,94092225.0,ns,8354784
permutation__cmp__lmp,MapPermutation,16,,,95487726.0,ns,8441813
permutation__cmp__lmp,MapPermutation,16,,,96588806.0,ns,8528842
permutation__cmp__lmp,MapPermutation,16,,,96888828.0,ns,8615871
permutation__cmp__lmp,MapPermutation,16,,,100377081.0,ns,8702900
