group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp,MapPermutation,8,,,1066380.0,ns,101861
permutation__cmp__lmp,MapPermutation,8,,,2008049.0,ns,203722
permutation__cmp__lmp,MapPermutation,8,,,2971321.0,ns,305583
permutation__cmp__lmp,MapPermutation,8,,,3976495.0,ns,407444
permutation__cmp__lmp,MapPermutation,8,,,4968370.0,ns,509305
permutation__cmp__lmp,MapPermutation,8,,,6283367.0,ns,611166
permutation__cmp__lmp,MapPermutation,8,,,7115528.0,ns,713027
permutation__cmp__lmp,MapPermutation,8,,,7875885.0,ns,814888
permutation__cmp__lmp,MapPermutation,8,,,9121378.0,ns,916749
permutation__cmp__lmp,MapPermutation,8,,,10214059.0,ns,1018610
permutation__cmp__lmp,MapPermutation,8,,,11329142.0,ns,1120471
permutation__cmp__lmp,MapPermutation,8,,,12168504.0,ns,1222332
permutation__cmp__lmp,MapPermutation,8,,,13087873.0,ns,1324193
permutation__cmp__lmp,MapPermutation,8,,,13910634.0,ns,1426054
permutation__cmp__lmp,MapPermutation,8,,,14989114.0,ns,1527915
permutation__cmp__lmp,MapPermutation,8,,,16719342.0,ns,1629776
permutation__cmp__lmp,MapPermutation,8,,,17422195.0,ns,1731637
permutation__cmp__lmp,MapPermutation,8,,,17907731.0,ns,1833498
permutation__cmp__lmp,MapPermutation,8,,,19336937.0,ns,1935359
permutation__cmp__lmp,MapPermutation,8,,,20033389.0,ns,2037220
permutation__cmp__lmp,MapPermutation,8,,,21051264.0,ns,2139081
permutation__cmp__lmp,MapPermutation,8,,,21933230.0,ns,2240942
permutation__cmp__lmp,MapPermutation,8,,,23031311.0,ns,2342803
permutation__cmp__lmp,MapPermutation,8,,,23631456.0,ns,2444664
permutation__cmp__lmp,MapPermutation,8,,,25298080.0,ns,2546525
permutation__cmp__lmp,MapPermutation,8,,,25952628.0,ns,2648386
permutation__cmp__lmp,MapPermutation,8,,,26544773.0,ns,2750247
permutation__cmp__lmp,MapPermutation,8,,,26916300.0,ns,2852108
permutation__cmp__lmp,MapPermutation,8,,,29405085.0,ns,2953969
permutation__cmp__lmp,MapPermutation,8,,,29118064.0,ns,3055830
permutation__cmp__lmp,MapPermutation,8,,,30515568.0,ns,3157691
permutation__cmp__lmp,MapPermutation,8,,,32593122.0,ns,3259552
permutation__cmp__lmp,MapPermutation,8,,,32942648.0,ns,3361413
permutation__cmp__lmp,MapPermutation,8,,,33247070.0,ns,3463274
permutation__cmp__lmp,MapPermutation,8,,,33926822.0,ns,3565135
permutation__cmp__lmp,MapPermutation,8,,,36575518.0,ns,3666996
permutation__cmp__lmp,MapPermutation,8,,,37040952.0,ns,3768857
permutation__cmp__lmp,MapPermutation,8,,,37996724.0,ns,3870718
permutation__cmp__lmp,MapPermutation,8,,,39584441.0,ns,3972579
permutation__cmp__lmp,MapPermutation,8,,,40412903.0,ns,4074440
permutation__cmp__lmp,MapPermutation,8,,,41388375.0,ns,4176301
permutation__cmp__lmp,MapPermutation,8,,,42029823.0,ns,4278162
permutation__cmp__lmp,MapPermutation,8,,,43686647.0,ns,4380023
permutation__cmp__lmp,MapPermutation,8,,,44005770.0,ns,4481884
permutation__cmp__lmp,MapPermutation,8,,,45674994.0,ns,4583745
permutation__cmp__lmp,MapPermutation,8,,,45811004.0,ns,4685606
permutation__cmp__lmp,MapPermutation,8,,,46826280.0,ns,4787467
permutation__cmp__lmp,MapPermutation,8,,,48871532.0,ns,4889328
permutation__cmp__lmp,MapPermutation,8,,,50264835.0,ns,4991189
permutation__cmp__lmp,MapPermutation,8,,,51194804.0,ns,5093050
permutation__cmp__lmp,MapPermutation,8,,,51281610.0,ns,5194911
permutation__cmp__lmp,MapPermutation,8,,,52055669.0,ns,5296772
permutation__cmp__lmp,MapPermutation,8,,,52994738.0,ns,5398633
permutation__cmp__lmp,MapPermutation,8,,,55515125.0,ns,5500494
permutation__cmp__lmp,MapPermutation,8,,,55749243.0,ns,5602355
permutation__cmp__lmp,MapPermutation,8,,,56393390.0,ns,5704216
permutation__cmp__lmp,MapPermutation,8,,,57318059.0,ns,5806077
permutation__cmp__lmp,MapPermutation,8,,,58384438.0,ns,5907938
permutation__cmp__lmp,MapPermutation,8,,,59970057.0,ns,6009799
permutation__cmp__lmp,MapPermutation,8,,,60754415.0,ns,6111660
permutation__cmp__lmp,MapPermutation,8,,,62133619.0,ns,6213521
permutation__cmp__lmp,MapPermutation,8,,,62890848.0,ns,6315382
permutation__cmp__lmp,MapPermutation,8,,,64393542.0,ns,6417243
permutation__cmp__lmp,MapPermutation,8,,,65006181.0,ns,6519104
permutation__cmp__lmp,MapPermutation,8,,,66998106.0,ns,6620965
permutation__cmp__lmp,MapPermutation,8,,,65946140.0,ns,6722826
permutation__cmp__lmp,MapPermutation,8,,,67779955.0,ns,6824687
permutation__cmp__lmp,MapPermutation,8,,,68665510.0,ns,6926548
permutation__cmp__lmp,MapPermutation,8,,,71006758.0,ns,7028409
permutation__cmp__lmp,MapPermutation,8,,,70823246.0,ns,7130270
permutation__cmp__lmp,MapPermutation,8,,,71957517.0,ns,7232131
permutation__cmp__lmp,MapPermutation,8,,,72444148.0,ns,7333992
permutation__cmp__lmp,MapPermutation,8,,,74368769.0,ns,7435853
permutation__cmp__lmp,MapPermutation,8,,,75058312.0,ns,7537714
permutation__cmp__lmp,MapPermutation,8,,,76526004.0,ns,7639575
permutation__cmp__lmp,MapPermutation,8,,,78213410.0,ns,7741436
permutation__cmp__lmp,MapPermutation,8,,,77243949.0,ns,7843297
permutation__cmp__lmp,MapPermutation,8,,,79580795.0,ns,7945158
permutation__cmp__lmp,MapPermutation,8,,,80045924.0,ns,8047019
permutation__cmp__lmp,MapPermutation,8,,,81223898.0,ns,8148880
permutation__cmp__lmp,MapPermutation,8,,,81878239.0,ns,8250741
permutation__cmp__lmp,MapPermutation,8,,,82957807.0,ns,8352602
permutation__cmp__lmp,MapPermutation,8,,,83676353.0,ns,8454463
permutation__cmp__lmp,MapPermutation,8,,,84551408.0,ns,8556324
permutation__cmp__lmp,MapPermutation,8,,,85721581.0,ns,8658185
permutation__cmp__lmp,MapPermutation,8,,,86996062.0,ns,8760046
permutation__cmp__lmp,MapPermutation,8,,,88125732.0,ns,8861907
permutation__cmp__lmp,MapPermutation,8,,,86120906.0,ns,8963768
permutation__cmp__lmp,MapPermutation,8,,,85941395.0,ns,9065629
permutation__cmp__lmp,MapPermutation,8,,,92433303.0,ns,9167490
permutation__cmp__lmp,MapPermutation,8,,,92204388.0,ns,9269351
permutation__cmp__lmp,MapPermutation,8,,,93864593.0,ns,9371212
permutation__cmp__lmp,MapPermutation,8,,,94444028.0,ns,9473073
permutation__cmp__lmp,MapPermutation,8,,,90065153.0,ns,9574934
permutation__cmp__lmp,MapPermutation,8,,,94064304.0,ns,9676795
permutation__cmp__lmp,MapPermutation,8,,,94236715.0,ns,9778656
permutation__cmp__lmp,MapPermutation,8,,,98627192.0,ns,9880517
permutation__cmp__lmp,MapPermutation,8,,,97829341.0,ns,9982378
permutation__cmp__lmp,MapPermutation,8,,,99218429.0,ns,10084239
permutation__cmp__lmp,MapPermutation,8,,,101309260.0,ns,10186100
