group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp,StandardPermutation,32,,,979977.0,ns,488761
permutation__cmp__lmp,StandardPermutation,32,,,2122867.0,ns,977522
permutation__cmp__lmp,StandardPermutation,32,,,3044040.0,ns,1466283
permutation__cmp__lmp,StandardPermutation,32,,,4045719.0,ns,1955044
permutation__cmp__lmp,StandardPermutation,32,,,4778576.0,ns,2443805
permutation__cmp__lmp,StandardPermutation,32,,,5749353.0,ns,2932566
permutation__cmp__lmp,StandardPermutation,32,,,6455208.0,ns,3421327
permutation__cmp__lmp,StandardPermutation,32,,,7342278.0,ns,3910088
permutation__cmp__lmp,StandardPermutation,32,,,8933803.0,ns,4398849
permutation__cmp__lmp,StandardPermutation,32,,,10102895.0,ns,4887610
permutation__cmp__lmp,StandardPermutation,32,,,10904458.0,ns,5376371
permutation__cmp__lmp,StandardPermutation,32,,,10992366.0,ns,5865132
permutation__cmp__lmp,StandardPermutation,32,,,11604914.0,ns,6353893
permutation__cmp__lmp,StandardPermutation,32,,,13379653.0,ns,6842654
permutation__cmp__lmp,StandardPermutation,32,,,14531845.0,ns,7331415
permutation__cmp__lmp,StandardPermutation,32,,,14466639.0,ns,7820176
permutation__cmp__lmp,StandardPermutation,32,,,16459296.0,ns,8308937
permutation__cmp__lmp,StandardPermutation,32,,,17655190.0,ns,8797698
permutation__cmp__lmp,StandardPermutation,32,,,19077302.0,ns,9286459
permutation__cmp__lmp,StandardPermutation,32,,,20064780.0,ns,9775220
permutation__cmp__lmp,StandardPermutation,32,,,20606522.0,ns,10263981
permutation__cmp__lmp,StandardPermutation,32,,,21887323.0,ns,10752742
permutation__cmp__lmp,StandardPermutation,32,,,22590379.0,ns,11241503
permutation__cmp__lmp,StandardPermutation,32,,,24356917.0,ns,11730264
permutation__cmp__lmp,StandardPermutation,32,,,24914761.0,ns,12219025
permutation__cmp__lmp,StandardPermutation,32,,,25250688.0,ns,12707786
permutation__cmp__lmp,StandardPermutation,32,,,26647398.0,ns,13196547
permutation__cmp__lmp,StandardPermutation,32,,,28164217.0,ns,13685308
permutation__cmp__lmp,StandardPermutation,32,,,28137815.0,ns,14174069
permutation__cmp__lmp,StandardPermutation,32,,,29195098.0,ns,14662830
permutation__cmp__lmp,StandardPermutation,32,,,30365891.0,ns,15151591
permutation__cmp__lmp,StandardPermutation,32,,,31440476.0,ns,15640352
permutation__cmp__lmp,StandardPermutation,32,,,32185234.0,ns,16129113
permutation__cmp__lmp,StandardPermutation,32,,,32689874.0,ns,16617874
permutation__cmp__lmp,StandardPermutation,32,,,34053281.0,ns,17106635
permutation__cmp__lmp,StandardPermutation,32,,,33230016.0,ns,17595396
permutation__cmp__lmp,StandardPermutation,32,,,35649307.0,ns,18084157
permutation__cmp__lmp,StandardPermutation,32,,,36714791.0,ns,18572918
permutation__cmp__lmp,StandardPermutation,32,,,38506532.0,ns,19061679
permutation__cmp__lmp,StandardPermutation,32,,,39586917.0,ns,19550440
permutation__cmp__lmp,StandardPermutation,32,,,40624598.0,ns,20039201
permutation__cmp__lmp,StandardPermutation,32,,,42153419.0,ns,20527962
permutation__cmp__lmp,StandardPermutation,32,,,43092893.0,ns,21016723
permutation__cmp__lmp,StandardPermutation,32,,,43573631.0,ns,21505484
permutation__cmp__lmp,StandardPermutation,32,,,44906636.0,ns,21994245
permutation__cmp__lmp,StandardPermutation,32,,,45046346.0,ns,22483006
permutation__cmp__lmp,StandardPermutation,32,,,46344048.0,ns,22971767
permutation__cmp__lmp,StandardPermutation,32,,,47329427.0,ns,23460528
permutation__cmp__lmp,StandardPermutation,32,,,47832466.0,ns,23949289
permutation__cmp__lmp,StandardPermutation,32,,,49623207.0,ns,24438050
permutation__cmp__lmp,StandardPermutation,32,,,51280737.0,ns,24926811
permutation__cmp__lmp,StandardPermutation,32,,,50630486.0,ns,25415572
