group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp,StandardPermutation,8,,,981974.0,ns,489801
permutation__cmp__lmp,StandardPermutation,8,,,1995650.0,ns,979602
permutation__cmp__lmp,StandardPermutation,8,,,3036929.0,ns,1469403
permutation__cmp__lmp,StandardPermutation,8,,,3922396.0,ns,1959204
permutation__cmp__lmp,StandardPermutation,8,,,4985076.0,ns,2449005
permutation__cmp__lmp,StandardPermutation,8,,,5962949.0,ns,2938806
permutation__cmp__lmp,StandardPermutation,8,,,6941523.0,ns,3428607
permutation__cmp__lmp,StandardPermutation,8,,,7818590.0,ns,3918408
permutation__cmp__lmp,StandardPermutation,8,,,9326803.0,ns,4408209
permutation__cmp__lmp,StandardPermutation,8,,,9880445.0,ns,4898010
permutation__cmp__lmp,StandardPermutation,8,,,10738509.0,ns,5387811
permutation__cmp__lmp,StandardPermutation,8,,,11907098.0,ns,5877612
permutation__cmp__lmp,StandardPermutation,8,,,12704557.0,ns,6367413
permutation__cmp__lmp,StandardPermutation,8,,,13838943.0,ns,6857214
permutation__cmp__lmp,StandardPermutation,8,,,15131741.0,ns,7347015
permutation__cmp__lmp,StandardPermutation,8,,,15850795.0,ns,7836816
permutation__cmp__lmp,StandardPermutation,8,,,17147892.0,ns,8326617
permutation__cmp__lmp,StandardPermutation,8,,,17644430.0,ns,8816418
permutation__cmp__lmp,StandardPermutation,8,,,18414288.0,ns,9306219
permutation__cmp__lmp,StandardPermutation,8,,,19315856.0,ns,9796020
permutation__cmp__lmp,StandardPermutation,8,,,21210599.0,ns,10285821
permutation__cmp__lmp,StandardPermutation,8,,,22091865.0,ns,10775622
permutation__cmp__lmp,StandardPermutation,8,,,22778717.0,ns,11265423
permutation__cmp__lmp,StandardPermutation,8,,,23638082.0,ns,11755224
permutation__cmp__lmp,StandardPermutation,8,,,24896676.0,ns,12245025
permutation__cmp__lmp,StandardPermutation,8,,,25925754.0,ns,12734826
permutation__cmp__lmp,StandardPermutation,8,,,27256354.0,ns,13224627
permutation__cmp__lmp,StandardPermutation,8,,,27915704.0,ns,13714428
permutation__cmp__lmp,StandardPermutation,8,,,28850475.0,ns,14204229
permutation__cmp__lmp,StandardPermutation,8,,,29198301.0,ns,14694030
permutation__cmp__lmp,StandardPermutation,8,,,30251580.0,ns,15183831
permutation__cmp__lmp,StandardPermutation,8,,,30967734.0,ns,15673632
permutation__cmp__lmp,StandardPermutation,8,,,32388541.0,ns,16163433
permutation__cmp__lmp,StandardPermutation,8,,,34275584.0,ns,16653234
