group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
permutation__cmp__lmp,SyncPermutation,16,,,986893.0,ns,469822
permutation__cmp__lmp,SyncPermutation,16,,,1962385.0,ns,939644
permutation__cmp__lmp,SyncPermutation,16,,,2950177.0,ns,1409466
permutation__cmp__lmp,SyncPermutation,16,,,3929369.0,ns,1879288
permutation__cmp__lmp,SyncPermutation,16,,,4918662.0,ns,2349110
permutation__cmp__lmp,SyncPermutation,16,,,5899254.0,ns,2818932
permutation__cmp__lmp,SyncPermutation,16,,,6874745.0,ns,3288754
permutation__cmp__lmp,SyncPermutation,16,,,7861438.0,ns,3758576
permutation__cmp__lmp,SyncPermutation,16,,,8846430.0,ns,4228398
permutation__cmp__lmp,SyncPermutation,16,,,9825922.0,ns,4698220
permutation__cmp__lmp,SyncPermutation,16,,,10818316.0,ns,5168042
permutation__cmp__lmp,SyncPermutation,16,,,11790407.0,ns,5637864
permutation__cmp__lmp,SyncPermutation,16,,,12770999.0,ns,6107686
permutation__cmp__lmp,SyncPermutation,16,,,13755792.0,ns,6577508
permutation__cmp__lmp,SyncPermutation,16,,,14793889.0,ns,7047330
permutation__cmp__lmp,SyncPermutation,16,,,15726177.0,ns,7517152
permutation__cmp__lmp,SyncPermutation,16,,,16710869.0,ns,7986974
permutation__cmp__lmp,SyncPermutation,16,,,17697962.0,ns,8456796
permutation__cmp__lmp,SyncPermutation,16,,,18674953.0,ns,8926618
permutation__cmp__lmp,SyncPermutation,16,,,19667746.0,ns,9396440
permutation__cmp__lmp,SyncPermutation,16,,,20768650.0,ns,9866262
permutation__cmp__lmp,SyncPermutation,16,,,21803946.0,ns,10336084
permutation__cmp__lmp,SyncPermutation,16,,,22632124.0,ns,10805906
permutation__cmp__lmp,SyncPermutation,16,,,23590213.0,ns,11275728
permutation__cmp__lmp,SyncPermutation,16,,,24573405.0,ns,11745550
permutation__cmp__lmp,SyncPermutation,16,,,25563998.0,ns,12215372
permutation__cmp__lmp,SyncPermutation,16,,,26527989.0,ns,12685194
permutation__cmp__lmp,SyncPermutation,16,,,27517182.0,ns,13155016
permutation__cmp__lmp,SyncPermutation,16,,,28502074.0,ns,13624838
permutation__cmp__lmp,SyncPermutation,16,,,29493867.0,ns,14094660
permutation__cmp__lmp,SyncPermutation,16,,,30461159.0,ns,14564482
permutation__cmp__lmp,SyncPermutation,16,,,31444750.0,ns,15034304
